date,description,amount,transaction_type,category
2022-03-18,Hotstar Subscription,₹740.34,debit,Subscriptions
2022-03-18,Adobe Creative Cloud,"₹1,675.00",debit,Subscriptions
2022-03-19,Swiggy Order,₹706.21,debit,Food & Dining
2022-03-19,Ola Cab,₹104.29,debit,Transportation
2022-03-20,Amazon Prime,₹212.94,debit,Subscriptions
2022-03-20,Equipment Purchase,"₹40,699.30",debit,Shopping
2022-03-20,Retainer Fee Credit,"₹15,200.89",credit,Income
2022-03-20,Hostinger Hosting,"₹1,500.61",debit,Utilities
2022-03-20,Rapido Bike Taxi,₹85.90,debit,Transportation
2022-03-21,Client Payment UPI,"₹27,236.17",credit,Income
2022-03-22,Hostinger Hosting,"₹3,706.17",debit,Utilities
2022-03-22,Cashback Credit,₹845.05,credit,Income
2022-03-22,Client Meeting Cab,₹341.28,debit,Transportation
2022-03-22,Client Meeting Cab,₹952.45,debit,Transportation
2022-03-23,Equipment Purchase,"₹45,865.25",debit,Shopping
2022-03-24,Amazon Prime,₹954.05,debit,Subscriptions
2022-03-24,1mg Medicine Order,₹376.92,debit,Healthcare
2022-03-25,Tally Software,"₹9,000.00",debit,Subscriptions
2022-03-25,1mg Medicine Order,₹466.54,debit,Healthcare
2022-03-25,Gaming Recharge,"₹1,083.38",debit,Entertainment
2022-03-25,Ola Cab,₹166.20,debit,Transportation
2022-03-25,Retainer Fee Credit,"₹16,190.75",credit,Income
2022-03-26,Adobe Creative Cloud,"₹1,675.00",debit,Subscriptions
2022-03-27,Meesho Order,₹169.16,debit,Shopping
2022-03-27,Invoice Software,₹533.48,debit,Subscriptions
2022-03-28,Chartered Accountant Fee,"₹10,602.99",debit,Miscellaneous
2022-03-29,BookMyShow Tickets,₹499.94,debit,Entertainment
2022-03-30,Equipment Purchase,"₹7,651.80",debit,Shopping
2022-03-30,BookMyShow Tickets,"₹1,423.00",debit,Entertainment
2022-03-31,Equipment Purchase,"₹27,318.64",debit,Shopping
2022-04-02,Uber Ride,₹237.10,debit,Transportation
2022-04-02,Course Sale Revenue,"₹21,994.37",credit,Income
2022-04-03,Reliance Fresh,"₹1,516.37",debit,Groceries
2022-04-04,Apollo Pharmacy,"₹1,964.08",debit,Healthcare
2022-04-05,Spotify Premium,₹119.00,debit,Subscriptions
2022-04-06,Ajio Clothing,"₹1,792.11",debit,Shopping
2022-04-06,Course Sale Revenue,"₹20,125.98",credit,Income
2022-04-08,Co-working Space,"₹7,796.21",debit,Housing
2022-04-08,Gaming Recharge,₹785.65,debit,Entertainment
2022-04-09,Zomato Food Delivery,₹154.49,debit,Food & Dining
2022-04-09,Netflix Subscription,₹197.02,debit,Subscriptions
2022-04-09,Adobe Creative Cloud,"₹1,675.00",debit,Subscriptions
2022-04-09,Retainer Fee Credit,"₹21,748.81",credit,Income
2022-04-09,Uber Ride,₹399.84,debit,Transportation
2022-04-10,Namecheap Domain,"₹1,787.29",debit,Utilities
2022-04-10,Client Meeting Cab,₹411.01,debit,Transportation
2022-04-11,Netflix Subscription,₹596.69,debit,Subscriptions
2022-04-12,Tally Software,"₹9,000.00",debit,Subscriptions
2022-04-13,Namecheap Domain,"₹1,636.67",debit,Utilities
2022-04-13,Equipment Purchase,"₹5,964.43",debit,Shopping
2022-04-13,Canva Pro,₹499.00,debit,Subscriptions
2022-04-15,LinkedIn Premium,"₹2,499.00",debit,Subscriptions
2022-04-16,Ajio Clothing,₹867.63,debit,Shopping
2022-04-16,Hostinger Hosting,"₹2,479.00",debit,Utilities
2022-04-16,Adobe Creative Cloud,"₹1,675.00",debit,Subscriptions
2022-04-17,Hotstar Subscription,₹589.60,debit,Subscriptions
2022-04-18,Invoice Software,₹622.40,debit,Subscriptions
2022-04-19,Rapido Bike Taxi,₹33.84,debit,Transportation
2022-04-21,1mg Medicine Order,₹297.52,debit,Healthcare
2022-04-22,Namecheap Domain,"₹1,232.73",debit,Utilities
2022-04-22,Apollo Pharmacy,"₹1,555.98",debit,Healthcare
2022-04-22,Ajio Clothing,"₹1,291.15",debit,Shopping
2022-04-24,PVR Cinemas,₹729.58,debit,Entertainment
2022-04-25,Amazon Prime,₹706.46,debit,Subscriptions
2022-04-26,Uber Ride,₹500.83,debit,Transportation
2022-04-27,Amazon Purchase,"₹7,386.63",debit,Shopping
2022-04-27,Client Payment UPI,"₹36,740.99",credit,Income
2022-04-27,Chartered Accountant Fee,"₹3,455.11",debit,Miscellaneous
2022-04-28,Gaming Recharge,₹218.15,debit,Entertainment
2022-04-28,Project Milestone,"₹60,069.56",credit,Income
2022-04-29,Netflix Subscription,₹428.18,debit,Subscriptions
2022-05-02,Royalty Credit,"₹4,744.82",credit,Income
2022-05-03,Amazon Purchase,"₹6,587.41",debit,Shopping
2022-05-04,Notion Subscription,₹500.00,debit,Subscriptions
2022-05-06,Zoom Pro,"₹1,300.00",debit,Subscriptions
2022-05-07,Zomato Food Delivery,₹463.08,debit,Food & Dining
2022-05-07,More Supermarket,"₹1,002.60",debit,Groceries
2022-05-07,Ola Cab,₹232.67,debit,Transportation
2022-05-07,Tally Software,"₹9,000.00",debit,Subscriptions
2022-05-08,Cashback Credit,₹349.89,credit,Income
2022-05-09,Zoom Pro,"₹1,300.00",debit,Subscriptions
2022-05-09,Royalty Credit,"₹5,600.95",credit,Income
2022-05-09,BigBasket Groceries,"₹3,876.89",debit,Groceries
2022-05-10,BigBasket Groceries,"₹3,538.26",debit,Groceries
2022-05-11,Zoom Pro,"₹1,300.00",debit,Subscriptions
2022-05-11,Hotstar Subscription,₹215.96,debit,Subscriptions
2022-05-12,BookMyShow Tickets,₹786.71,debit,Entertainment
2022-05-13,Co-working Space,"₹8,904.01",debit,Housing
2022-05-14,Gym Membership,"₹1,549.33",debit,Healthcare
2022-05-15,Rapido Bike Taxi,₹49.44,debit,Transportation
2022-05-16,Course Sale Revenue,"₹9,721.88",credit,Income
2022-05-17,Cashback Credit,₹449.16,credit,Income
2022-05-18,Refund Credit,"₹3,153.48",credit,Income
2022-05-19,YouTube Premium,₹139.00,debit,Subscriptions
2022-05-21,Myntra Fashion,"₹2,723.31",debit,Shopping
2022-05-21,Co-working Space,"₹3,775.85",debit,Housing
2022-05-22,Invoice Software,"₹1,487.48",debit,Subscriptions
2022-05-22,Netflix Subscription,₹218.70,debit,Subscriptions
2022-05-25,Chartered Accountant Fee,"₹9,923.58",debit,Miscellaneous
2022-05-25,1mg Medicine Order,₹215.33,debit,Healthcare
2022-05-25,Meesho Order,₹826.87,debit,Shopping
2022-05-27,BigBasket Groceries,"₹1,703.70",debit,Groceries
2022-05-27,Uber Ride,₹148.30,debit,Transportation
2022-05-27,Canva Pro,₹499.00,debit,Subscriptions
2022-05-29,Rapido Bike Taxi,₹72.14,debit,Transportation
2022-05-29,Tally Software,"₹9,000.00",debit,Subscriptions
2022-05-29,Hostinger Hosting,"₹3,755.98",debit,Utilities
2022-06-01,Adobe Creative Cloud,"₹1,675.00",debit,Subscriptions
2022-06-02,Client Meeting Cab,₹231.82,debit,Transportation
2022-06-03,Netflix Subscription,₹469.52,debit,Subscriptions
2022-06-04,Cashback Credit,₹493.20,credit,Income
2022-06-04,Canva Pro,₹499.00,debit,Subscriptions
2022-06-04,Zoom Pro,"₹1,300.00",debit,Subscriptions
2022-06-06,BookMyShow Tickets,₹757.64,debit,Entertainment
2022-06-07,Reliance Fresh,₹946.79,debit,Groceries
2022-06-07,Course Sale Revenue,"₹4,541.24",credit,Income
2022-06-08,1mg Medicine Order,₹819.41,debit,Healthcare
2022-06-09,Hostinger Hosting,"₹3,025.29",debit,Utilities
2022-06-10,Tally Software,"₹9,000.00",debit,Subscriptions
2022-06-11,Swiggy Order,₹811.98,debit,Food & Dining
2022-06-11,Spotify Premium,₹119.00,debit,Subscriptions
2022-06-13,Retainer Fee Credit,"₹34,180.56",credit,Income
2022-06-13,Ajio Clothing,₹870.03,debit,Shopping
2022-06-15,Client Payment UPI,"₹114,452.42",credit,Income
2022-06-15,Chartered Accountant Fee,"₹9,797.27",debit,Miscellaneous
2022-06-16,LinkedIn Premium,"₹2,499.00",debit,Subscriptions
2022-06-16,1mg Medicine Order,"₹1,049.60",debit,Healthcare
2022-06-16,Swiggy Order,₹832.24,debit,Food & Dining
2022-06-17,Gym Membership,₹993.37,debit,Healthcare
2022-06-18,Myntra Fashion,"₹2,906.29",debit,Shopping
2022-06-19,Hostinger Hosting,"₹2,385.43",debit,Utilities
2022-06-20,1mg Medicine Order,₹266.68,debit,Healthcare
2022-06-21,BookMyShow Tickets,"₹1,249.25",debit,Entertainment
2022-06-22,Hotstar Subscription,₹590.78,debit,Subscriptions
2022-06-22,Notion Subscription,₹500.00,debit,Subscriptions
2022-06-22,BigBasket Groceries,"₹1,934.91",debit,Groceries
2022-06-22,Invoice Software,₹738.59,debit,Subscriptions
2022-06-23,Amazon Purchase,"₹1,052.19",debit,Shopping
2022-06-24,Zomato Food Delivery,₹832.24,debit,Food & Dining
2022-06-24,DMart Purchase,"₹1,606.32",debit,Groceries
2022-06-24,Notion Subscription,₹500.00,debit,Subscriptions
2022-06-24,Equipment Purchase,"₹10,159.32",debit,Shopping
2022-06-25,Chartered Accountant Fee,"₹6,681.35",debit,Miscellaneous
2022-06-25,Royalty Credit,"₹13,547.49",credit,Income
2022-06-25,Amazon Purchase,"₹2,671.63",debit,Shopping
2022-06-25,Retainer Fee Credit,"₹30,321.78",credit,Income
2022-06-25,DMart Purchase,₹613.89,debit,Groceries
2022-06-26,Hotstar Subscription,₹776.52,debit,Subscriptions
2022-06-27,Amazon Prime,₹992.55,debit,Subscriptions
2022-06-27,Reliance Fresh,"₹1,235.84",debit,Groceries
2022-06-28,PVR Cinemas,₹784.35,debit,Entertainment
2022-06-28,Uber Ride,₹417.47,debit,Transportation
2022-06-29,Amazon Purchase,"₹3,609.29",debit,Shopping
2022-06-29,Swiggy Order,₹126.86,debit,Food & Dining
2022-06-30,Rapido Bike Taxi,₹152.37,debit,Transportation
2022-06-30,Gaming Recharge,₹558.68,debit,Entertainment
2022-07-01,Hostinger Hosting,"₹1,898.44",debit,Utilities
2022-07-02,Equipment Purchase,"₹38,270.45",debit,Shopping
2022-07-02,Hotstar Subscription,₹439.04,debit,Subscriptions
2022-07-02,Client Payment UPI,"₹72,664.34",credit,Income
2022-07-05,Spotify Premium,₹119.00,debit,Subscriptions
2022-07-05,Reliance Fresh,₹440.32,debit,Groceries
2022-07-08,1mg Medicine Order,₹652.94,debit,Healthcare
2022-07-09,Hotstar Subscription,₹242.97,debit,Subscriptions
2022-07-10,Gym Membership,₹598.52,debit,Healthcare
2022-07-12,Equipment Purchase,"₹46,411.17",debit,Shopping
2022-07-12,Netflix Subscription,₹584.80,debit,Subscriptions
2022-07-13,Swiggy Order,₹394.49,debit,Food & Dining
2022-07-13,Gym Membership,"₹1,003.99",debit,Healthcare
2022-07-13,Zoom Pro,"₹1,300.00",debit,Subscriptions
2022-07-13,Apollo Pharmacy,"₹1,290.53",debit,Healthcare
2022-07-14,Co-working Space,"₹6,499.80",debit,Housing
2022-07-14,Ola Cab,₹97.11,debit,Transportation
2022-07-16,BigBasket Groceries,"₹1,495.17",debit,Groceries
2022-07-18,Co-working Space,"₹7,709.70",debit,Housing
2022-07-18,Course Sale Revenue,"₹4,984.45",credit,Income
2022-07-18,Co-working Space,"₹7,315.12",debit,Housing
2022-07-19,Netflix Subscription,₹487.57,debit,Subscriptions
2022-07-19,Apollo Pharmacy,₹857.14,debit,Healthcare
2022-07-19,Spotify Premium,₹119.00,debit,Subscriptions
2022-07-19,Hostinger Hosting,"₹4,587.53",debit,Utilities
2022-07-20,Netflix Subscription,₹502.38,debit,Subscriptions
2022-07-21,Reliance Fresh,"₹1,465.01",debit,Groceries
2022-07-22,Tally Software,"₹9,000.00",debit,Subscriptions
2022-07-22,Hotstar Subscription,₹783.85,debit,Subscriptions
2022-07-22,Uber Ride,₹319.10,debit,Transportation
2022-07-23,PVR Cinemas,₹653.01,debit,Entertainment
2022-07-24,Client Meeting Cab,₹236.01,debit,Transportation
2022-07-25,Gym Membership,"₹1,365.24",debit,Healthcare
2022-07-26,Zoom Pro,"₹1,300.00",debit,Subscriptions
2022-07-26,Flipkart Order,"₹4,239.25",debit,Shopping
2022-07-27,Ajio Clothing,₹872.56,debit,Shopping
2022-07-27,More Supermarket,"₹1,596.96",debit,Groceries
2022-07-28,BookMyShow Tickets,"₹1,069.94",debit,Entertainment
2022-07-28,Uber Ride,₹179.00,debit,Transportation
2022-07-28,1mg Medicine Order,"₹1,244.33",debit,Healthcare
2022-07-29,Client Payment UPI,"₹57,855.49",credit,Income
2022-07-29,LinkedIn Premium,"₹2,499.00",debit,Subscriptions
2022-07-29,Rapido Bike Taxi,₹101.66,debit,Transportation
2022-07-30,Meesho Order,"₹1,650.31",debit,Shopping
2022-07-31,Gaming Recharge,"₹1,396.50",debit,Entertainment
2022-08-01,More Supermarket,"₹1,140.41",debit,Groceries
2022-08-01,Adobe Creative Cloud,"₹1,675.00",debit,Subscriptions
2022-08-02,Project Milestone,"₹68,075.86",credit,Income
2022-08-02,Flipkart Order,"₹5,248.46",debit,Shopping
2022-08-03,Adobe Creative Cloud,"₹1,675.00",debit,Subscriptions
2022-08-03,BigBasket Groceries,"₹2,114.25",debit,Groceries
2022-08-03,Meesho Order,₹356.38,debit,Shopping
2022-08-03,Co-working Space,"₹6,270.17",debit,Housing
2022-08-03,BigBasket Groceries,"₹3,756.30",debit,Groceries
2022-08-04,Retainer Fee Credit,"₹22,066.80",credit,Income
2022-08-04,Rapido Bike Taxi,₹127.46,debit,Transportation
2022-08-05,Client Meeting Cab,₹796.00,debit,Transportation
2022-08-05,PVR Cinemas,₹487.71,debit,Entertainment
2022-08-05,Hostinger Hosting,"₹4,490.44",debit,Utilities
2022-08-06,Uber Ride,₹417.51,debit,Transportation
2022-08-06,PVR Cinemas,₹354.19,debit,Entertainment
2022-08-07,Gaming Recharge,"₹1,807.82",debit,Entertainment
2022-08-07,Chartered Accountant Fee,"₹3,479.55",debit,Miscellaneous
2022-08-07,Tally Software,"₹9,000.00",debit,Subscriptions
2022-08-08,LinkedIn Premium,"₹2,499.00",debit,Subscriptions
2022-08-09,PVR Cinemas,₹578.16,debit,Entertainment
2022-08-09,Netflix Subscription,₹448.48,debit,Subscriptions
2022-08-10,Client Payment UPI,"₹41,648.62",credit,Income
2022-08-11,Ajio Clothing,"₹3,240.36",debit,Shopping
2022-08-12,LinkedIn Premium,"₹2,499.00",debit,Subscriptions
2022-08-12,Course Sale Revenue,"₹29,880.73",credit,Income
2022-08-13,Meesho Order,₹843.63,debit,Shopping
2022-08-16,Chartered Accountant Fee,"₹3,064.23",debit,Miscellaneous
2022-08-16,Uber Ride,₹491.67,debit,Transportation
2022-08-17,Retainer Fee Credit,"₹14,512.80",credit,Income
2022-08-18,Gym Membership,₹695.39,debit,Healthcare
2022-08-19,Gym Membership,"₹2,017.93",debit,Healthcare
2022-08-20,Canva Pro,₹499.00,debit,Subscriptions
2022-08-21,Hotstar Subscription,₹815.68,debit,Subscriptions
2022-08-22,Invoice Software,"₹1,320.30",debit,Subscriptions
2022-08-22,Royalty Credit,"₹11,671.46",credit,Income
2022-08-23,Invoice Software,"₹1,144.35",debit,Subscriptions
2022-08-24,BigBasket Groceries,"₹3,967.22",debit,Groceries
2022-08-26,YouTube Premium,₹139.00,debit,Subscriptions
2022-08-26,Adobe Creative Cloud,"₹1,675.00",debit,Subscriptions
2022-08-27,Zomato Food Delivery,₹357.16,debit,Food & Dining
2022-08-27,Myntra Fashion,"₹3,783.46",debit,Shopping
2022-08-27,Reliance Fresh,₹196.17,debit,Groceries
2022-08-28,Invoice Software,₹734.00,debit,Subscriptions
2022-08-29,Swiggy Order,₹752.69,debit,Food & Dining
2022-08-30,Swiggy Order,₹180.52,debit,Food & Dining
2022-08-30,Flipkart Order,"₹3,920.95",debit,Shopping
2022-08-30,Course Sale Revenue,"₹23,078.67",credit,Income
2022-08-30,Spotify Premium,₹119.00,debit,Subscriptions
2022-08-30,Tally Software,"₹9,000.00",debit,Subscriptions
2022-08-30,Hostinger Hosting,"₹4,000.18",debit,Utilities
2022-08-31,Gym Membership,"₹2,059.03",debit,Healthcare
2022-09-01,Royalty Credit,"₹9,012.02",credit,Income
2022-09-02,Project Milestone,"₹70,967.51",credit,Income
2022-09-03,Equipment Purchase,"₹33,453.93",debit,Shopping
2022-09-03,Zoom Pro,"₹1,300.00",debit,Subscriptions
2022-09-04,Reliance Fresh,₹433.83,debit,Groceries
2022-09-04,Project Milestone,"₹87,380.85",credit,Income
2022-09-04,Notion Subscription,₹500.00,debit,Subscriptions
2022-09-05,Hostinger Hosting,"₹2,566.56",debit,Utilities
2022-09-05,Amazon Prime,₹498.30,debit,Subscriptions
2022-09-06,Gym Membership,"₹2,489.18",debit,Healthcare
2022-09-07,Ajio Clothing,₹948.19,debit,Shopping
2022-09-07,Course Sale Revenue,"₹2,842.81",credit,Income
2022-09-07,Amazon Prime,₹504.84,debit,Subscriptions
2022-09-08,Namecheap Domain,₹823.55,debit,Utilities
2022-09-09,BookMyShow Tickets,₹984.39,debit,Entertainment
2022-09-10,YouTube Premium,₹139.00,debit,Subscriptions
2022-09-10,BookMyShow Tickets,"₹1,428.65",debit,Entertainment
2022-09-11,Myntra Fashion,"₹2,115.30",debit,Shopping
2022-09-11,Namecheap Domain,"₹1,023.66",debit,Utilities
2022-09-11,Amazon Purchase,"₹5,457.16",debit,Shopping
2022-09-11,Refund Credit,₹591.09,credit,Income
2022-09-11,Apollo Pharmacy,"₹1,191.49",debit,Healthcare
2022-09-12,Tally Software,"₹9,000.00",debit,Subscriptions
2022-09-13,LinkedIn Premium,"₹2,499.00",debit,Subscriptions
2022-09-14,Project Milestone,"₹45,835.33",credit,Income
2022-09-16,Chartered Accountant Fee,"₹3,880.83",debit,Miscellaneous
2022-09-16,Namecheap Domain,"₹1,190.04",debit,Utilities
2022-09-17,Gaming Recharge,₹628.67,debit,Entertainment
2022-09-17,Swiggy Order,₹839.67,debit,Food & Dining
2022-09-17,BigBasket Groceries,"₹2,633.97",debit,Groceries
2022-09-19,Reliance Fresh,₹773.42,debit,Groceries
2022-09-19,Netflix Subscription,₹544.05,debit,Subscriptions
2022-09-19,More Supermarket,₹469.25,debit,Groceries
2022-09-19,Amazon Prime,₹963.45,debit,Subscriptions
2022-09-19,Canva Pro,₹499.00,debit,Subscriptions
2022-09-19,Refund Credit,"₹2,973.40",credit,Income
2022-09-19,Cashback Credit,₹52.22,credit,Income
2022-09-20,Swiggy Order,₹292.68,debit,Food & Dining
2022-09-21,Uber Ride,₹242.18,debit,Transportation
2022-09-21,Amazon Prime,₹609.94,debit,Subscriptions
2022-09-22,Amazon Purchase,"₹1,021.36",debit,Shopping
2022-09-22,Namecheap Domain,₹946.89,debit,Utilities
2022-09-23,Retainer Fee Credit,"₹38,160.34",credit,Income
2022-09-23,Zomato Food Delivery,₹546.99,debit,Food & Dining
2022-09-23,Uber Ride,₹398.72,debit,Transportation
2022-09-23,Myntra Fashion,"₹3,237.10",debit,Shopping
2022-09-24,Zomato Food Delivery,₹169.09,debit,Food & Dining
2022-09-25,Namecheap Domain,"₹1,210.39",debit,Utilities
2022-09-26,Namecheap Domain,"₹1,625.32",debit,Utilities
2022-09-26,1mg Medicine Order,₹320.34,debit,Healthcare
2022-09-28,Course Sale Revenue,"₹13,699.27",credit,Income
2022-09-29,Hostinger Hosting,"₹1,260.95",debit,Utilities
2022-09-29,Gaming Recharge,₹106.85,debit,Entertainment
2022-09-30,Royalty Credit,"₹13,062.52",credit,Income
2022-09-30,LinkedIn Premium,"₹2,499.00",debit,Subscriptions
2022-09-30,Amazon Purchase,"₹3,452.91",debit,Shopping
2022-10-01,Equipment Purchase,"₹9,999.31",debit,Shopping
2022-10-01,Netflix Subscription,₹500.95,debit,Subscriptions
2022-10-01,BookMyShow Tickets,"₹1,499.06",debit,Entertainment
2022-10-02,Uber Ride,₹128.98,debit,Transportation
2022-10-02,Zomato Food Delivery,₹453.38,debit,Food & Dining
2022-10-02,Chartered Accountant Fee,"₹7,405.15",debit,Miscellaneous
2022-10-03,Royalty Credit,"₹16,502.63",credit,Income
2022-10-03,Notion Subscription,₹500.00,debit,Subscriptions
2022-10-04,DMart Purchase,₹313.83,debit,Groceries
2022-10-04,Hostinger Hosting,"₹3,595.57",debit,Utilities
2022-10-05,Uber Ride,₹392.22,debit,Transportation
2022-10-05,Royalty Credit,"₹11,808.03",credit,Income
2022-10-05,Canva Pro,₹499.00,debit,Subscriptions
2022-10-05,Gym Membership,₹690.27,debit,Healthcare
2022-10-06,1mg Medicine Order,"₹1,240.19",debit,Healthcare
2022-10-06,Adobe Creative Cloud,"₹1,675.00",debit,Subscriptions
2022-10-07,Client Meeting Cab,₹463.54,debit,Transportation
2022-10-08,Zomato Food Delivery,₹795.24,debit,Food & Dining
2022-10-08,Amazon Purchase,"₹1,004.52",debit,Shopping
2022-10-09,Amazon Prime,₹242.16,debit,Subscriptions
2022-10-10,Apollo Pharmacy,₹999.09,debit,Healthcare
2022-10-10,Reliance Fresh,"₹1,329.61",debit,Groceries
2022-10-10,Uber Ride,₹80.43,debit,Transportation
2022-10-11,DMart Purchase,"₹2,302.06",debit,Groceries
2022-10-11,Gaming Recharge,₹271.13,debit,Entertainment
