date,description,amount,category
2022-02-06,Reliance Fresh,"Rs 1,019.29",Groceries
2022-02-07,Meesho Order,"Rs 1,419.33",Shopping
2022-02-09,More Supermarket,"Rs 1,507.03",Groceries
2022-02-10,Designer Brand Store,"Rs 81,808.57",Shopping
2022-02-10,YouTube Premium,Rs 139.00,Subscriptions
2022-02-11,Reliance Fresh,Rs 556.70,Groceries
2022-02-11,Dividend Credit,"Rs 48,511.66",Income
2022-02-11,Security System,"Rs 22,690.60",Housing
2022-02-11,Investment Advisory Fee,"Rs 14,634.08",Miscellaneous
2022-02-11,Designer Brand Store,"Rs 42,325.45",Shopping
2022-02-14,Ola Cab,Rs 121.09,Transportation
2022-02-14,Rental Income,"Rs 57,642.67",Income
2022-02-14,Security System,"Rs 25,630.06",Housing
2022-02-17,BigBasket Groceries,"Rs 1,754.97",Groceries
2022-02-17,Designer Brand Store,"Rs 30,772.29",Shopping
2022-02-18,Stock Options,"Rs 279,502.63",Income
2022-02-18,Chartered Accountant,"Rs 45,311.56",Miscellaneous
2022-02-20,Ola Cab,Rs 125.52,Transportation
2022-02-20,More Supermarket,"Rs 1,487.50",Groceries
2022-02-20,Security System,"Rs 21,954.24",Housing
2022-02-22,Amazon Purchase,"Rs 4,707.47",Shopping
2022-02-22,Security System,"Rs 7,458.49",Housing
2022-02-22,Dividend Credit,"Rs 28,535.86",Income
2022-02-23,Dividend Credit,"Rs 38,412.27",Income
2022-02-24,Premium Whisky Shop,"Rs 9,626.10",Food & Dining
2022-02-24,Premium Whisky Shop,"Rs 6,334.65",Food & Dining
2022-02-25,YouTube Premium,Rs 139.00,Subscriptions
2022-02-26,Uber Ride,Rs 471.98,Transportation
2022-02-27,BMW Service Center,"Rs 29,567.92",Transportation
2022-02-28,Uber Ride,Rs 548.81,Transportation
2022-02-28,Stock Options,"Rs 153,204.51",Income
2022-03-01,Annual Bonus,"Rs 124,327.48",Income
2022-03-01,DMart Purchase,"Rs 2,612.31",Groceries
2022-03-04,Ajio Clothing,"Rs 2,071.48",Shopping
2022-03-04,Luxury Watch Service,"Rs 70,365.61",Shopping
2022-03-06,Annual Bonus,"Rs 151,377.21",Income
2022-03-06,Hotstar Subscription,Rs 869.55,Subscriptions
2022-03-07,Hotstar Subscription,Rs 329.15,Subscriptions
2022-03-08,Rapido Bike Taxi,Rs 115.30,Transportation
2022-03-09,Fine Dining Restaurant,"Rs 17,174.81",Food & Dining
2022-03-09,Luxury Watch Service,"Rs 31,904.75",Shopping
2022-03-09,Hotstar Subscription,Rs 407.78,Subscriptions
2022-03-10,Golf Club Membership,"Rs 22,302.91",Healthcare
2022-03-10,Flipkart Order,"Rs 5,570.73",Shopping
2022-03-11,Business Class Flight,"Rs 112,768.63",Travel
2022-03-12,Ola Cab,Rs 267.59,Transportation
2022-03-13,Uber Ride,Rs 143.37,Transportation
2022-03-13,Reliance Fresh,Rs 571.37,Groceries
2022-03-14,Security System,"Rs 27,838.14",Housing
2022-03-16,YouTube Premium,Rs 139.00,Subscriptions
2022-03-17,Interior Design Service,"Rs 126,673.22",Housing
2022-03-17,Annual Bonus,"Rs 430,581.47",Income
2022-03-19,Amazon Purchase,"Rs 1,649.21",Shopping
2022-03-21,Meesho Order,"Rs 1,235.85",Shopping
2022-03-21,Ola Cab,Rs 363.97,Transportation
2022-03-22,5-Star Hotel,"Rs 70,806.49",Travel
2022-03-22,Reliance Fresh,"Rs 1,846.44",Groceries
2022-03-23,Golf Club Membership,"Rs 23,394.62",Healthcare
2022-03-24,Zomato Food Delivery,Rs 444.41,Food & Dining
2022-03-24,Rental Income,"Rs 37,809.53",Income
2022-03-25,Interior Design Service,"Rs 88,114.34",Housing
2022-03-25,BMW Service Center,"Rs 18,110.85",Transportation
2022-03-26,Dividend Credit,"Rs 18,599.98",Income
2022-03-26,Dividend Credit,"Rs 33,209.39",Income
2022-03-26,Investment Advisory Fee,"Rs 5,373.91",Miscellaneous
2022-03-26,Chartered Accountant,"Rs 49,961.89",Miscellaneous
2022-03-27,Investment Advisory Fee,"Rs 11,777.99",Miscellaneous
2022-03-28,Flipkart Order,"Rs 1,230.56",Shopping
2022-03-29,Hotstar Subscription,Rs 322.90,Subscriptions
2022-03-29,BigBasket Groceries,"Rs 3,873.23",Groceries
2022-03-30,Ajio Clothing,"Rs 1,738.92",Shopping
2022-03-31,Golf Club Membership,"Rs 28,761.56",Healthcare
2022-04-02,DMart Purchase,"Rs 2,568.51",Groceries
2022-04-02,Swiggy Order,Rs 508.90,Food & Dining
2022-04-02,Parking Premium Mall,Rs 324.28,Transportation
2022-04-02,Chartered Accountant,"Rs 37,649.18",Miscellaneous
2022-04-03,Premium Gym,"Rs 3,616.25",Healthcare
2022-04-03,Amazon Prime,Rs 282.11,Subscriptions
2022-04-04,Interest Credit,"Rs 25,153.52",Income
2022-04-06,BMW Service Center,"Rs 28,576.50",Transportation
2022-04-06,Dividend Credit,"Rs 39,137.42",Income
2022-04-08,Interest Credit,"Rs 18,391.34",Income
2022-04-09,Amazon Purchase,"Rs 6,280.47",Shopping
2022-04-10,BookMyShow Tickets,Rs 454.06,Entertainment
2022-04-12,Swiggy Order,Rs 390.49,Food & Dining
2022-04-12,Uber Ride,Rs 142.27,Transportation
2022-04-14,More Supermarket,Rs 524.41,Groceries
2022-04-15,Myntra Fashion,"Rs 1,187.69",Shopping
2022-04-15,DMart Purchase,"Rs 1,356.21",Groceries
2022-04-15,Flipkart Order,"Rs 3,469.11",Shopping
2022-04-16,BMW Service Center,"Rs 44,808.72",Transportation
2022-04-17,Meesho Order,"Rs 1,811.30",Shopping
2022-04-17,Amazon Purchase,"Rs 5,085.79",Shopping
2022-04-18,Uber Ride,Rs 94.56,Transportation
2022-04-19,Chartered Accountant,"Rs 40,048.71",Miscellaneous
2022-04-20,Rental Income,"Rs 25,909.59",Income
2022-04-22,Fine Dining Restaurant,"Rs 18,758.30",Food & Dining
2022-04-22,Designer Brand Store,"Rs 36,292.10",Shopping
2022-04-22,Premium Gym,"Rs 2,733.99",Healthcare
2022-04-23,Premium Gym,"Rs 4,092.48",Healthcare
2022-04-26,Meesho Order,"Rs 1,475.48",Shopping
2022-04-28,DMart Purchase,Rs 675.27,Groceries
2022-04-28,Spotify Premium,Rs 119.00,Subscriptions
2022-04-28,Parking Premium Mall,Rs 531.80,Transportation
2022-04-29,Golf Club Membership,"Rs 19,644.42",Healthcare
2022-04-29,Business Profit Transfer,"Rs 167,204.51",Income
2022-04-30,Zomato Food Delivery,Rs 422.76,Food & Dining
2022-04-30,Salary CTC Credit,"Rs 556,616.39",Income
2022-04-30,Amazon Purchase,"Rs 3,763.68",Shopping
2022-05-01,Meesho Order,Rs 973.19,Shopping
2022-05-03,Swiggy Order,Rs 769.39,Food & Dining
2022-05-05,Meesho Order,"Rs 1,305.34",Shopping
2022-05-05,Business Profit Transfer,"Rs 257,317.86",Income
2022-05-06,DMart Purchase,"Rs 2,289.42",Groceries
2022-05-06,Zomato Food Delivery,Rs 433.26,Food & Dining
2022-05-08,Security System,"Rs 6,471.46",Housing
2022-05-08,Spotify Premium,Rs 119.00,Subscriptions
2022-05-08,Spotify Premium,Rs 119.00,Subscriptions
2022-05-09,Luxury Watch Service,"Rs 37,141.43",Shopping
2022-05-11,YouTube Premium,Rs 139.00,Subscriptions
2022-05-11,Zomato Food Delivery,Rs 578.56,Food & Dining
2022-05-11,BigBasket Groceries,"Rs 2,066.62",Groceries
2022-05-12,Investment Advisory Fee,"Rs 8,752.62",Miscellaneous
2022-05-13,Chartered Accountant,"Rs 11,942.70",Miscellaneous
2022-05-14,Parking Premium Mall,Rs 229.97,Transportation
2022-05-14,Golf Club Membership,"Rs 11,552.67",Healthcare
2022-05-15,Amazon Prime,Rs 666.63,Subscriptions
2022-05-15,More Supermarket,Rs 249.11,Groceries
2022-05-15,Meesho Order,"Rs 1,353.90",Shopping
2022-05-15,Zomato Food Delivery,Rs 228.24,Food & Dining
2022-05-15,Salary CTC Credit,"Rs 443,883.60",Income
2022-05-15,Meesho Order,"Rs 1,681.78",Shopping
2022-05-16,Chartered Accountant,"Rs 46,127.95",Miscellaneous
2022-05-17,BMW Service Center,"Rs 6,629.80",Transportation
2022-05-18,Parking Premium Mall,Rs 410.86,Transportation
2022-05-18,Stock Options,"Rs 214,129.25",Income
2022-05-20,Meesho Order,Rs 281.07,Shopping
2022-05-20,BigBasket Groceries,"Rs 1,596.28",Groceries
2022-05-21,BookMyShow Tickets,Rs 476.82,Entertainment
2022-05-22,BigBasket Groceries,"Rs 3,633.28",Groceries
2022-05-23,Dividend Credit,"Rs 20,943.16",Income
2022-05-24,Golf Club Membership,"Rs 26,794.67",Healthcare
2022-05-24,Fine Dining Restaurant,"Rs 16,765.37",Food & Dining
2022-05-24,BMW Service Center,"Rs 24,980.05",Transportation
2022-05-24,DMart Purchase,"Rs 2,410.36",Groceries
2022-05-25,Fine Dining Restaurant,"Rs 15,677.02",Food & Dining
2022-05-25,Chartered Accountant,"Rs 26,321.64",Miscellaneous
2022-05-26,Swiggy Order,Rs 558.81,Food & Dining
2022-05-26,Premium Whisky Shop,"Rs 5,384.35",Food & Dining
2022-05-26,BigBasket Groceries,Rs 556.96,Groceries
2022-05-27,Interior Design Service,"Rs 184,573.47",Housing
2022-05-30,Golf Club Membership,"Rs 7,664.48",Healthcare
2022-05-31,Premium Gym,"Rs 3,467.12",Healthcare
2022-06-01,Ola Cab,Rs 463.25,Transportation
2022-06-03,BMW Service Center,"Rs 27,361.19",Transportation
2022-06-03,Security System,"Rs 20,198.59",Housing
2022-06-04,Amazon Purchase,"Rs 2,319.50",Shopping
2022-06-04,BigBasket Groceries,Rs 602.80,Groceries
2022-06-05,Amazon Prime,Rs 433.70,Subscriptions
2022-06-05,Uber Ride,Rs 364.70,Transportation
2022-06-05,Designer Brand Store,"Rs 8,163.84",Shopping
2022-06-09,Premium Whisky Shop,"Rs 8,520.46",Food & Dining
2022-06-09,Fine Dining Restaurant,"Rs 12,088.36",Food & Dining
2022-06-10,YouTube Premium,Rs 139.00,Subscriptions
2022-06-11,Amazon Prime,Rs 291.83,Subscriptions
2022-06-12,Flipkart Order,"Rs 5,945.17",Shopping
2022-06-13,Rental Income,"Rs 43,591.03",Income
2022-06-13,BMW Service Center,"Rs 41,359.02",Transportation
2022-06-14,Uber Ride,Rs 463.79,Transportation
2022-06-14,Fine Dining Restaurant,"Rs 8,462.92",Food & Dining
2022-06-15,Premium Gym,"Rs 3,359.27",Healthcare
2022-06-15,Swiggy Order,Rs 818.07,Food & Dining
2022-06-15,Designer Brand Store,"Rs 88,478.84",Shopping
2022-06-16,Amazon Prime,Rs 360.38,Subscriptions
2022-06-17,Ola Cab,Rs 344.76,Transportation
2022-06-19,YouTube Premium,Rs 139.00,Subscriptions
2022-06-20,BMW Service Center,"Rs 38,295.99",Transportation
2022-06-21,Chartered Accountant,"Rs 35,018.54",Miscellaneous
2022-06-22,Uber Ride,Rs 223.99,Transportation
2022-06-22,Security System,"Rs 22,508.09",Housing
2022-06-24,DMart Purchase,"Rs 2,285.85",Groceries
2022-06-25,Netflix Subscription,Rs 576.09,Subscriptions
2022-06-28,Premium Whisky Shop,"Rs 6,475.54",Food & Dining
2022-06-28,Meesho Order,Rs 457.96,Shopping
2022-07-02,Golf Club Membership,"Rs 14,388.53",Healthcare
2022-07-02,BookMyShow Tickets,Rs 954.03,Entertainment
2022-07-02,Meesho Order,Rs 269.76,Shopping
2022-07-03,Uber Ride,Rs 104.11,Transportation
2022-07-04,Meesho Order,"Rs 1,134.81",Shopping
2022-07-05,Investment Advisory Fee,"Rs 19,713.07",Miscellaneous
2022-07-05,Dividend Credit,"Rs 58,122.60",Income
2022-07-05,Chartered Accountant,"Rs 26,167.02",Miscellaneous
2022-07-05,Salary CTC Credit,"Rs 425,708.98",Income
2022-07-06,Amazon Prime,Rs 210.54,Subscriptions
2022-07-07,Annual Bonus,"Rs 364,179.02",Income
2022-07-08,Golf Club Membership,"Rs 24,986.54",Healthcare
2022-07-08,Interior Design Service,"Rs 125,480.48",Housing
2022-07-08,Meesho Order,Rs 929.22,Shopping
2022-07-08,Investment Advisory Fee,"Rs 14,051.96",Miscellaneous
2022-07-09,BookMyShow Tickets,Rs 952.41,Entertainment
2022-07-09,Luxury Watch Service,"Rs 42,968.90",Shopping
2022-07-09,Stock Options,"Rs 267,037.75",Income
2022-07-10,Flipkart Order,"Rs 3,546.27",Shopping
2022-07-10,Stock Options,"Rs 102,046.95",Income
2022-07-12,Investment Advisory Fee,"Rs 6,421.84",Miscellaneous
2022-07-13,Ajio Clothing,"Rs 1,115.16",Shopping
2022-07-13,Uber Ride,Rs 486.62,Transportation
2022-07-13,Interest Credit,"Rs 5,615.33",Income
2022-07-14,Business Profit Transfer,"Rs 56,259.27",Income
2022-07-15,More Supermarket,Rs 374.45,Groceries
2022-07-15,Netflix Subscription,Rs 351.89,Subscriptions
2022-07-16,Rapido Bike Taxi,Rs 112.91,Transportation
2022-07-16,Chartered Accountant,"Rs 47,015.44",Miscellaneous
2022-07-17,BookMyShow Tickets,"Rs 1,452.25",Entertainment
2022-07-18,Business Profit Transfer,"Rs 144,575.27",Income
2022-07-18,Dividend Credit,"Rs 72,145.53",Income
2022-07-18,Uber Ride,Rs 272.95,Transportation
2022-07-19,Reliance Fresh,Rs 194.05,Groceries
2022-07-19,Business Profit Transfer,"Rs 235,686.39",Income
2022-07-20,Reliance Fresh,"Rs 1,010.85",Groceries
2022-07-21,Meesho Order,Rs 917.21,Shopping
2022-07-22,Amazon Prime,Rs 949.76,Subscriptions
2022-07-23,BMW Service Center,"Rs 25,898.25",Transportation
2022-07-24,Zomato Food Delivery,Rs 156.40,Food & Dining
2022-07-25,5-Star Hotel,"Rs 63,345.63",Travel
2022-07-29,Premium Gym,"Rs 2,552.77",Healthcare
2022-07-30,More Supermarket,"Rs 1,549.23",Groceries
2022-07-30,Uber Ride,Rs 404.25,Transportation
2022-08-01,Meesho Order,Rs 867.35,Shopping
2022-08-02,Zomato Food Delivery,Rs 635.91,Food & Dining
2022-08-02,Chartered Accountant,"Rs 18,942.49",Miscellaneous
2022-08-06,Business Class Flight,"Rs 65,292.85",Travel
2022-08-07,Amazon Purchase,"Rs 2,801.82",Shopping
2022-08-08,Ajio Clothing,"Rs 1,412.56",Shopping
2022-08-09,Meesho Order,"Rs 1,581.78",Shopping
2022-08-10,Myntra Fashion,"Rs 3,987.02",Shopping
2022-08-10,Parking Premium Mall,Rs 629.08,Transportation
2022-08-11,Meesho Order,Rs 516.30,Shopping
2022-08-14,Interest Credit,"Rs 5,104.36",Income
2022-08-15,Premium Gym,"Rs 3,140.72",Healthcare
2022-08-16,Flipkart Order,Rs 563.67,Shopping
2022-08-16,5-Star Hotel,"Rs 19,502.05",Travel
2022-08-18,Premium Gym,"Rs 4,258.88",Healthcare
2022-08-19,More Supermarket,Rs 219.08,Groceries
2022-08-19,Parking Premium Mall,Rs 324.30,Transportation
2022-08-19,Spotify Premium,Rs 119.00,Subscriptions
2022-08-19,Salary CTC Credit,"Rs 371,340.45",Income
2022-08-20,BigBasket Groceries,"Rs 1,735.25",Groceries
2022-08-21,Parking Premium Mall,Rs 543.19,Transportation
2022-08-21,More Supermarket,"Rs 1,286.18",Groceries
2022-08-21,Rapido Bike Taxi,Rs 157.68,Transportation
2022-08-23,More Supermarket,"Rs 1,724.41",Groceries
2022-08-23,Salary CTC Credit,"Rs 500,631.12",Income
2022-08-24,Stock Options,"Rs 116,906.98",Income
2022-08-24,Investment Advisory Fee,"Rs 10,193.38",Miscellaneous
2022-08-24,Premium Whisky Shop,"Rs 3,671.62",Food & Dining
2022-08-25,Chartered Accountant,"Rs 31,922.17",Miscellaneous
2022-08-26,Flipkart Order,"Rs 1,132.96",Shopping
2022-08-27,Amazon Purchase,"Rs 1,284.86",Shopping
2022-08-27,More Supermarket,"Rs 1,089.95",Groceries
2022-08-27,Meesho Order,Rs 504.01,Shopping
2022-08-27,YouTube Premium,Rs 139.00,Subscriptions
2022-08-27,Ajio Clothing,"Rs 1,644.31",Shopping
2022-08-28,Luxury Watch Service,"Rs 30,428.25",Shopping
2022-08-28,Premium Whisky Shop,"Rs 2,263.37",Food & Dining
2022-08-29,BMW Service Center,"Rs 37,044.48",Transportation
2022-08-29,Parking Premium Mall,Rs 576.76,Transportation
2022-08-29,BookMyShow Tickets,Rs 793.41,Entertainment
2022-08-31,YouTube Premium,Rs 139.00,Subscriptions
2022-08-31,Hotstar Subscription,Rs 323.03,Subscriptions
2022-08-31,Interest Credit,"Rs 24,007.31",Income
2022-08-31,Hotstar Subscription,Rs 456.69,Subscriptions
2022-09-01,Meesho Order,Rs 162.64,Shopping
2022-09-02,Ajio Clothing,"Rs 2,273.26",Shopping
2022-09-03,Parking Premium Mall,Rs 417.03,Transportation
2022-09-03,Stock Options,"Rs 54,460.32",Income
2022-09-04,Designer Brand Store,"Rs 67,828.95",Shopping
2022-09-05,Investment Advisory Fee,"Rs 11,418.39",Miscellaneous
2022-09-05,Netflix Subscription,Rs 255.16,Subscriptions
2022-09-06,Ola Cab,Rs 200.85,Transportation
2022-09-08,Golf Club Membership,"Rs 20,893.97",Healthcare
2022-09-08,Investment Advisory Fee,"Rs 13,541.53",Miscellaneous
2022-09-08,More Supermarket,Rs 230.10,Groceries
2022-09-09,Salary CTC Credit,"Rs 345,626.17",Income
2022-09-09,Stock Options,"Rs 292,771.54",Income
2022-09-10,Annual Bonus,"Rs 220,572.97",Income
2022-09-10,Premium Gym,"Rs 4,036.72",Healthcare
2022-09-10,Annual Bonus,"Rs 382,842.93",Income
2022-09-10,BookMyShow Tickets,Rs 430.80,Entertainment
2022-09-10,Investment Advisory Fee,"Rs 10,742.89",Miscellaneous
2022-09-11,Security System,"Rs 7,960.02",Housing
2022-09-13,Myntra Fashion,"Rs 2,199.31",Shopping
2022-09-15,Fine Dining Restaurant,"Rs 16,309.28",Food & Dining
2022-09-16,Luxury Watch Service,"Rs 55,545.78",Shopping
2022-09-17,Ajio Clothing,"Rs 3,322.56",Shopping
2022-09-17,Netflix Subscription,Rs 273.67,Subscriptions
2022-09-17,Premium Gym,"Rs 4,899.63",Healthcare
2022-09-17,Luxury Watch Service,"Rs 46,922.06",Shopping
2022-09-19,Salary CTC Credit,"Rs 527,132.99",Income
2022-09-20,Reliance Fresh,Rs 851.78,Groceries
2022-09-21,Meesho Order,Rs 272.31,Shopping
2022-09-21,Annual Bonus,"Rs 321,834.80",Income
2022-09-22,Chartered Accountant,"Rs 45,480.11",Miscellaneous
2022-09-22,Investment Advisory Fee,"Rs 10,460.96",Miscellaneous
2022-09-23,Premium Whisky Shop,"Rs 2,682.19",Food & Dining
2022-09-24,DMart Purchase,"Rs 1,710.66",Groceries
2022-09-24,More Supermarket,Rs 201.16,Groceries
2022-09-24,Chartered Accountant,"Rs 15,920.42",Miscellaneous
2022-09-25,Zomato Food Delivery,Rs 327.78,Food & Dining
2022-09-25,Investment Advisory Fee,"Rs 19,713.49",Miscellaneous
2022-09-25,Meesho Order,Rs 387.22,Shopping
2022-09-25,Stock Options,"Rs 101,015.36",Income
2022-09-25,Amazon Purchase,"Rs 1,427.87",Shopping
2022-09-26,Fine Dining Restaurant,"Rs 13,790.94",Food & Dining
2022-09-26,Premium Gym,"Rs 3,362.86",Healthcare
2022-09-26,Chartered Accountant,"Rs 49,110.46",Miscellaneous
2022-09-28,Premium Gym,"Rs 2,502.37",Healthcare
2022-09-29,Swiggy Order,Rs 821.14,Food & Dining
2022-09-29,Designer Brand Store,"Rs 27,548.94",Shopping
2022-09-30,BigBasket Groceries,Rs 587.48,Groceries
2022-09-30,Myntra Fashion,"Rs 2,279.37",Shopping
2022-09-30,Chartered Accountant,"Rs 49,584.38",Miscellaneous
2022-09-30,Luxury Watch Service,"Rs 24,495.68",Shopping
2022-10-01,5-Star Hotel,"Rs 53,845.90",Travel
2022-10-03,BigBasket Groceries,"Rs 1,117.30",Groceries
2022-10-03,Rental Income,"Rs 25,633.74",Income
2022-10-04,BookMyShow Tickets,Rs 469.06,Entertainment
2022-10-04,DMart Purchase,"Rs 3,261.84",Groceries
2022-10-08,Zomato Food Delivery,Rs 807.31,Food & Dining
2022-10-08,Chartered Accountant,"Rs 20,243.66",Miscellaneous
2022-10-09,Investment Advisory Fee,"Rs 16,913.66",Miscellaneous
2022-10-10,Parking Premium Mall,Rs 278.60,Transportation
2022-10-12,Rapido Bike Taxi,Rs 180.13,Transportation
2022-10-13,Luxury Watch Service,"Rs 48,777.30",Shopping
2022-10-14,More Supermarket,"Rs 1,603.06",Groceries
2022-10-14,BookMyShow Tickets,Rs 938.15,Entertainment
2022-10-14,Parking Premium Mall,Rs 410.66,Transportation
2022-10-15,Fine Dining Restaurant,"Rs 11,178.21",Food & Dining
2022-10-16,Investment Advisory Fee,"Rs 19,802.56",Miscellaneous
2022-10-17,Premium Whisky Shop,"Rs 12,068.26",Food & Dining
2022-10-17,Premium Gym,"Rs 3,237.47",Healthcare
2022-10-18,Golf Club Membership,"Rs 5,351.13",Healthcare
2022-10-18,BigBasket Groceries,Rs 638.96,Groceries
2022-10-19,Stock Options,"Rs 177,607.84",Income
2022-10-20,Security System,"Rs 27,748.42",Housing
2022-10-21,Rapido Bike Taxi,Rs 184.40,Transportation
2022-10-21,Investment Advisory Fee,"Rs 11,034.64",Miscellaneous
2022-10-21,Golf Club Membership,"Rs 10,588.40",Healthcare
2022-10-22,Annual Bonus,"Rs 196,414.33",Income
2022-10-23,BMW Service Center,"Rs 31,764.53",Transportation
2022-10-23,Hotstar Subscription,Rs 151.13,Subscriptions
2022-10-24,Zomato Food Delivery,Rs 768.49,Food & Dining
2022-10-28,Rental Income,"Rs 51,530.16",Income
2022-10-30,Myntra Fashion,"Rs 1,860.26",Shopping
2022-10-31,More Supermarket,"Rs 1,382.59",Groceries
2022-10-31,Annual Bonus,"Rs 345,777.78",Income
2022-11-01,Meesho Order,"Rs 1,054.93",Shopping
2022-11-02,Security System,"Rs 18,681.70",Housing
2022-11-02,YouTube Premium,Rs 139.00,Subscriptions
2022-11-03,Flipkart Order,"Rs 5,690.17",Shopping
2022-11-03,Security System,"Rs 28,229.57",Housing
2022-11-03,Business Profit Transfer,"Rs 156,226.70",Income
2022-11-03,Salary CTC Credit,"Rs 499,046.28",Income
2022-11-04,Netflix Subscription,Rs 262.77,Subscriptions
2022-11-05,More Supermarket,Rs 876.76,Groceries
2022-11-05,Hotstar Subscription,Rs 645.95,Subscriptions
2022-11-05,5-Star Hotel,"Rs 60,057.74",Travel
2022-11-05,Investment Advisory Fee,"Rs 19,003.45",Miscellaneous
2022-11-06,Annual Bonus,"Rs 332,488.85",Income
2022-11-06,Hotstar Subscription,Rs 354.29,Subscriptions
2022-11-08,Designer Brand Store,"Rs 56,045.27",Shopping
2022-11-08,Flipkart Order,"Rs 5,935.39",Shopping
2022-11-09,Netflix Subscription,Rs 299.59,Subscriptions
2022-11-10,Amazon Prime,Rs 247.86,Subscriptions
2022-11-12,Fine Dining Restaurant,"Rs 11,018.05",Food & Dining
2022-11-12,BookMyShow Tickets,"Rs 1,432.21",Entertainment
2022-11-12,Flipkart Order,"Rs 2,201.27",Shopping
2022-11-12,Amazon Prime,Rs 975.61,Subscriptions
2022-11-12,Ajio Clothing,"Rs 2,160.13",Shopping
2022-11-14,Myntra Fashion,"Rs 3,883.37",Shopping
2022-11-17,Reliance Fresh,"Rs 1,670.41",Groceries
2022-11-18,Reliance Fresh,"Rs 1,319.00",Groceries
2022-11-19,BookMyShow Tickets,"Rs 1,234.16",Entertainment
2022-11-19,BigBasket Groceries,"Rs 1,798.77",Groceries
2022-11-20,More Supermarket,Rs 709.04,Groceries
2022-11-20,Zomato Food Delivery,Rs 554.47,Food & Dining
2022-11-20,5-Star Hotel,"Rs 63,676.87",Travel
2022-11-20,BookMyShow Tickets,"Rs 1,103.25",Entertainment
2022-11-21,Myntra Fashion,"Rs 2,976.56",Shopping
2022-11-21,Zomato Food Delivery,Rs 207.47,Food & Dining
2022-11-23,Fine Dining Restaurant,"Rs 6,388.39",Food & Dining
2022-11-24,Meesho Order,Rs 461.28,Shopping
2022-11-24,Swiggy Order,Rs 344.98,Food & Dining
2022-11-25,Amazon Prime,Rs 665.28,Subscriptions
2022-11-25,Spotify Premium,Rs 119.00,Subscriptions
2022-11-25,Business Class Flight,"Rs 85,310.39",Travel
2022-11-26,Chartered Accountant,"Rs 34,091.13",Miscellaneous
2022-11-26,Amazon Prime,Rs 833.54,Subscriptions
2022-11-27,Amazon Prime,Rs 426.87,Subscriptions
2022-11-28,Premium Gym,"Rs 4,701.56",Healthcare
2022-11-29,Golf Club Membership,"Rs 13,646.71",Healthcare
2022-11-29,Myntra Fashion,"Rs 1,461.40",Shopping
2022-11-30,Netflix Subscription,Rs 199.89,Subscriptions
2022-12-01,Annual Bonus,"Rs 201,381.81",Income
2022-12-01,Ola Cab,Rs 279.56,Transportation
