Value Date,Narration,Amount,Dr/Cr,Category
07-03-2021,Grandchildren's Gift,1380.79,Dr,Shopping
07-03-2021,LIC Premium,18814.67,Dr,Insurance
09-03-2021,Post Office RD,7870.63,Dr,Insurance
09-03-2021,Post Office RD,3745.23,Dr,Insurance
09-03-2021,Kiryana Store,1159.54,Dr,Groceries
09-03-2021,Pilgrimage Travel,21562.25,Dr,Travel
11-03-2021,Electricity Bill,2268.25,Dr,Utilities
12-03-2021,Kiryana Store,1198.71,Dr,Groceries
12-03-2021,Electricity Bill,836.99,Dr,Utilities
13-03-2021,LIC Premium,14889.91,Dr,Insurance
13-03-2021,Bus Ticket,1342.7,Dr,Travel
14-03-2021,Children Transfer,19298.09,Cr,Income
15-03-2021,Train Ticket,4728.45,Dr,Travel
16-03-2021,Post Office RD,2278.51,Dr,Insurance
16-03-2021,Grandchildren's Gift,686.94,Dr,Shopping
19-03-2021,Kiryana Store,887.54,Dr,Groceries
19-03-2021,Vegetable Market,1468.44,Dr,Groceries
20-03-2021,Electricity Bill,940.62,Dr,Utilities
20-03-2021,Bus Ticket,1390.18,Dr,Travel
20-03-2021,Home Nurse Service,7087.63,Dr,Healthcare
21-03-2021,Pilgrimage Travel,12869.57,Dr,Travel
24-03-2021,Diagnostic Tests,4992.27,Dr,Healthcare
25-03-2021,Bus Ticket,1465.75,Dr,Travel
25-03-2021,Readymade Garments,1831.36,Dr,Shopping
25-03-2021,Fixed Deposit Interest,23784.89,Cr,Income
25-03-2021,Hospital Bill,9419.53,Dr,Healthcare
26-03-2021,Auto Rickshaw,212.37,Dr,Transportation
26-03-2021,Post Office RD,5214.29,Dr,Insurance
26-03-2021,Home Nurse Service,10345.79,Dr,Healthcare
27-03-2021,Grandchildren's Gift,3156.61,Dr,Shopping
27-03-2021,Post Office RD,2773.15,Dr,Insurance
28-03-2021,Vegetable Market,526.44,Dr,Groceries
30-03-2021,Pension Credit,47412.51,Cr,Income
30-03-2021,Newspaper Home Delivery,173.92,Dr,Subscriptions
30-03-2021,LIC Premium,10204.53,Dr,Insurance
31-03-2021,Pilgrimage Travel,17124.25,Dr,Travel
31-03-2021,Post Office Interest,9089.43,Cr,Income
31-03-2021,Auto Rickshaw,77.25,Dr,Transportation
31-03-2021,Hospital Bill,24327.93,Dr,Healthcare
01-04-2021,Post Office RD,3286.39,Dr,Insurance
01-04-2021,Auto Rickshaw,196.85,Dr,Transportation
02-04-2021,Pension Credit,46511.38,Cr,Income
02-04-2021,Vegetable Market,1601.4,Dr,Groceries
02-04-2021,Hospital Bill,4216.02,Dr,Healthcare
03-04-2021,Home Nurse Service,13489.77,Dr,Healthcare
03-04-2021,Vegetable Market,466.28,Dr,Groceries
06-04-2021,Auto Rickshaw,121.15,Dr,Transportation
06-04-2021,Fixed Deposit Interest,21929.96,Cr,Income
07-04-2021,Vegetable Market,1093.46,Dr,Groceries
08-04-2021,Kiryana Store,899.39,Dr,Groceries
08-04-2021,Children Transfer,19954.33,Cr,Income
09-04-2021,Train Ticket,3211.34,Dr,Travel
11-04-2021,Children Transfer,9603.02,Cr,Income
12-04-2021,Bus Ticket,1414.18,Dr,Travel
12-04-2021,Pension Credit,57463.13,Cr,Income
14-04-2021,Dividend Credit,12871.02,Cr,Income
15-04-2021,Train Ticket,4119.47,Dr,Travel
16-04-2021,Readymade Garments,664.06,Dr,Shopping
16-04-2021,Pilgrimage Travel,26684.5,Dr,Travel
17-04-2021,Train Ticket,3695.01,Dr,Travel
17-04-2021,Home Nurse Service,5048.87,Dr,Healthcare
17-04-2021,Cable TV,214.89,Dr,Subscriptions
18-04-2021,Grandchildren's Gift,1816.2,Dr,Shopping
19-04-2021,LPG Cylinder,945.99,Dr,Utilities
22-04-2021,Electricity Bill,2426.81,Dr,Utilities
23-04-2021,Milk Subscription,679.35,Dr,Groceries
24-04-2021,Rental Income,7110.65,Cr,Income
26-04-2021,Train Ticket,4259.34,Dr,Travel
26-04-2021,Train Ticket,4247.21,Dr,Travel
26-04-2021,Chemist Medical Store,2810.42,Dr,Healthcare
27-04-2021,Auto Rickshaw,87.51,Dr,Transportation
29-04-2021,Auto Rickshaw,227.69,Dr,Transportation
30-04-2021,LPG Cylinder,940.33,Dr,Utilities
30-04-2021,Diagnostic Tests,9722.21,Dr,Healthcare
30-04-2021,Rental Income,18444.27,Cr,Income
30-04-2021,LPG Cylinder,906.73,Dr,Utilities
01-05-2021,LPG Cylinder,918.16,Dr,Utilities
02-05-2021,Dividend Credit,2740.02,Cr,Income
03-05-2021,Bus Ticket,1861.75,Dr,Travel
03-05-2021,LIC Premium,13758.65,Dr,Insurance
03-05-2021,Kiryana Store,593.23,Dr,Groceries
04-05-2021,Train Ticket,1570.3,Dr,Travel
05-05-2021,Diagnostic Tests,5077.18,Dr,Healthcare
06-05-2021,Post Office RD,9835.54,Dr,Insurance
06-05-2021,Chemist Medical Store,4626.26,Dr,Healthcare
07-05-2021,LIC Premium,6316.74,Dr,Insurance
07-05-2021,Pilgrimage Travel,9298.43,Dr,Travel
08-05-2021,Dividend Credit,14789.54,Cr,Income
09-05-2021,Home Nurse Service,11986.01,Dr,Healthcare
09-05-2021,Dividend Credit,10878.48,Cr,Income
09-05-2021,PPF Withdrawal,37972.75,Cr,Income
12-05-2021,LIC Premium,5292.65,Dr,Insurance
12-05-2021,Children Transfer,15757.89,Cr,Income
12-05-2021,Hospital Bill,35794.68,Dr,Healthcare
12-05-2021,Temple Donation,4197.47,Dr,Miscellaneous
13-05-2021,Fixed Deposit Interest,18869.91,Cr,Income
13-05-2021,Train Ticket,7742.12,Dr,Travel
14-05-2021,Bus Ticket,1088.89,Dr,Travel
14-05-2021,Hospital Bill,12147.84,Dr,Healthcare
14-05-2021,Milk Subscription,532.87,Dr,Groceries
15-05-2021,Vegetable Market,363.06,Dr,Groceries
15-05-2021,Post Office RD,5295.65,Dr,Insurance
16-05-2021,LPG Cylinder,940.65,Dr,Utilities
16-05-2021,Bus Ticket,1671.85,Dr,Travel
16-05-2021,Pension Credit,22938.95,Cr,Income
18-05-2021,Home Nurse Service,8669.08,Dr,Healthcare
19-05-2021,Cable TV,331.16,Dr,Subscriptions
19-05-2021,PPF Withdrawal,17492.31,Cr,Income
19-05-2021,Post Office RD,5707.41,Dr,Insurance
19-05-2021,Children Transfer,6152.99,Cr,Income
20-05-2021,Hospital Bill,25840.32,Dr,Healthcare
21-05-2021,Kiryana Store,1497.74,Dr,Groceries
22-05-2021,Vegetable Market,698.48,Dr,Groceries
25-05-2021,Children Transfer,10692.15,Cr,Income
27-05-2021,LIC Premium,3175.78,Dr,Insurance
27-05-2021,Milk Subscription,446.07,Dr,Groceries
29-05-2021,Readymade Garments,1798.2,Dr,Shopping
30-05-2021,Home Nurse Service,14769.38,Dr,Healthcare
01-06-2021,Newspaper Home Delivery,213.54,Dr,Subscriptions
01-06-2021,Readymade Garments,1758.01,Dr,Shopping
01-06-2021,Diagnostic Tests,7588.39,Dr,Healthcare
04-06-2021,Fixed Deposit Interest,8284.34,Cr,Income
06-06-2021,PPF Withdrawal,42515.08,Cr,Income
06-06-2021,Chemist Medical Store,4368.22,Dr,Healthcare
07-06-2021,LIC Premium,7790.08,Dr,Insurance
08-06-2021,Chemist Medical Store,580.14,Dr,Healthcare
09-06-2021,Pension Credit,45933.59,Cr,Income
09-06-2021,Cable TV,498.68,Dr,Subscriptions
10-06-2021,Auto Rickshaw,259.93,Dr,Transportation
11-06-2021,Electricity Bill,2707.28,Dr,Utilities
11-06-2021,Vegetable Market,723.92,Dr,Groceries
12-06-2021,Chemist Medical Store,2070.1,Dr,Healthcare
13-06-2021,Electricity Bill,755.69,Dr,Utilities
15-06-2021,Children Transfer,11365.15,Cr,Income
16-06-2021,Auto Rickshaw,151.71,Dr,Transportation
18-06-2021,Hospital Bill,11730.03,Dr,Healthcare
19-06-2021,LPG Cylinder,939.56,Dr,Utilities
20-06-2021,Auto Rickshaw,273.97,Dr,Transportation
20-06-2021,Chemist Medical Store,3221.99,Dr,Healthcare
20-06-2021,Hospital Bill,4983.68,Dr,Healthcare
21-06-2021,Auto Rickshaw,166.08,Dr,Transportation
22-06-2021,Vegetable Market,733.73,Dr,Groceries
22-06-2021,LIC Premium,17996.29,Dr,Insurance
22-06-2021,Readymade Garments,2104.78,Dr,Shopping
23-06-2021,Children Transfer,7797.17,Cr,Income
23-06-2021,Grandchildren's Gift,1418.36,Dr,Shopping
23-06-2021,Hospital Bill,30923.72,Dr,Healthcare
24-06-2021,Newspaper Home Delivery,285.35,Dr,Subscriptions
25-06-2021,LIC Premium,17403.39,Dr,Insurance
26-06-2021,Chemist Medical Store,4511.8,Dr,Healthcare
28-06-2021,Temple Donation,4154.73,Dr,Miscellaneous
28-06-2021,Children Transfer,10927.16,Cr,Income
29-06-2021,Diagnostic Tests,3426.41,Dr,Healthcare
29-06-2021,Newspaper Home Delivery,165.1,Dr,Subscriptions
29-06-2021,Hospital Bill,37887.2,Dr,Healthcare
30-06-2021,Readymade Garments,370.13,Dr,Shopping
30-06-2021,Temple Donation,3661.54,Dr,Miscellaneous
30-06-2021,Readymade Garments,1061.44,Dr,Shopping
30-06-2021,PPF Withdrawal,11897.42,Cr,Income
01-07-2021,Auto Rickshaw,77.36,Dr,Transportation
02-07-2021,Post Office RD,5569.15,Dr,Insurance
02-07-2021,Temple Donation,279.01,Dr,Miscellaneous
05-07-2021,Home Nurse Service,18264.68,Dr,Healthcare
05-07-2021,Kiryana Store,1232.86,Dr,Groceries
06-07-2021,Dividend Credit,14316.82,Cr,Income
09-07-2021,Kiryana Store,637.42,Dr,Groceries
09-07-2021,Train Ticket,2395.57,Dr,Travel
09-07-2021,Children Transfer,8386.01,Cr,Income
09-07-2021,Hospital Bill,25378.6,Dr,Healthcare
09-07-2021,PPF Withdrawal,20605.41,Cr,Income
10-07-2021,LIC Premium,3702.24,Dr,Insurance
10-07-2021,Grandchildren's Gift,1910.96,Dr,Shopping
11-07-2021,Dividend Credit,11554.89,Cr,Income
12-07-2021,LPG Cylinder,904.45,Dr,Utilities
13-07-2021,Auto Rickshaw,281.73,Dr,Transportation
13-07-2021,LPG Cylinder,910.12,Dr,Utilities
14-07-2021,Rental Income,12235.22,Cr,Income
15-07-2021,Post Office Interest,2735.76,Cr,Income
16-07-2021,Newspaper Home Delivery,196.1,Dr,Subscriptions
16-07-2021,Vegetable Market,1068.21,Dr,Groceries
16-07-2021,Dividend Credit,8861.98,Cr,Income
17-07-2021,LIC Premium,11598.61,Dr,Insurance
17-07-2021,Electricity Bill,2137.81,Dr,Utilities
19-07-2021,Home Nurse Service,17879.68,Dr,Healthcare
20-07-2021,Pilgrimage Travel,11136.91,Dr,Travel
21-07-2021,Diagnostic Tests,4573.78,Dr,Healthcare
22-07-2021,Chemist Medical Store,4772.0,Dr,Healthcare
22-07-2021,Cable TV,390.07,Dr,Subscriptions
24-07-2021,Post Office Interest,9137.4,Cr,Income
25-07-2021,Hospital Bill,27206.68,Dr,Healthcare
25-07-2021,Children Transfer,5953.46,Cr,Income
28-07-2021,Vegetable Market,1765.6,Dr,Groceries
28-07-2021,Kiryana Store,1444.91,Dr,Groceries
29-07-2021,Dividend Credit,11055.34,Cr,Income
29-07-2021,Temple Donation,3909.74,Dr,Miscellaneous
29-07-2021,Kiryana Store,407.75,Dr,Groceries
29-07-2021,Cable TV,387.58,Dr,Subscriptions
30-07-2021,Pilgrimage Travel,29933.1,Dr,Travel
31-07-2021,Temple Donation,2643.24,Dr,Miscellaneous
31-07-2021,Grandchildren's Gift,3984.23,Dr,Shopping
01-08-2021,LIC Premium,2732.57,Dr,Insurance
01-08-2021,Bus Ticket,1451.44,Dr,Travel
01-08-2021,Vegetable Market,854.62,Dr,Groceries
02-08-2021,Diagnostic Tests,1759.24,Dr,Healthcare
02-08-2021,Train Ticket,3427.49,Dr,Travel
04-08-2021,Post Office RD,2039.59,Dr,Insurance
04-08-2021,Train Ticket,5665.12,Dr,Travel
04-08-2021,Electricity Bill,2841.04,Dr,Utilities
04-08-2021,Grandchildren's Gift,1194.26,Dr,Shopping
05-08-2021,Hospital Bill,24154.56,Dr,Healthcare
06-08-2021,Kiryana Store,1034.26,Dr,Groceries
07-08-2021,LIC Premium,8345.53,Dr,Insurance
08-08-2021,Newspaper Home Delivery,250.44,Dr,Subscriptions
09-08-2021,Readymade Garments,2661.73,Dr,Shopping
11-08-2021,LPG Cylinder,949.14,Dr,Utilities
11-08-2021,PPF Withdrawal,20686.19,Cr,Income
11-08-2021,Readymade Garments,2074.91,Dr,Shopping
11-08-2021,Diagnostic Tests,4613.61,Dr,Healthcare
12-08-2021,Diagnostic Tests,3233.11,Dr,Healthcare
13-08-2021,Chemist Medical Store,4583.78,Dr,Healthcare
13-08-2021,Vegetable Market,972.46,Dr,Groceries
13-08-2021,LIC Premium,3183.23,Dr,Insurance
14-08-2021,Pension Credit,22272.67,Cr,Income
14-08-2021,Kiryana Store,1163.96,Dr,Groceries
16-08-2021,Train Ticket,1073.65,Dr,Travel
18-08-2021,Electricity Bill,2135.24,Dr,Utilities
20-08-2021,Post Office RD,6620.75,Dr,Insurance
20-08-2021,Bus Ticket,1655.78,Dr,Travel
22-08-2021,Train Ticket,6188.31,Dr,Travel
23-08-2021,Children Transfer,16645.95,Cr,Income
24-08-2021,Train Ticket,2317.1,Dr,Travel
24-08-2021,Temple Donation,4370.98,Dr,Miscellaneous
25-08-2021,Electricity Bill,2470.45,Dr,Utilities
26-08-2021,Home Nurse Service,12093.51,Dr,Healthcare
27-08-2021,Rental Income,8036.17,Cr,Income
27-08-2021,Home Nurse Service,15031.83,Dr,Healthcare
28-08-2021,Diagnostic Tests,9278.02,Dr,Healthcare
29-08-2021,Auto Rickshaw,104.31,Dr,Transportation
29-08-2021,Chemist Medical Store,545.96,Dr,Healthcare
30-08-2021,LIC Premium,3299.19,Dr,Insurance
31-08-2021,Pilgrimage Travel,21596.49,Dr,Travel
31-08-2021,Diagnostic Tests,3626.81,Dr,Healthcare
01-09-2021,PPF Withdrawal,14614.61,Cr,Income
02-09-2021,Readymade Garments,491.57,Dr,Shopping
02-09-2021,Post Office RD,7207.31,Dr,Insurance
02-09-2021,Dividend Credit,2118.66,Cr,Income
03-09-2021,Cable TV,413.22,Dr,Subscriptions
03-09-2021,Cable TV,382.9,Dr,Subscriptions
03-09-2021,Auto Rickshaw,95.38,Dr,Transportation
04-09-2021,Bus Ticket,1407.47,Dr,Travel
05-09-2021,Readymade Garments,2942.36,Dr,Shopping
07-09-2021,Pilgrimage Travel,11684.04,Dr,Travel
08-09-2021,Diagnostic Tests,6408.7,Dr,Healthcare
09-09-2021,LIC Premium,6492.91,Dr,Insurance
10-09-2021,PPF Withdrawal,37033.77,Cr,Income
11-09-2021,Home Nurse Service,6193.21,Dr,Healthcare
11-09-2021,Readymade Garments,518.12,Dr,Shopping
12-09-2021,Vegetable Market,1447.58,Dr,Groceries
12-09-2021,Cable TV,393.84,Dr,Subscriptions
13-09-2021,Fixed Deposit Interest,23390.66,Cr,Income
14-09-2021,Fixed Deposit Interest,22955.82,Cr,Income
14-09-2021,Temple Donation,2074.68,Dr,Miscellaneous
14-09-2021,Diagnostic Tests,2981.17,Dr,Healthcare
14-09-2021,Grandchildren's Gift,3228.34,Dr,Shopping
15-09-2021,Post Office RD,6674.16,Dr,Insurance
16-09-2021,LPG Cylinder,900.98,Dr,Utilities
17-09-2021,Bus Ticket,215.47,Dr,Travel
17-09-2021,Pension Credit,34525.98,Cr,Income
17-09-2021,Rental Income,7879.32,Cr,Income
18-09-2021,LIC Premium,18457.68,Dr,Insurance
19-09-2021,Post Office RD,6860.31,Dr,Insurance
20-09-2021,Milk Subscription,755.78,Dr,Groceries
21-09-2021,Hospital Bill,29867.86,Dr,Healthcare
21-09-2021,LIC Premium,6298.16,Dr,Insurance
23-09-2021,Newspaper Home Delivery,170.8,Dr,Subscriptions
23-09-2021,Electricity Bill,525.61,Dr,Utilities
24-09-2021,Home Nurse Service,6432.45,Dr,Healthcare
24-09-2021,Vegetable Market,1824.11,Dr,Groceries
24-09-2021,Dividend Credit,1726.58,Cr,Income
25-09-2021,Auto Rickshaw,231.35,Dr,Transportation
25-09-2021,Bus Ticket,1938.03,Dr,Travel
26-09-2021,Temple Donation,2479.91,Dr,Miscellaneous
26-09-2021,Electricity Bill,1062.64,Dr,Utilities
28-09-2021,Chemist Medical Store,2781.7,Dr,Healthcare
01-10-2021,LPG Cylinder,945.91,Dr,Utilities
02-10-2021,Hospital Bill,40762.4,Dr,Healthcare
02-10-2021,Auto Rickshaw,233.8,Dr,Transportation
03-10-2021,Rental Income,16861.84,Cr,Income
04-10-2021,Train Ticket,2666.85,Dr,Travel
05-10-2021,Bus Ticket,1518.94,Dr,Travel
05-10-2021,Hospital Bill,30982.36,Dr,Healthcare
07-10-2021,Grandchildren's Gift,951.66,Dr,Shopping
08-10-2021,Cable TV,243.05,Dr,Subscriptions
09-10-2021,Post Office RD,5542.04,Dr,Insurance
09-10-2021,Rental Income,8836.15,Cr,Income
09-10-2021,Readymade Garments,1099.75,Dr,Shopping
10-10-2021,LPG Cylinder,932.69,Dr,Utilities
10-10-2021,Post Office Interest,7094.0,Cr,Income
13-10-2021,Home Nurse Service,19088.64,Dr,Healthcare
13-10-2021,Newspaper Home Delivery,281.64,Dr,Subscriptions
14-10-2021,LPG Cylinder,914.83,Dr,Utilities
14-10-2021,Readymade Garments,2766.75,Dr,Shopping
16-10-2021,Children Transfer,22764.32,Cr,Income
16-10-2021,Chemist Medical Store,532.64,Dr,Healthcare
17-10-2021,Chemist Medical Store,3904.75,Dr,Healthcare
18-10-2021,Milk Subscription,691.93,Dr,Groceries
18-10-2021,Chemist Medical Store,921.38,Dr,Healthcare
18-10-2021,Pilgrimage Travel,18702.74,Dr,Travel
18-10-2021,PPF Withdrawal,19428.63,Cr,Income
19-10-2021,Cable TV,496.79,Dr,Subscriptions
19-10-2021,Dividend Credit,5155.77,Cr,Income
20-10-2021,Hospital Bill,33855.31,Dr,Healthcare
20-10-2021,Pilgrimage Travel,25628.72,Dr,Travel
21-10-2021,Milk Subscription,348.47,Dr,Groceries
22-10-2021,Pilgrimage Travel,19085.08,Dr,Travel
22-10-2021,LPG Cylinder,940.05,Dr,Utilities
23-10-2021,Home Nurse Service,14717.42,Dr,Healthcare
23-10-2021,Cable TV,206.81,Dr,Subscriptions
23-10-2021,Electricity Bill,1973.68,Dr,Utilities
24-10-2021,Vegetable Market,1094.82,Dr,Groceries
25-10-2021,Kiryana Store,285.27,Dr,Groceries
25-10-2021,Pilgrimage Travel,3054.34,Dr,Travel
26-10-2021,LPG Cylinder,937.41,Dr,Utilities
26-10-2021,Vegetable Market,1236.13,Dr,Groceries
27-10-2021,Grandchildren's Gift,2316.38,Dr,Shopping
28-10-2021,LPG Cylinder,932.56,Dr,Utilities
28-10-2021,LPG Cylinder,904.2,Dr,Utilities
30-10-2021,Bus Ticket,1154.71,Dr,Travel
31-10-2021,Post Office Interest,7687.32,Cr,Income
01-11-2021,Diagnostic Tests,4244.01,Dr,Healthcare
01-11-2021,Readymade Garments,552.91,Dr,Shopping
02-11-2021,Hospital Bill,18102.32,Dr,Healthcare
02-11-2021,Pension Credit,48372.93,Cr,Income
02-11-2021,Kiryana Store,1445.54,Dr,Groceries
03-11-2021,Diagnostic Tests,5600.23,Dr,Healthcare
03-11-2021,PPF Withdrawal,41567.36,Cr,Income
05-11-2021,Vegetable Market,447.19,Dr,Groceries
06-11-2021,Bus Ticket,685.85,Dr,Travel
06-11-2021,LIC Premium,13738.93,Dr,Insurance
07-11-2021,Auto Rickshaw,172.06,Dr,Transportation
09-11-2021,Train Ticket,5233.05,Dr,Travel
09-11-2021,Children Transfer,28702.0,Cr,Income
09-11-2021,Vegetable Market,492.24,Dr,Groceries
09-11-2021,LIC Premium,17973.17,Dr,Insurance
10-11-2021,Diagnostic Tests,5994.5,Dr,Healthcare
10-11-2021,Rental Income,10310.4,Cr,Income
10-11-2021,Cable TV,272.41,Dr,Subscriptions
11-11-2021,Chemist Medical Store,2930.77,Dr,Healthcare
12-11-2021,Home Nurse Service,5337.26,Dr,Healthcare
14-11-2021,Cable TV,263.65,Dr,Subscriptions
14-11-2021,Bus Ticket,1743.51,Dr,Travel
15-11-2021,Temple Donation,3440.56,Dr,Miscellaneous
15-11-2021,Electricity Bill,1939.11,Dr,Utilities
16-11-2021,Bus Ticket,338.84,Dr,Travel
19-11-2021,Post Office RD,9373.56,Dr,Insurance
20-11-2021,Temple Donation,3369.17,Dr,Miscellaneous
20-11-2021,Chemist Medical Store,2557.66,Dr,Healthcare
20-11-2021,Vegetable Market,447.55,Dr,Groceries
21-11-2021,Bus Ticket,1647.49,Dr,Travel
21-11-2021,Grandchildren's Gift,795.89,Dr,Shopping
21-11-2021,LPG Cylinder,935.68,Dr,Utilities
21-11-2021,Electricity Bill,1111.13,Dr,Utilities
22-11-2021,Post Office RD,3271.19,Dr,Insurance
22-11-2021,Auto Rickshaw,84.14,Dr,Transportation
23-11-2021,Milk Subscription,647.3,Dr,Groceries
24-11-2021,Diagnostic Tests,8927.21,Dr,Healthcare
24-11-2021,Electricity Bill,1438.59,Dr,Utilities
24-11-2021,LPG Cylinder,911.45,Dr,Utilities
25-11-2021,Pension Credit,29381.7,Cr,Income
25-11-2021,PPF Withdrawal,42399.24,Cr,Income
26-11-2021,Temple Donation,357.95,Dr,Miscellaneous
26-11-2021,Grandchildren's Gift,4473.72,Dr,Shopping
27-11-2021,Auto Rickshaw,198.83,Dr,Transportation
28-11-2021,LPG Cylinder,937.4,Dr,Utilities
28-11-2021,Pilgrimage Travel,7261.84,Dr,Travel
29-11-2021,Vegetable Market,1259.57,Dr,Groceries
30-11-2021,Grandchildren's Gift,799.18,Dr,Shopping
