Transaction Date,Description,Net Amount,Type,Spending Category
02-01-2023,DMart Purchase,1854.54,Expense,Groceries
02-02-2023,PVR Cinemas,734.01,Expense,Entertainment
02-02-2023,Amazon Prime,877.72,Expense,Subscriptions
02-02-2023,Hair Salon,947.8,Expense,Personal Care
02-03-2023,Zomato Food Delivery,280.74,Expense,Food & Dining
02-03-2023,Gym Membership,1784.74,Expense,Healthcare
02-03-2023,Rental Income,16138.84,Income,Income
02-03-2023,Book Purchase,1312.48,Expense,Education
02-05-2023,Jio Recharge,498.0,Expense,Utilities
02-05-2023,Hotel Stay,4883.47,Expense,Travel
02-06-2023,Freelance Payment,7396.44,Income,Income
02-07-2023,Maintenance Charges,1034.44,Expense,Housing
02-08-2023,Airtel Mobile Bill,586.19,Expense,Utilities
02-08-2023,Travel Booking,8529.8,Expense,Travel
02-08-2023,Amazon Purchase,4880.89,Expense,Shopping
02-09-2023,Transfer Received,46702.3,Income,Income
02-10-2023,Jio Recharge,244.83,Expense,Utilities
02-11-2023,Ajio Clothing,966.96,Expense,Shopping
02-11-2023,Rapido Bike Taxi,149.2,Expense,Transportation
02-11-2023,Ajio Clothing,2409.0,Expense,Shopping
02-12-2023,House Rent,10053.66,Expense,Housing
02-13-2023,Meesho Order,210.09,Expense,Shopping
02-13-2023,Insurance Premium,2411.7,Expense,Insurance
02-14-2023,Ola Cab,217.13,Expense,Transportation
02-14-2023,Hair Salon,405.18,Expense,Personal Care
02-14-2023,Metro Card Recharge,623.07,Expense,Transportation
02-14-2023,Zomato Food Delivery,244.99,Expense,Food & Dining
02-15-2023,Hair Salon,1383.29,Expense,Personal Care
02-16-2023,Hotel Stay,3456.0,Expense,Travel
02-16-2023,Doctor Consultation,1990.82,Expense,Healthcare
02-17-2023,Swiggy Order,182.1,Expense,Food & Dining
02-17-2023,Transfer Received,42446.38,Income,Income
02-18-2023,Parking Charges,76.07,Expense,Transportation
02-18-2023,Maintenance Charges,511.05,Expense,Housing
02-19-2023,Ola Cab,395.77,Expense,Transportation
02-20-2023,Travel Booking,10180.97,Expense,Travel
02-20-2023,Freelance Payment,19059.89,Income,Income
02-21-2023,Bonus Credit,6497.2,Income,Income
02-23-2023,UPI Received,786.8,Income,Income
02-23-2023,Swiggy Order,296.37,Expense,Food & Dining
02-23-2023,1mg Medicine Order,1370.9,Expense,Healthcare
02-23-2023,More Supermarket,618.16,Expense,Groceries
02-23-2023,Cashback Credit,157.57,Income,Income
02-24-2023,Uber Ride,343.5,Expense,Transportation
02-24-2023,Spotify Premium,119.0,Expense,Subscriptions
02-25-2023,Rapido Bike Taxi,38.02,Expense,Transportation
02-25-2023,Netflix Subscription,533.0,Expense,Subscriptions
02-26-2023,Amazon Prime,337.0,Expense,Subscriptions
02-26-2023,Coffee Shop,405.81,Expense,Food & Dining
02-27-2023,School Fees,4733.66,Expense,Education
02-27-2023,Petrol / Diesel,1137.82,Expense,Transportation
02-28-2023,Electricity Bill,3216.5,Expense,Utilities
03-02-2023,Bonus Credit,44036.8,Income,Income
03-02-2023,Maintenance Charges,518.75,Expense,Housing
03-03-2023,Gym Membership,1633.61,Expense,Healthcare
03-03-2023,Hotel Stay,8925.95,Expense,Travel
03-04-2023,More Supermarket,1581.16,Expense,Groceries
03-05-2023,Hotel Stay,4057.26,Expense,Travel
03-06-2023,House Rent,14324.96,Expense,Housing
03-06-2023,Ola Cab,336.93,Expense,Transportation
03-07-2023,Gym Membership,764.29,Expense,Healthcare
03-08-2023,PVR Cinemas,740.3,Expense,Entertainment
03-08-2023,Transfer Received,25453.87,Income,Income
03-08-2023,Petrol / Diesel,3405.85,Expense,Transportation
03-08-2023,Transfer Received,23172.96,Income,Income
03-08-2023,Cashback Credit,993.72,Income,Income
03-09-2023,Rapido Bike Taxi,115.13,Expense,Transportation
03-09-2023,Hotel Stay,3018.66,Expense,Travel
03-09-2023,Book Purchase,1210.68,Expense,Education
03-09-2023,Apollo Pharmacy,373.54,Expense,Healthcare
03-11-2023,Freelance Payment,6618.12,Income,Income
03-12-2023,House Rent,25424.67,Expense,Housing
03-12-2023,Gym Membership,1110.97,Expense,Healthcare
03-13-2023,Amazon Purchase,2566.26,Expense,Shopping
03-14-2023,Hotstar Subscription,247.59,Expense,Subscriptions
03-14-2023,Online Course,2937.38,Expense,Education
03-15-2023,Hotstar Subscription,441.38,Expense,Subscriptions
03-15-2023,Uber Ride,477.0,Expense,Transportation
03-15-2023,Amazon Purchase,7085.88,Expense,Shopping
03-15-2023,House Rent,16552.07,Expense,Housing
03-16-2023,Gaming Recharge,196.6,Expense,Entertainment
03-17-2023,Newspaper Subscription,154.91,Expense,Subscriptions
03-18-2023,Apollo Pharmacy,1314.44,Expense,Healthcare
03-18-2023,Freelance Payment,23951.45,Income,Income
03-18-2023,Travel Booking,7080.06,Expense,Travel
03-18-2023,ATM Withdrawal,1154.01,Expense,Miscellaneous
03-19-2023,PVR Cinemas,597.9,Expense,Entertainment
03-19-2023,Swiggy Order,151.42,Expense,Food & Dining
03-20-2023,Newspaper Subscription,270.42,Expense,Subscriptions
03-21-2023,Freelance Payment,19957.71,Income,Income
03-21-2023,Meesho Order,1029.5,Expense,Shopping
03-22-2023,Flipkart Order,3944.09,Expense,Shopping
03-22-2023,Myntra Fashion,849.89,Expense,Shopping
03-22-2023,Amazon Prime,944.09,Expense,Subscriptions
03-23-2023,Zomato Food Delivery,492.69,Expense,Food & Dining
03-24-2023,Zomato Food Delivery,203.52,Expense,Food & Dining
03-24-2023,Newspaper Subscription,151.63,Expense,Subscriptions
03-25-2023,Zomato Food Delivery,844.0,Expense,Food & Dining
03-27-2023,BookMyShow Tickets,1327.6,Expense,Entertainment
03-27-2023,Hair Salon,337.9,Expense,Personal Care
03-27-2023,Myntra Fashion,2558.22,Expense,Shopping
03-28-2023,Parking Charges,160.76,Expense,Transportation
03-28-2023,DMart Purchase,2013.26,Expense,Groceries
03-28-2023,Freelance Payment,10942.8,Income,Income
03-28-2023,Coffee Shop,267.93,Expense,Food & Dining
03-29-2023,Cashback Credit,935.45,Income,Income
03-30-2023,Spotify Premium,119.0,Expense,Subscriptions
04-01-2023,1mg Medicine Order,1290.87,Expense,Healthcare
04-01-2023,Restaurant Dinner,2550.56,Expense,Food & Dining
04-02-2023,Metro Card Recharge,536.98,Expense,Transportation
04-03-2023,Interest Credit,2969.71,Income,Income
04-03-2023,Zomato Food Delivery,282.06,Expense,Food & Dining
04-04-2023,Ajio Clothing,589.77,Expense,Shopping
04-04-2023,Jio Recharge,239.56,Expense,Utilities
04-05-2023,BookMyShow Tickets,1373.24,Expense,Entertainment
04-05-2023,More Supermarket,1369.34,Expense,Groceries
04-06-2023,Water Bill,759.13,Expense,Utilities
04-07-2023,Uber Ride,230.86,Expense,Transportation
04-07-2023,Meesho Order,744.01,Expense,Shopping
04-07-2023,Metro Card Recharge,207.46,Expense,Transportation
04-08-2023,UPI Received,4829.4,Income,Income
04-10-2023,UPI Received,14186.37,Income,Income
04-10-2023,Metro Card Recharge,309.52,Expense,Transportation
04-10-2023,Travel Booking,14144.56,Expense,Travel
04-11-2023,Cashback Credit,589.47,Income,Income
04-12-2023,Ajio Clothing,2076.86,Expense,Shopping
04-12-2023,BookMyShow Tickets,572.9,Expense,Entertainment
04-13-2023,Ajio Clothing,1242.65,Expense,Shopping
04-14-2023,Water Bill,536.19,Expense,Utilities
04-14-2023,Jio Recharge,374.11,Expense,Utilities
04-15-2023,YouTube Premium,139.0,Expense,Subscriptions
04-15-2023,Spotify Premium,119.0,Expense,Subscriptions
04-16-2023,Maintenance Charges,2003.65,Expense,Housing
04-16-2023,Dividend Credit,12857.07,Income,Income
04-17-2023,Airtel Mobile Bill,740.07,Expense,Utilities
04-18-2023,ATM Withdrawal,4950.83,Expense,Miscellaneous
04-19-2023,Water Bill,396.45,Expense,Utilities
04-21-2023,More Supermarket,777.84,Expense,Groceries
04-21-2023,Spa Treatment,987.55,Expense,Personal Care
04-21-2023,Rapido Bike Taxi,44.11,Expense,Transportation
04-21-2023,Travel Booking,7225.39,Expense,Travel
04-22-2023,Gaming Recharge,1919.68,Expense,Entertainment
04-22-2023,Hair Salon,1274.44,Expense,Personal Care
04-23-2023,Apollo Pharmacy,1719.15,Expense,Healthcare
04-23-2023,School Fees,8613.76,Expense,Education
04-23-2023,Interest Credit,1573.12,Income,Income
04-23-2023,Airtel Mobile Bill,529.84,Expense,Utilities
04-23-2023,House Rent,19532.25,Expense,Housing
04-23-2023,Parking Charges,93.63,Expense,Transportation
04-24-2023,Swiggy Order,744.32,Expense,Food & Dining
04-25-2023,Rental Income,8158.28,Income,Income
04-27-2023,BookMyShow Tickets,327.47,Expense,Entertainment
04-27-2023,Newspaper Subscription,205.69,Expense,Subscriptions
04-28-2023,School Fees,6922.17,Expense,Education
04-28-2023,Maintenance Charges,1198.28,Expense,Housing
04-29-2023,Apollo Pharmacy,341.28,Expense,Healthcare
04-30-2023,PVR Cinemas,748.5,Expense,Entertainment
04-30-2023,PVR Cinemas,327.53,Expense,Entertainment
05-01-2023,Zomato Food Delivery,271.76,Expense,Food & Dining
05-02-2023,Transfer Received,10606.12,Income,Income
05-02-2023,Doctor Consultation,347.23,Expense,Healthcare
05-02-2023,Hotstar Subscription,269.05,Expense,Subscriptions
05-02-2023,Amazon Prime,433.34,Expense,Subscriptions
05-03-2023,BigBasket Groceries,1598.25,Expense,Groceries
05-03-2023,Hair Salon,542.03,Expense,Personal Care
05-03-2023,Ajio Clothing,627.84,Expense,Shopping
05-04-2023,Maintenance Charges,1780.83,Expense,Housing
05-04-2023,Transfer Received,41622.99,Income,Income
05-04-2023,Online Course,856.69,Expense,Education
05-05-2023,Water Bill,673.89,Expense,Utilities
05-05-2023,Myntra Fashion,1894.42,Expense,Shopping
05-05-2023,Petrol / Diesel,3372.76,Expense,Transportation
05-05-2023,Online Course,3815.06,Expense,Education
05-05-2023,Book Purchase,495.52,Expense,Education
05-05-2023,Hair Salon,326.17,Expense,Personal Care
05-05-2023,YouTube Premium,139.0,Expense,Subscriptions
05-05-2023,Airtel Mobile Bill,317.89,Expense,Utilities
05-06-2023,Metro Card Recharge,618.1,Expense,Transportation
05-07-2023,Uber Ride,327.44,Expense,Transportation
05-08-2023,BookMyShow Tickets,722.9,Expense,Entertainment
05-08-2023,Coffee Shop,136.81,Expense,Food & Dining
05-08-2023,DMart Purchase,2744.17,Expense,Groceries
05-09-2023,Rapido Bike Taxi,90.35,Expense,Transportation
05-09-2023,Uber Ride,225.06,Expense,Transportation
05-10-2023,Swiggy Order,303.57,Expense,Food & Dining
05-10-2023,Electricity Bill,3309.23,Expense,Utilities
05-10-2023,Jio Recharge,534.98,Expense,Utilities
05-11-2023,Zomato Food Delivery,406.87,Expense,Food & Dining
05-12-2023,Rental Income,23176.11,Income,Income
05-12-2023,Refund Credit,4583.51,Income,Income
05-13-2023,Restaurant Dinner,1536.24,Expense,Food & Dining
05-13-2023,Jio Recharge,533.87,Expense,Utilities
05-13-2023,Hair Salon,1465.53,Expense,Personal Care
05-14-2023,School Fees,12668.59,Expense,Education
05-14-2023,Myntra Fashion,1433.38,Expense,Shopping
05-15-2023,Online Course,2071.5,Expense,Education
05-15-2023,Refund Credit,4484.28,Income,Income
05-15-2023,Insurance Premium,4267.65,Expense,Insurance
05-16-2023,Metro Card Recharge,886.27,Expense,Transportation
05-17-2023,Electricity Bill,965.39,Expense,Utilities
05-17-2023,BigBasket Groceries,2866.24,Expense,Groceries
05-17-2023,Ola Cab,287.71,Expense,Transportation
05-18-2023,Online Course,2264.61,Expense,Education
05-18-2023,Book Purchase,752.67,Expense,Education
05-19-2023,Newspaper Subscription,273.11,Expense,Subscriptions
05-20-2023,Spa Treatment,1081.65,Expense,Personal Care
05-20-2023,Newspaper Subscription,206.68,Expense,Subscriptions
05-21-2023,Online Course,3515.62,Expense,Education
05-21-2023,Online Course,3993.69,Expense,Education
05-22-2023,Jio Recharge,252.51,Expense,Utilities
05-23-2023,Book Purchase,896.93,Expense,Education
05-24-2023,Jio Recharge,265.67,Expense,Utilities
05-24-2023,Interest Credit,2718.49,Income,Income
05-24-2023,Travel Booking,13660.72,Expense,Travel
05-24-2023,Refund Credit,1662.05,Income,Income
05-25-2023,Swiggy Order,246.24,Expense,Food & Dining
05-26-2023,BigBasket Groceries,1593.8,Expense,Groceries
05-26-2023,School Fees,12082.36,Expense,Education
05-26-2023,Doctor Consultation,1525.69,Expense,Healthcare
05-27-2023,Gym Membership,2038.1,Expense,Healthcare
05-27-2023,Doctor Consultation,1069.55,Expense,Healthcare
05-27-2023,Insurance Premium,3470.64,Expense,Insurance
05-27-2023,Dividend Credit,5370.48,Income,Income
05-27-2023,YouTube Premium,139.0,Expense,Subscriptions
05-29-2023,Spa Treatment,2994.86,Expense,Personal Care
05-30-2023,Spotify Premium,119.0,Expense,Subscriptions
05-30-2023,Book Purchase,1350.75,Expense,Education
05-31-2023,Electricity Bill,4969.42,Expense,Utilities
05-31-2023,Book Purchase,528.45,Expense,Education
06-01-2023,BigBasket Groceries,1832.45,Expense,Groceries
06-01-2023,Book Purchase,602.02,Expense,Education
06-01-2023,ATM Withdrawal,4743.73,Expense,Miscellaneous
06-02-2023,UPI Received,6438.91,Income,Income
06-04-2023,Doctor Consultation,495.91,Expense,Healthcare
06-04-2023,BookMyShow Tickets,1252.75,Expense,Entertainment
06-04-2023,Zomato Food Delivery,683.6,Expense,Food & Dining
06-04-2023,Hotel Stay,7359.96,Expense,Travel
06-04-2023,Rapido Bike Taxi,53.17,Expense,Transportation
06-06-2023,Petrol / Diesel,544.86,Expense,Transportation
06-07-2023,ATM Withdrawal,3837.81,Expense,Miscellaneous
06-07-2023,BookMyShow Tickets,855.05,Expense,Entertainment
06-07-2023,Restaurant Dinner,441.3,Expense,Food & Dining
06-08-2023,House Rent,27485.37,Expense,Housing
06-08-2023,Petrol / Diesel,3097.36,Expense,Transportation
06-08-2023,Metro Card Recharge,304.74,Expense,Transportation
06-09-2023,1mg Medicine Order,259.39,Expense,Healthcare
06-09-2023,Coffee Shop,370.63,Expense,Food & Dining
06-14-2023,Transfer Received,21407.86,Income,Income
06-14-2023,Amazon Prime,734.75,Expense,Subscriptions
06-14-2023,Refund Credit,4180.4,Income,Income
06-14-2023,Amazon Purchase,4988.4,Expense,Shopping
06-16-2023,Travel Booking,5202.81,Expense,Travel
06-16-2023,PVR Cinemas,503.7,Expense,Entertainment
06-16-2023,BigBasket Groceries,3620.91,Expense,Groceries
06-17-2023,Spa Treatment,1541.02,Expense,Personal Care
06-18-2023,Amazon Purchase,6513.93,Expense,Shopping
06-19-2023,Spa Treatment,2040.27,Expense,Personal Care
06-19-2023,Amazon Prime,670.16,Expense,Subscriptions
06-20-2023,Parking Charges,256.44,Expense,Transportation
06-22-2023,Spa Treatment,2546.6,Expense,Personal Care
06-22-2023,1mg Medicine Order,778.37,Expense,Healthcare
06-22-2023,Interest Credit,1435.07,Income,Income
06-22-2023,Hotstar Subscription,176.82,Expense,Subscriptions
06-23-2023,House Rent,19885.0,Expense,Housing
06-23-2023,School Fees,14090.83,Expense,Education
06-24-2023,Metro Card Recharge,766.77,Expense,Transportation
06-25-2023,Spa Treatment,585.27,Expense,Personal Care
06-25-2023,Salary Credit,76815.71,Income,Income
06-26-2023,House Rent,20083.21,Expense,Housing
06-26-2023,Book Purchase,618.02,Expense,Education
06-27-2023,1mg Medicine Order,683.19,Expense,Healthcare
06-27-2023,Flipkart Order,5915.9,Expense,Shopping
06-27-2023,Bonus Credit,18574.36,Income,Income
06-28-2023,Freelance Payment,14752.02,Income,Income
06-29-2023,Refund Credit,4822.99,Income,Income
06-29-2023,Freelance Payment,15447.4,Income,Income
06-29-2023,YouTube Premium,139.0,Expense,Subscriptions
06-30-2023,Jio Recharge,361.48,Expense,Utilities
06-30-2023,Bonus Credit,43256.47,Income,Income
06-30-2023,1mg Medicine Order,301.89,Expense,Healthcare
06-30-2023,School Fees,10515.03,Expense,Education
07-01-2023,Online Course,1102.98,Expense,Education
07-01-2023,Apollo Pharmacy,1239.91,Expense,Healthcare
07-02-2023,Gym Membership,1182.54,Expense,Healthcare
07-02-2023,Parking Charges,82.76,Expense,Transportation
07-02-2023,Apollo Pharmacy,1223.77,Expense,Healthcare
07-03-2023,Water Bill,301.89,Expense,Utilities
07-04-2023,BigBasket Groceries,2691.09,Expense,Groceries
07-05-2023,Refund Credit,1859.18,Income,Income
07-05-2023,Reliance Fresh,278.81,Expense,Groceries
07-05-2023,Metro Card Recharge,375.82,Expense,Transportation
07-07-2023,Flipkart Order,1931.77,Expense,Shopping
07-07-2023,Gaming Recharge,659.85,Expense,Entertainment
07-07-2023,Hotstar Subscription,666.94,Expense,Subscriptions
07-08-2023,Hotel Stay,6185.0,Expense,Travel
07-08-2023,Airtel Mobile Bill,341.9,Expense,Utilities
07-09-2023,Interest Credit,2096.85,Income,Income
07-09-2023,Book Purchase,771.02,Expense,Education
07-10-2023,Bonus Credit,34240.29,Income,Income
07-11-2023,Apollo Pharmacy,1738.12,Expense,Healthcare
07-11-2023,Cashback Credit,986.37,Income,Income
07-11-2023,YouTube Premium,139.0,Expense,Subscriptions
07-13-2023,Interest Credit,1578.3,Income,Income
07-13-2023,Hotstar Subscription,379.99,Expense,Subscriptions
07-14-2023,Swiggy Order,327.42,Expense,Food & Dining
07-14-2023,UPI Received,6980.06,Income,Income
07-14-2023,Cashback Credit,443.84,Income,Income
07-14-2023,Water Bill,369.98,Expense,Utilities
07-15-2023,Doctor Consultation,978.6,Expense,Healthcare
07-15-2023,Travel Booking,12085.43,Expense,Travel
07-16-2023,Newspaper Subscription,247.09,Expense,Subscriptions
07-16-2023,Insurance Premium,2399.08,Expense,Insurance
07-17-2023,Rental Income,10929.3,Income,Income
07-17-2023,Meesho Order,422.94,Expense,Shopping
07-17-2023,Apollo Pharmacy,765.47,Expense,Healthcare
07-19-2023,Airtel Mobile Bill,584.48,Expense,Utilities
07-19-2023,Gym Membership,1575.32,Expense,Healthcare
07-19-2023,Electricity Bill,883.16,Expense,Utilities
07-19-2023,Dividend Credit,3135.09,Income,Income
07-19-2023,ATM Withdrawal,4598.89,Expense,Miscellaneous
07-19-2023,More Supermarket,661.34,Expense,Groceries
07-20-2023,Gaming Recharge,396.39,Expense,Entertainment
07-20-2023,Airtel Mobile Bill,881.01,Expense,Utilities
07-21-2023,Maintenance Charges,2475.27,Expense,Housing
07-23-2023,Dividend Credit,6196.26,Income,Income
07-23-2023,ATM Withdrawal,4566.81,Expense,Miscellaneous
07-24-2023,Gym Membership,1738.52,Expense,Healthcare
07-24-2023,Hotstar Subscription,297.76,Expense,Subscriptions
07-24-2023,ATM Withdrawal,878.97,Expense,Miscellaneous
07-24-2023,Salary Credit,77755.67,Income,Income
07-24-2023,Jio Recharge,382.08,Expense,Utilities
07-25-2023,Book Purchase,366.25,Expense,Education
07-25-2023,Water Bill,319.73,Expense,Utilities
07-25-2023,UPI Received,4583.24,Income,Income
07-26-2023,Meesho Order,404.79,Expense,Shopping
07-27-2023,ATM Withdrawal,1452.85,Expense,Miscellaneous
07-27-2023,BigBasket Groceries,3320.84,Expense,Groceries
07-27-2023,Ajio Clothing,547.43,Expense,Shopping
07-28-2023,Insurance Premium,2461.67,Expense,Insurance
07-29-2023,1mg Medicine Order,1054.42,Expense,Healthcare
07-31-2023,Flipkart Order,747.52,Expense,Shopping
08-01-2023,Uber Ride,221.93,Expense,Transportation
08-02-2023,More Supermarket,876.43,Expense,Groceries
08-02-2023,Spa Treatment,2232.62,Expense,Personal Care
08-02-2023,Insurance Premium,1543.93,Expense,Insurance
08-03-2023,Online Course,1697.69,Expense,Education
08-03-2023,ATM Withdrawal,2892.1,Expense,Miscellaneous
08-04-2023,ATM Withdrawal,4406.6,Expense,Miscellaneous
08-04-2023,Hair Salon,562.67,Expense,Personal Care
08-04-2023,BookMyShow Tickets,666.3,Expense,Entertainment
08-04-2023,Electricity Bill,4752.38,Expense,Utilities
08-04-2023,Hotel Stay,3042.72,Expense,Travel
08-05-2023,Doctor Consultation,1836.28,Expense,Healthcare
08-05-2023,ATM Withdrawal,1058.44,Expense,Miscellaneous
08-06-2023,Online Course,2852.75,Expense,Education
08-06-2023,Spotify Premium,119.0,Expense,Subscriptions
08-06-2023,Apollo Pharmacy,450.52,Expense,Healthcare
08-07-2023,Insurance Premium,9044.8,Expense,Insurance
08-07-2023,Swiggy Order,595.05,Expense,Food & Dining
08-07-2023,1mg Medicine Order,294.43,Expense,Healthcare
08-08-2023,Book Purchase,1012.83,Expense,Education
08-08-2023,Interest Credit,1927.54,Income,Income
08-10-2023,Salary Credit,78086.87,Income,Income
08-11-2023,Interest Credit,1142.74,Income,Income
08-11-2023,School Fees,13299.33,Expense,Education
08-12-2023,Metro Card Recharge,381.13,Expense,Transportation
08-12-2023,Hair Salon,513.59,Expense,Personal Care
08-12-2023,Meesho Order,1482.12,Expense,Shopping
08-13-2023,Spa Treatment,2375.99,Expense,Personal Care
08-13-2023,Meesho Order,1043.58,Expense,Shopping
08-14-2023,Netflix Subscription,424.05,Expense,Subscriptions
08-14-2023,Meesho Order,456.81,Expense,Shopping
08-15-2023,Dividend Credit,5623.78,Income,Income
08-15-2023,Flipkart Order,1140.9,Expense,Shopping
08-15-2023,Freelance Payment,13951.33,Income,Income
08-15-2023,Spotify Premium,119.0,Expense,Subscriptions
08-15-2023,Parking Charges,104.2,Expense,Transportation
08-15-2023,Gym Membership,1247.83,Expense,Healthcare
08-16-2023,Hotel Stay,5052.56,Expense,Travel
08-17-2023,YouTube Premium,139.0,Expense,Subscriptions
08-17-2023,Salary Credit,94798.9,Income,Income
08-17-2023,Metro Card Recharge,717.96,Expense,Transportation
08-17-2023,Apollo Pharmacy,1901.01,Expense,Healthcare
08-18-2023,Dividend Credit,13156.49,Income,Income
08-18-2023,Myntra Fashion,1788.78,Expense,Shopping
08-19-2023,Netflix Subscription,399.7,Expense,Subscriptions
08-19-2023,Gym Membership,1918.65,Expense,Healthcare
08-19-2023,Rapido Bike Taxi,122.73,Expense,Transportation
08-19-2023,House Rent,14808.08,Expense,Housing
08-19-2023,Jio Recharge,240.77,Expense,Utilities
08-20-2023,Amazon Prime,824.63,Expense,Subscriptions
08-20-2023,YouTube Premium,139.0,Expense,Subscriptions
08-21-2023,Transfer Received,49888.62,Income,Income
08-22-2023,Refund Credit,2404.2,Income,Income
08-22-2023,1mg Medicine Order,176.83,Expense,Healthcare
08-22-2023,Netflix Subscription,401.9,Expense,Subscriptions
08-24-2023,Ola Cab,326.61,Expense,Transportation
08-24-2023,BigBasket Groceries,2637.25,Expense,Groceries
08-24-2023,Interest Credit,2140.32,Income,Income
08-25-2023,Newspaper Subscription,101.16,Expense,Subscriptions
08-25-2023,Meesho Order,1002.06,Expense,Shopping
08-25-2023,Insurance Premium,6374.56,Expense,Insurance
08-26-2023,More Supermarket,249.2,Expense,Groceries
08-27-2023,Hotel Stay,8628.17,Expense,Travel
08-28-2023,Gaming Recharge,369.35,Expense,Entertainment
08-31-2023,Uber Ride,344.45,Expense,Transportation
08-31-2023,Netflix Subscription,367.14,Expense,Subscriptions
09-01-2023,Dividend Credit,13560.92,Income,Income
09-01-2023,Airtel Mobile Bill,758.6,Expense,Utilities
09-02-2023,Airtel Mobile Bill,610.86,Expense,Utilities
09-02-2023,Ajio Clothing,1705.1,Expense,Shopping
09-04-2023,Interest Credit,1632.51,Income,Income
09-06-2023,Spotify Premium,119.0,Expense,Subscriptions
09-06-2023,Amazon Prime,745.79,Expense,Subscriptions
09-06-2023,Dividend Credit,1109.84,Income,Income
09-07-2023,Refund Credit,3593.62,Income,Income
09-07-2023,Rapido Bike Taxi,98.61,Expense,Transportation
09-07-2023,YouTube Premium,139.0,Expense,Subscriptions
09-08-2023,YouTube Premium,139.0,Expense,Subscriptions
09-09-2023,Petrol / Diesel,1321.39,Expense,Transportation
09-09-2023,Doctor Consultation,1003.67,Expense,Healthcare
09-09-2023,Uber Ride,430.41,Expense,Transportation
09-12-2023,Doctor Consultation,809.81,Expense,Healthcare
