date,description,amount,transaction_type
2020/04/21,Coffee Shop,221.03,debit
2020/04/22,Ola Cab,174.78,debit
2020/04/23,Myntra Fashion,1611.61,debit
2020/04/24,Restaurant Dinner,1059.37,debit
2020/04/25,Book Purchase,789.39,debit
2020/04/26,Petrol / Diesel,1480.57,debit
2020/04/26,Newspaper Subscription,269.18,debit
2020/04/29,Reliance Fresh,847.72,debit
2020/04/30,Maintenance Charges,2300.66,debit
2020/04/30,Zomato Food Delivery,674.27,debit
2020/05/01,Maintenance Charges,2041.33,debit
2020/05/06,Ajio Clothing,1000.67,debit
2020/05/07,More Supermarket,1524.46,debit
2020/05/07,Restaurant Dinner,611.73,debit
2020/05/08,Insurance Premium,4963.14,debit
2020/05/08,Rapido Bike Taxi,64.99,debit
2020/05/09,Petrol / Diesel,2880.0,debit
2020/05/10,Airtel Mobile Bill,425.34,debit
2020/05/11,Metro Card Recharge,716.84,debit
2020/05/11,Bonus Credit,49649.64,credit
2020/05/14,Travel Booking,7333.91,debit
2020/05/14,Reliance Fresh,230.63,debit
2020/05/16,Dividend Credit,5212.64,credit
2020/05/18,Zomato Food Delivery,707.99,debit
2020/05/18,Amazon Prime,776.26,debit
2020/05/19,Reliance Fresh,1122.48,debit
2020/05/19,Uber Ride,88.6,debit
2020/05/20,More Supermarket,1439.6,debit
2020/05/21,Hotstar Subscription,350.09,debit
2020/05/22,1mg Medicine Order,163.15,debit
2020/05/23,Rental Income,16509.19,credit
2020/05/24,Petrol / Diesel,2749.51,debit
2020/05/25,Airtel Mobile Bill,868.23,debit
2020/05/27,Gym Membership,1366.35,debit
2020/05/27,Zomato Food Delivery,751.94,debit
2020/05/27,Airtel Mobile Bill,975.94,debit
2020/05/28,Electricity Bill,4368.09,debit
2020/05/28,Amazon Purchase,5359.98,debit
2020/05/30,Ajio Clothing,824.73,debit
2020/05/31,Hair Salon,239.85,debit
2020/05/31,Reliance Fresh,544.43,debit
2020/06/01,BookMyShow Tickets,958.32,debit
2020/06/02,Uber Ride,432.71,debit
2020/06/02,BookMyShow Tickets,648.68,debit
2020/06/04,Transfer Received,43337.64,credit
2020/06/04,Rapido Bike Taxi,80.32,debit
2020/06/05,Doctor Consultation,1297.07,debit
2020/06/05,UPI Received,15012.29,credit
2020/06/05,Rental Income,7632.68,credit
2020/06/07,Spa Treatment,1562.27,debit
2020/06/09,Meesho Order,1051.01,debit
2020/06/09,PVR Cinemas,653.49,debit
2020/06/10,Uber Ride,440.16,debit
2020/06/11,Spa Treatment,1389.39,debit
2020/06/12,Flipkart Order,5581.65,debit
2020/06/13,Metro Card Recharge,498.52,debit
2020/06/13,BookMyShow Tickets,1200.37,debit
2020/06/14,Gaming Recharge,850.6,debit
2020/06/15,Hotstar Subscription,185.39,debit
2020/06/16,Rapido Bike Taxi,172.93,debit
2020/06/17,Hotel Stay,2257.32,debit
2020/06/18,Rapido Bike Taxi,98.55,debit
2020/06/18,Petrol / Diesel,3649.8,debit
2020/06/20,Hair Salon,1164.55,debit
2020/06/20,DMart Purchase,393.6,debit
2020/06/20,Book Purchase,237.77,debit
2020/06/20,Online Course,1500.22,debit
2020/06/20,Dividend Credit,6342.22,credit
2020/06/21,Salary Credit,94779.61,credit
2020/06/21,Uber Ride,310.36,debit
2020/06/21,Ajio Clothing,3286.03,debit
2020/06/21,Bonus Credit,24862.8,credit
2020/06/23,Doctor Consultation,1603.04,debit
2020/06/24,Amazon Prime,637.12,debit
2020/06/25,Insurance Premium,5193.03,debit
2020/06/25,Book Purchase,420.51,debit
2020/06/25,Hotel Stay,9939.34,debit
2020/06/25,Rental Income,17978.23,credit
2020/06/27,Petrol / Diesel,2122.77,debit
2020/06/27,Ola Cab,196.8,debit
2020/06/27,Apollo Pharmacy,1581.61,debit
2020/06/28,Ola Cab,164.1,debit
2020/06/28,Gaming Recharge,152.27,debit
2020/06/30,Refund Credit,4411.9,credit
2020/06/30,Amazon Purchase,1032.04,debit
2020/07/01,Zomato Food Delivery,363.27,debit
2020/07/01,ATM Withdrawal,3423.41,debit
2020/07/02,Meesho Order,1337.1,debit
2020/07/06,Metro Card Recharge,970.07,debit
2020/07/06,Cashback Credit,517.87,credit
2020/07/06,School Fees,5936.88,debit
2020/07/07,Myntra Fashion,617.94,debit
2020/07/08,ATM Withdrawal,1283.18,debit
2020/07/08,Online Course,2298.84,debit
2020/07/08,Spa Treatment,662.37,debit
2020/07/08,Metro Card Recharge,730.57,debit
2020/07/08,Salary Credit,108425.54,credit
2020/07/11,Hair Salon,316.23,debit
2020/07/11,Hair Salon,809.57,debit
2020/07/11,1mg Medicine Order,269.06,debit
2020/07/13,Rental Income,11074.75,credit
2020/07/13,Spa Treatment,1781.75,debit
2020/07/14,DMart Purchase,2348.62,debit
2020/07/14,Transfer Received,15295.47,credit
2020/07/15,Gym Membership,1440.63,debit
2020/07/16,PVR Cinemas,776.87,debit
2020/07/16,BigBasket Groceries,3562.98,debit
2020/07/16,Rapido Bike Taxi,80.23,debit
2020/07/17,Spa Treatment,1445.71,debit
2020/07/18,Hair Salon,463.9,debit
2020/07/18,DMart Purchase,2797.73,debit
2020/07/18,Refund Credit,3658.04,credit
2020/07/18,Maintenance Charges,1704.49,debit
2020/07/19,Reliance Fresh,759.36,debit
2020/07/19,Jio Recharge,556.57,debit
2020/07/19,Freelance Payment,23794.6,credit
2020/07/20,Doctor Consultation,625.89,debit
2020/07/21,BookMyShow Tickets,238.57,debit
2020/07/22,Swiggy Order,890.29,debit
2020/07/23,YouTube Premium,139.0,debit
2020/07/24,Flipkart Order,5191.88,debit
2020/07/26,Metro Card Recharge,773.0,debit
2020/07/28,Airtel Mobile Bill,410.25,debit
2020/07/28,Gaming Recharge,1776.76,debit
2020/07/28,BigBasket Groceries,2599.34,debit
2020/07/28,Petrol / Diesel,3140.31,debit
2020/07/28,Transfer Received,22954.38,credit
2020/07/28,Restaurant Dinner,2862.44,debit
2020/07/29,Insurance Premium,3945.45,debit
2020/07/31,Ajio Clothing,3401.92,debit
2020/07/31,1mg Medicine Order,495.94,debit
2020/08/01,Gaming Recharge,1367.45,debit
2020/08/02,UPI Received,11849.74,credit
2020/08/02,Cashback Credit,509.88,credit
2020/08/02,Ola Cab,301.95,debit
2020/08/03,ATM Withdrawal,2536.88,debit
2020/08/05,Amazon Purchase,5157.33,debit
2020/08/05,Rental Income,18465.52,credit
2020/08/09,ATM Withdrawal,4774.0,debit
2020/08/09,BigBasket Groceries,2808.2,debit
2020/08/10,Restaurant Dinner,2838.47,debit
2020/08/10,Dividend Credit,6256.47,credit
2020/08/10,Petrol / Diesel,1383.4,debit
2020/08/11,Hotstar Subscription,890.98,debit
2020/08/11,Swiggy Order,763.89,debit
2020/08/11,Electricity Bill,4906.31,debit
2020/08/13,Flipkart Order,5814.91,debit
2020/08/13,Travel Booking,6819.99,debit
2020/08/13,Myntra Fashion,1275.46,debit
2020/08/13,Refund Credit,1048.69,credit
2020/08/14,Amazon Purchase,509.34,debit
2020/08/15,Refund Credit,1561.59,credit
2020/08/15,Spa Treatment,1288.6,debit
2020/08/15,Flipkart Order,1077.6,debit
2020/08/15,Hotel Stay,9288.17,debit
2020/08/16,Newspaper Subscription,185.23,debit
2020/08/17,Coffee Shop,305.89,debit
2020/08/17,Apollo Pharmacy,921.0,debit
2020/08/17,BookMyShow Tickets,1049.37,debit
2020/08/17,Reliance Fresh,451.34,debit
2020/08/17,Cashback Credit,402.15,credit
2020/08/18,Myntra Fashion,1533.72,debit
2020/08/18,Spotify Premium,119.0,debit
2020/08/19,Transfer Received,42728.48,credit
2020/08/20,Online Course,4495.78,debit
2020/08/20,Hotstar Subscription,553.74,debit
2020/08/20,Transfer Received,24233.05,credit
2020/08/20,Dividend Credit,3293.81,credit
2020/08/22,Swiggy Order,487.58,debit
2020/08/23,Freelance Payment,8613.36,credit
2020/08/23,Cashback Credit,740.14,credit
2020/08/24,Apollo Pharmacy,921.0,debit
2020/08/24,Water Bill,327.2,debit
2020/08/26,Netflix Subscription,563.47,debit
2020/08/26,ATM Withdrawal,4646.92,debit
2020/08/27,Refund Credit,4948.3,credit
2020/08/27,Dividend Credit,9475.0,credit
2020/08/27,Travel Booking,6617.82,debit
2020/08/28,Hotel Stay,6919.83,debit
2020/08/29,DMart Purchase,2139.83,debit
2020/08/29,Gaming Recharge,1640.68,debit
2020/08/29,Online Course,1060.75,debit
2020/08/30,Doctor Consultation,1807.35,debit
2020/08/31,Restaurant Dinner,1992.5,debit
2020/08/31,School Fees,12426.32,debit
2020/09/01,Newspaper Subscription,164.75,debit
2020/09/01,Freelance Payment,16261.13,credit
2020/09/02,Ajio Clothing,559.2,debit
2020/09/03,School Fees,9059.63,debit
2020/09/03,Freelance Payment,10637.41,credit
2020/09/04,Airtel Mobile Bill,348.75,debit
2020/09/05,Hair Salon,1312.11,debit
2020/09/06,Hair Salon,1170.39,debit
2020/09/07,1mg Medicine Order,808.1,debit
2020/09/07,Amazon Prime,320.09,debit
2020/09/07,Water Bill,566.7,debit
2020/09/09,Hotel Stay,6107.97,debit
2020/09/09,More Supermarket,1046.07,debit
2020/09/12,Spotify Premium,119.0,debit
2020/09/15,Doctor Consultation,391.74,debit
2020/09/15,Gaming Recharge,1257.71,debit
2020/09/15,Airtel Mobile Bill,640.89,debit
2020/09/15,Hotstar Subscription,242.08,debit
2020/09/15,DMart Purchase,256.96,debit
2020/09/16,Restaurant Dinner,2625.36,debit
2020/09/16,Coffee Shop,440.68,debit
2020/09/17,More Supermarket,134.15,debit
2020/09/20,Swiggy Order,632.14,debit
2020/09/21,More Supermarket,387.51,debit
2020/09/21,Restaurant Dinner,1245.46,debit
2020/09/22,Spotify Premium,119.0,debit
2020/09/23,Spotify Premium,119.0,debit
2020/09/25,Zomato Food Delivery,511.46,debit
2020/09/26,Amazon Purchase,7799.42,debit
2020/09/26,Refund Credit,1868.73,credit
2020/09/27,Restaurant Dinner,968.57,debit
2020/09/28,Amazon Prime,394.27,debit
2020/09/30,Amazon Prime,497.29,debit
2020/10/02,Apollo Pharmacy,377.43,debit
2020/10/03,Metro Card Recharge,534.29,debit
2020/10/04,House Rent,17217.67,debit
2020/10/04,ATM Withdrawal,4474.44,debit
2020/10/05,ATM Withdrawal,3657.73,debit
2020/10/06,Gym Membership,2392.08,debit
2020/10/06,1mg Medicine Order,1028.64,debit
2020/10/11,Freelance Payment,19564.07,credit
2020/10/12,Coffee Shop,202.7,debit
2020/10/12,Swiggy Order,273.77,debit
2020/10/12,Airtel Mobile Bill,782.72,debit
2020/10/12,Swiggy Order,465.85,debit
2020/10/13,House Rent,14757.98,debit
2020/10/14,UPI Received,3397.23,credit
2020/10/14,Netflix Subscription,246.24,debit
2020/10/16,Newspaper Subscription,175.75,debit
2020/10/17,Rapido Bike Taxi,152.59,debit
2020/10/17,Interest Credit,1970.74,credit
2020/10/19,School Fees,4035.5,debit
2020/10/19,Coffee Shop,471.76,debit
2020/10/22,ATM Withdrawal,2773.09,debit
2020/10/22,Spa Treatment,1672.9,debit
2020/10/22,BookMyShow Tickets,251.28,debit
2020/10/23,Refund Credit,3573.75,credit
2020/10/23,Rental Income,24369.02,credit
2020/10/24,Online Course,2804.8,debit
2020/10/24,Zomato Food Delivery,615.67,debit
2020/10/24,Petrol / Diesel,1530.82,debit
2020/10/26,Metro Card Recharge,642.82,debit
2020/10/26,Netflix Subscription,285.08,debit
2020/10/27,Jio Recharge,472.35,debit
2020/10/27,Metro Card Recharge,763.42,debit
2020/10/29,1mg Medicine Order,120.88,debit
2020/10/31,Metro Card Recharge,274.33,debit
2020/11/01,Newspaper Subscription,252.78,debit
2020/11/02,1mg Medicine Order,1346.32,debit
2020/11/03,Ola Cab,299.0,debit
2020/11/03,Hair Salon,1191.47,debit
2020/11/03,Gym Membership,863.63,debit
2020/11/03,Reliance Fresh,1327.95,debit
2020/11/03,Reliance Fresh,388.43,debit
2020/11/04,Netflix Subscription,153.9,debit
2020/11/05,Ajio Clothing,1644.25,debit
2020/11/06,ATM Withdrawal,2921.02,debit
2020/11/06,PVR Cinemas,545.42,debit
2020/11/07,Parking Charges,102.76,debit
2020/11/08,Hair Salon,520.01,debit
2020/11/09,Spa Treatment,2404.97,debit
2020/11/09,Jio Recharge,406.77,debit
2020/11/09,Salary Credit,119024.65,credit
2020/11/10,Book Purchase,316.7,debit
2020/11/10,Newspaper Subscription,154.57,debit
2020/11/10,Swiggy Order,645.02,debit
2020/11/12,Electricity Bill,1526.57,debit
2020/11/14,Newspaper Subscription,115.53,debit
2020/11/14,Insurance Premium,9803.49,debit
2020/11/15,Gaming Recharge,380.65,debit
2020/11/15,Travel Booking,9804.34,debit
2020/11/15,Metro Card Recharge,749.27,debit
2020/11/16,Swiggy Order,691.57,debit
2020/11/17,Doctor Consultation,1964.72,debit
2020/11/17,BookMyShow Tickets,1357.06,debit
2020/11/18,DMart Purchase,1209.6,debit
2020/11/18,Hotstar Subscription,871.7,debit
2020/11/19,Metro Card Recharge,545.87,debit
2020/11/19,Cashback Credit,724.12,credit
2020/11/20,Bonus Credit,10393.82,credit
2020/11/20,Online Course,4828.25,debit
2020/11/22,Zomato Food Delivery,443.68,debit
2020/11/22,Hotstar Subscription,720.0,debit
2020/11/23,More Supermarket,1540.04,debit
2020/11/25,UPI Received,5743.41,credit
2020/11/26,Zomato Food Delivery,498.99,debit
2020/11/28,Jio Recharge,255.26,debit
2020/11/28,Swiggy Order,713.75,debit
2020/11/28,1mg Medicine Order,1320.03,debit
2020/11/29,Spotify Premium,119.0,debit
2020/11/29,Meesho Order,1475.02,debit
2020/11/29,PVR Cinemas,404.59,debit
2020/11/30,Spotify Premium,119.0,debit
2020/12/01,Parking Charges,267.12,debit
2020/12/01,DMart Purchase,2031.49,debit
2020/12/03,BookMyShow Tickets,313.8,debit
2020/12/04,Gaming Recharge,1450.62,debit
2020/12/06,Uber Ride,412.91,debit
2020/12/07,Petrol / Diesel,1101.94,debit
2020/12/07,Electricity Bill,4990.47,debit
2020/12/08,Amazon Prime,444.9,debit
2020/12/08,Maintenance Charges,1031.82,debit
2020/12/10,Apollo Pharmacy,1380.32,debit
2020/12/12,Insurance Premium,7341.66,debit
2020/12/14,Reliance Fresh,715.28,debit
2020/12/14,Spotify Premium,119.0,debit
2020/12/15,School Fees,4437.74,debit
2020/12/15,Insurance Premium,1507.09,debit
2020/12/16,BigBasket Groceries,2288.98,debit
2020/12/16,Water Bill,202.79,debit
2020/12/16,Maintenance Charges,1778.48,debit
2020/12/16,Ola Cab,455.62,debit
2020/12/17,Gym Membership,1595.18,debit
2020/12/17,Refund Credit,1484.77,credit
2020/12/18,YouTube Premium,139.0,debit
2020/12/19,Flipkart Order,2612.3,debit
2020/12/21,PVR Cinemas,766.59,debit
2020/12/21,1mg Medicine Order,417.82,debit
2020/12/21,Restaurant Dinner,1544.48,debit
2020/12/21,More Supermarket,915.34,debit
2020/12/22,Myntra Fashion,2924.27,debit
2020/12/22,Water Bill,660.16,debit
2020/12/25,Ola Cab,206.06,debit
2020/12/26,Transfer Received,39506.14,credit
2020/12/26,Myntra Fashion,3271.1,debit
2020/12/27,BookMyShow Tickets,1149.87,debit
2020/12/28,BookMyShow Tickets,1377.59,debit
2020/12/28,Rental Income,12255.34,credit
2020/12/28,PVR Cinemas,606.71,debit
2020/12/29,Myntra Fashion,2726.26,debit
2020/12/31,DMart Purchase,362.38,debit
2020/12/31,DMart Purchase,1131.05,debit
2021/01/01,Interest Credit,1192.68,credit
2021/01/03,DMart Purchase,2549.7,debit
2021/01/03,Book Purchase,256.38,debit
2021/01/03,Electricity Bill,2535.02,debit
2021/01/03,Myntra Fashion,1003.11,debit
2021/01/04,Maintenance Charges,987.71,debit
2021/01/04,ATM Withdrawal,2202.89,debit
2021/01/05,BigBasket Groceries,3988.47,debit
2021/01/05,Petrol / Diesel,705.78,debit
2021/01/05,Book Purchase,499.74,debit
2021/01/05,Ajio Clothing,3473.55,debit
2021/01/07,Refund Credit,4231.28,credit
2021/01/07,Apollo Pharmacy,1563.05,debit
2021/01/07,Amazon Prime,583.92,debit
2021/01/07,Interest Credit,1880.97,credit
2021/01/08,YouTube Premium,139.0,debit
2021/01/08,Online Course,4076.51,debit
2021/01/08,Newspaper Subscription,201.42,debit
2021/01/09,Apollo Pharmacy,823.87,debit
2021/01/10,Restaurant Dinner,2290.67,debit
2021/01/11,Online Course,3877.79,debit
2021/01/11,BigBasket Groceries,899.8,debit
2021/01/11,DMart Purchase,2187.78,debit
2021/01/11,Zomato Food Delivery,738.59,debit
2021/01/11,Cashback Credit,670.44,credit
2021/01/12,School Fees,10222.85,debit
2021/01/12,Jio Recharge,304.88,debit
2021/01/13,Metro Card Recharge,895.05,debit
2021/01/13,Cashback Credit,868.19,credit
2021/01/13,DMart Purchase,2200.23,debit
2021/01/14,Spotify Premium,119.0,debit
2021/01/15,1mg Medicine Order,730.84,debit
2021/01/20,Swiggy Order,410.27,debit
2021/01/21,Swiggy Order,525.82,debit
2021/01/24,House Rent,18142.75,debit
2021/01/25,Ajio Clothing,3114.05,debit
2021/01/26,Netflix Subscription,522.26,debit
2021/01/26,Myntra Fashion,1712.63,debit
2021/01/26,School Fees,2010.21,debit
2021/01/27,Gym Membership,1626.34,debit
2021/01/27,Myntra Fashion,3904.77,debit
2021/01/27,Bonus Credit,40691.91,credit
2021/01/28,Hair Salon,767.53,debit
2021/01/29,Reliance Fresh,519.29,debit
2021/01/29,Rapido Bike Taxi,107.7,debit
2021/01/29,Book Purchase,836.21,debit
2021/01/30,Newspaper Subscription,254.66,debit
2021/01/31,Hair Salon,1291.7,debit
2021/01/31,Maintenance Charges,1674.31,debit
2021/02/01,Gym Membership,1316.08,debit
2021/02/02,House Rent,26243.22,debit
2021/02/02,Gym Membership,983.78,debit
2021/02/03,Transfer Received,19253.66,credit
2021/02/04,Reliance Fresh,713.44,debit
2021/02/05,Dividend Credit,3916.41,credit
2021/02/05,1mg Medicine Order,497.81,debit
2021/02/06,Maintenance Charges,2830.53,debit
2021/02/06,DMart Purchase,1730.56,debit
2021/02/07,Spotify Premium,119.0,debit
2021/02/07,Interest Credit,1333.23,credit
2021/02/07,Interest Credit,2334.58,credit
2021/02/08,Doctor Consultation,1618.67,debit
2021/02/09,Hair Salon,668.29,debit
2021/02/09,Electricity Bill,1956.1,debit
2021/02/09,Airtel Mobile Bill,915.5,debit
2021/02/10,Petrol / Diesel,3808.52,debit
2021/02/11,Book Purchase,483.49,debit
2021/02/11,Hair Salon,973.85,debit
2021/02/11,Hotstar Subscription,715.64,debit
2021/02/11,Hair Salon,276.75,debit
2021/02/14,House Rent,22274.62,debit
2021/02/15,Petrol / Diesel,563.68,debit
2021/02/15,Restaurant Dinner,2922.47,debit
2021/02/15,Hotel Stay,8384.3,debit
2021/02/15,House Rent,10907.66,debit
2021/02/18,YouTube Premium,139.0,debit
2021/02/19,Parking Charges,78.9,debit
2021/02/22,PVR Cinemas,738.59,debit
2021/02/22,Ajio Clothing,1233.92,debit
2021/02/24,Airtel Mobile Bill,650.97,debit
2021/02/25,Spa Treatment,908.54,debit
2021/02/25,House Rent,22384.67,debit
2021/02/25,Online Course,850.34,debit
2021/02/26,Interest Credit,2404.06,credit
2021/02/26,Zomato Food Delivery,700.91,debit
2021/02/27,More Supermarket,888.21,debit
2021/02/28,Cashback Credit,443.87,credit
2021/03/01,Online Course,1970.63,debit
2021/03/01,1mg Medicine Order,1345.26,debit
2021/03/03,Spotify Premium,119.0,debit
2021/03/03,Swiggy Order,442.5,debit
2021/03/04,Salary Credit,81528.69,credit
2021/03/05,Swiggy Order,610.38,debit
2021/03/05,Flipkart Order,3567.71,debit
2021/03/05,Airtel Mobile Bill,391.25,debit
2021/03/06,Airtel Mobile Bill,758.63,debit
2021/03/07,Ola Cab,289.77,debit
2021/03/08,More Supermarket,1256.4,debit
2021/03/09,1mg Medicine Order,733.16,debit
2021/03/10,Netflix Subscription,371.99,debit
2021/03/10,Parking Charges,199.54,debit
2021/03/10,ATM Withdrawal,4484.2,debit
2021/03/10,More Supermarket,1524.79,debit
2021/03/12,Online Course,3752.3,debit
2021/03/13,Airtel Mobile Bill,991.55,debit
2021/03/13,1mg Medicine Order,850.24,debit
2021/03/13,Book Purchase,618.96,debit
2021/03/14,Meesho Order,1158.38,debit
2021/03/14,Hotstar Subscription,506.81,debit
2021/03/15,Spotify Premium,119.0,debit
2021/03/15,Ola Cab,420.77,debit
2021/03/16,Freelance Payment,19046.02,credit
2021/03/16,1mg Medicine Order,970.21,debit
2021/03/16,Petrol / Diesel,1784.71,debit
2021/03/17,BookMyShow Tickets,1049.66,debit
2021/03/17,Reliance Fresh,752.81,debit
2021/03/18,Salary Credit,51906.42,credit
2021/03/18,School Fees,9998.35,debit
2021/03/18,Restaurant Dinner,1052.04,debit
2021/03/19,Jio Recharge,538.53,debit
