Date,Narration,Amount,Dr/Cr
24/05/2023,Coffee Shop,373.34,Dr
24/05/2023,Restaurant Dinner,1764.9,Dr
25/05/2023,DMart Purchase,3128.81,Dr
26/05/2023,Uber Ride,596.09,Dr
28/05/2023,Book Purchase,1381.87,Dr
28/05/2023,Hotel Stay,5717.49,Dr
29/05/2023,Petrol/Diesel,1801.87,Dr
30/05/2023,Book Purchase,1069.9,Dr
30/05/2023,Uber Ride,259.84,Dr
01/06/2023,ATM Withdrawal,1018.35,Dr
03/06/2023,Travel Booking,8914.71,Dr
03/06/2023,Ola Cab,153.49,Dr
04/06/2023,Insurance Premium,2926.72,Dr
05/06/2023,DMart Purchase,1171.91,Dr
06/06/2023,Myntra Fashion,3222.24,Dr
06/06/2023,Cashback Credit,221.56,Cr
06/06/2023,Hair Salon,986.78,Dr
07/06/2023,Bonus Credit,10041.11,Cr
07/06/2023,Transfer Received,11087.19,Cr
08/06/2023,Book Purchase,820.64,Dr
10/06/2023,Gym Membership,2243.23,Dr
10/06/2023,Transfer Received,15613.12,Cr
10/06/2023,Apollo Pharmacy,1174.26,Dr
11/06/2023,Zomato Food Delivery,699.02,Dr
16/06/2023,BigBasket Groceries,2293.0,Dr
17/06/2023,Zomato Food Delivery,208.87,Dr
17/06/2023,Online Course,4420.67,Dr
19/06/2023,MedPlus Medical Store,957.01,Dr
20/06/2023,School Fees,14222.59,Dr
21/06/2023,Online Course,3546.46,Dr
21/06/2023,Swiggy Order,654.68,Dr
23/06/2023,Coffee Shop,492.42,Dr
23/06/2023,Freelance Payment,12376.2,Cr
23/06/2023,Myntra Fashion,1123.24,Dr
24/06/2023,Refund Credit,2123.0,Cr
24/06/2023,Uber Ride,373.14,Dr
25/06/2023,Uber Ride,276.25,Dr
25/06/2023,BookMyShow Tickets,757.43,Dr
25/06/2023,Electricity Bill,1069.9,Dr
26/06/2023,Flipkart Order,1287.76,Dr
26/06/2023,Myntra Fashion,3985.7,Dr
28/06/2023,Coffee Shop,161.67,Dr
28/06/2023,Restaurant Dinner,2403.5,Dr
28/06/2023,Flipkart Order,3888.48,Dr
29/06/2023,Salary Credit,55264.17,Cr
02/07/2023,Rental Income,21284.56,Cr
04/07/2023,Flipkart Order,1645.43,Dr
04/07/2023,BigBasket Groceries,3000.83,Dr
08/07/2023,Reliance Fresh,1244.95,Dr
09/07/2023,BookMyShow Tickets,958.46,Dr
10/07/2023,Airtel Mobile Bill,663.94,Dr
11/07/2023,Water Bill,308.39,Dr
11/07/2023,Ola Cab,97.22,Dr
11/07/2023,Apollo Pharmacy,1780.36,Dr
13/07/2023,Gym Membership,1210.92,Dr
13/07/2023,Spotify Premium,119.0,Dr
13/07/2023,Hair Salon,1160.82,Dr
14/07/2023,Metro Card Recharge,742.32,Dr
14/07/2023,Restaurant Dinner,2280.46,Dr
15/07/2023,Uber Ride,204.64,Dr
17/07/2023,PVR Cinemas,573.18,Dr
17/07/2023,Hotel Stay,8024.36,Dr
18/07/2023,Refund Credit,4078.68,Cr
18/07/2023,Spa & Wellness,1352.79,Dr
20/07/2023,Refund Credit,3713.61,Cr
22/07/2023,Travel Booking,17323.34,Dr
23/07/2023,Petrol/Diesel,1671.13,Dr
24/07/2023,PVR Cinemas,434.78,Dr
24/07/2023,House Rent,17957.56,Dr
25/07/2023,Gym Membership,1512.67,Dr
26/07/2023,Bonus Credit,38830.94,Cr
26/07/2023,Gym Membership,2396.66,Dr
27/07/2023,ATM Withdrawal,3431.98,Dr
27/07/2023,Zomato Food Delivery,474.18,Dr
28/07/2023,Netflix Subscription,181.36,Dr
28/07/2023,Netflix Subscription,274.97,Dr
29/07/2023,Freelance Payment,23625.65,Cr
30/07/2023,BigBasket Groceries,2423.61,Dr
30/07/2023,Salary Credit,106036.52,Cr
01/08/2023,Salary Credit,89300.83,Cr
02/08/2023,Online Course,4095.24,Dr
02/08/2023,Spotify Premium,119.0,Dr
02/08/2023,Rental Income,5560.98,Cr
02/08/2023,Transfer Received,12037.01,Cr
03/08/2023,Hotel Stay,5868.38,Dr
04/08/2023,BookMyShow Tickets,1269.7,Dr
04/08/2023,Netflix Subscription,434.07,Dr
06/08/2023,Zomato Food Delivery,124.56,Dr
06/08/2023,BigBasket Groceries,2064.26,Dr
06/08/2023,Hair Salon,620.76,Dr
08/08/2023,Maintenance Charges,2953.25,Dr
08/08/2023,Interest Credit,1505.17,Cr
08/08/2023,Reliance Fresh,1670.59,Dr
08/08/2023,School Fees,3926.16,Dr
09/08/2023,Jio Recharge,423.82,Dr
12/08/2023,Netflix Subscription,188.9,Dr
12/08/2023,MedPlus Medical Store,1441.74,Dr
14/08/2023,Uber Ride,148.73,Dr
15/08/2023,Hotel Stay,7565.29,Dr
15/08/2023,Refund Credit,2495.61,Cr
16/08/2023,Reliance Fresh,1673.68,Dr
17/08/2023,Cashback Credit,769.47,Cr
19/08/2023,Amazon Purchase,1951.28,Dr
20/08/2023,School Fees,8173.1,Dr
20/08/2023,MedPlus Medical Store,1261.05,Dr
21/08/2023,Salary Credit,59646.93,Cr
22/08/2023,BigBasket Groceries,731.29,Dr
23/08/2023,Hair Salon,1435.72,Dr
23/08/2023,Freelance Payment,16038.21,Cr
24/08/2023,Jio Recharge,384.93,Dr
24/08/2023,Zomato Food Delivery,375.48,Dr
25/08/2023,Online Course,3797.33,Dr
27/08/2023,Cashback Credit,487.15,Cr
29/08/2023,Transfer Received,22322.78,Cr
29/08/2023,Spotify Premium,119.0,Dr
29/08/2023,BigBasket Groceries,2086.44,Dr
30/08/2023,Hair Salon,581.61,Dr
30/08/2023,Ola Cab,324.66,Dr
02/09/2023,Zomato Food Delivery,779.32,Dr
03/09/2023,Freelance Payment,17230.46,Cr
04/09/2023,Dividend Credit,3700.99,Cr
05/09/2023,Spa & Wellness,1144.56,Dr
05/09/2023,Dividend Credit,11529.87,Cr
05/09/2023,ATM Withdrawal,3701.22,Dr
07/09/2023,Reliance Fresh,1698.41,Dr
08/09/2023,Jio Recharge,330.71,Dr
09/09/2023,Bonus Credit,16789.76,Cr
10/09/2023,Insurance Premium,6701.93,Dr
10/09/2023,Hair Salon,1020.4,Dr
10/09/2023,Airtel Mobile Bill,711.18,Dr
10/09/2023,Bonus Credit,5229.06,Cr
10/09/2023,Zomato Food Delivery,264.15,Dr
11/09/2023,DMart Purchase,835.01,Dr
12/09/2023,Coffee Shop,150.75,Dr
12/09/2023,Netflix Subscription,246.11,Dr
12/09/2023,PVR Cinemas,781.12,Dr
12/09/2023,Jio Recharge,435.47,Dr
13/09/2023,Swiggy Order,417.2,Dr
14/09/2023,Coffee Shop,340.0,Dr
14/09/2023,MedPlus Medical Store,1182.56,Dr
15/09/2023,Restaurant Dinner,1559.55,Dr
15/09/2023,Reliance Fresh,217.5,Dr
16/09/2023,Insurance Premium,3555.35,Dr
16/09/2023,Gym Membership,1210.78,Dr
16/09/2023,Apollo Pharmacy,302.51,Dr
16/09/2023,Bonus Credit,7378.91,Cr
16/09/2023,Travel Booking,2245.68,Dr
18/09/2023,Apollo Pharmacy,1773.91,Dr
18/09/2023,Metro Card Recharge,661.53,Dr
18/09/2023,Coffee Shop,290.78,Dr
19/09/2023,Airtel Mobile Bill,888.08,Dr
19/09/2023,Travel Booking,14838.01,Dr
23/09/2023,Hair Salon,1054.86,Dr
24/09/2023,School Fees,10980.64,Dr
24/09/2023,Restaurant Dinner,2460.87,Dr
24/09/2023,Online Course,850.41,Dr
25/09/2023,BookMyShow Tickets,892.32,Dr
25/09/2023,Maintenance Charges,966.39,Dr
26/09/2023,Hair Salon,652.67,Dr
26/09/2023,Reliance Fresh,1689.3,Dr
26/09/2023,Ola Cab,433.92,Dr
28/09/2023,Airtel Mobile Bill,419.22,Dr
29/09/2023,Travel Booking,13456.28,Dr
29/09/2023,Hotel Stay,9308.3,Dr
30/09/2023,Jio Recharge,590.21,Dr
01/10/2023,Water Bill,394.78,Dr
05/10/2023,Ola Cab,179.97,Dr
07/10/2023,Book Purchase,830.19,Dr
07/10/2023,BookMyShow Tickets,401.14,Dr
07/10/2023,Travel Booking,14332.19,Dr
09/10/2023,Ola Cab,116.18,Dr
09/10/2023,Amazon Purchase,2839.39,Dr
10/10/2023,Dividend Credit,7147.52,Cr
10/10/2023,Interest Credit,1443.65,Cr
10/10/2023,Water Bill,671.16,Dr
10/10/2023,Freelance Payment,27428.67,Cr
12/10/2023,Freelance Payment,26725.13,Cr
12/10/2023,Rental Income,22227.78,Cr
14/10/2023,Hotel Stay,7768.85,Dr
14/10/2023,Electricity Bill,4488.77,Dr
15/10/2023,Spa & Wellness,598.98,Dr
15/10/2023,Airtel Mobile Bill,849.64,Dr
15/10/2023,Petrol/Diesel,3210.35,Dr
16/10/2023,Netflix Subscription,645.71,Dr
17/10/2023,Flipkart Order,823.03,Dr
18/10/2023,Zomato Food Delivery,310.61,Dr
19/10/2023,Airtel Mobile Bill,386.74,Dr
20/10/2023,Refund Credit,433.53,Cr
21/10/2023,BigBasket Groceries,2629.4,Dr
22/10/2023,Reliance Fresh,355.22,Dr
23/10/2023,ATM Withdrawal,4873.19,Dr
24/10/2023,Transfer Received,41140.01,Cr
26/10/2023,Electricity Bill,4784.92,Dr
26/10/2023,Bonus Credit,32149.83,Cr
28/10/2023,Online Course,3397.1,Dr
28/10/2023,Metro Card Recharge,557.36,Dr
29/10/2023,Myntra Fashion,3114.71,Dr
30/10/2023,School Fees,10832.79,Dr
31/10/2023,PVR Cinemas,536.38,Dr
01/11/2023,Flipkart Order,2587.31,Dr
02/11/2023,Rental Income,8402.46,Cr
02/11/2023,Apollo Pharmacy,531.16,Dr
04/11/2023,Airtel Mobile Bill,736.33,Dr
04/11/2023,Water Bill,574.28,Dr
06/11/2023,Ola Cab,490.2,Dr
07/11/2023,DMart Purchase,3121.17,Dr
11/11/2023,Amazon Purchase,520.98,Dr
11/11/2023,Cashback Credit,839.16,Cr
12/11/2023,Restaurant Dinner,2164.38,Dr
12/11/2023,Reliance Fresh,1841.13,Dr
13/11/2023,BookMyShow Tickets,1233.64,Dr
13/11/2023,Airtel Mobile Bill,802.4,Dr
15/11/2023,Myntra Fashion,2740.76,Dr
17/11/2023,Reliance Fresh,1617.94,Dr
18/11/2023,DMart Purchase,1920.95,Dr
20/11/2023,Insurance Premium,3627.01,Dr
20/11/2023,Rental Income,7825.55,Cr
20/11/2023,BigBasket Groceries,2277.37,Dr
21/11/2023,Travel Booking,2575.46,Dr
22/11/2023,PVR Cinemas,301.29,Dr
23/11/2023,ATM Withdrawal,2265.29,Dr
24/11/2023,Transfer Received,30032.68,Cr
25/11/2023,Hair Salon,1447.61,Dr
25/11/2023,Water Bill,758.19,Dr
27/11/2023,Freelance Payment,21109.93,Cr
28/11/2023,Water Bill,614.42,Dr
29/11/2023,Amazon Purchase,7379.39,Dr
30/11/2023,Myntra Fashion,1618.88,Dr
30/11/2023,Metro Card Recharge,428.02,Dr
30/11/2023,Water Bill,238.77,Dr
03/12/2023,Flipkart Order,2081.02,Dr
03/12/2023,Coffee Shop,398.86,Dr
07/12/2023,Netflix Subscription,504.91,Dr
08/12/2023,Flipkart Order,1951.04,Dr
10/12/2023,Uber Ride,296.15,Dr
10/12/2023,School Fees,8568.8,Dr
11/12/2023,Electricity Bill,3165.64,Dr
11/12/2023,Insurance Premium,9573.51,Dr
11/12/2023,Reliance Fresh,807.83,Dr
12/12/2023,Refund Credit,3081.89,Cr
12/12/2023,Hotel Stay,9182.29,Dr
16/12/2023,Reliance Fresh,477.89,Dr
16/12/2023,DMart Purchase,548.05,Dr
16/12/2023,Metro Card Recharge,344.54,Dr
18/12/2023,Insurance Premium,1038.96,Dr
22/12/2023,Spa & Wellness,2406.16,Dr
22/12/2023,Jio Recharge,405.91,Dr
23/12/2023,Metro Card Recharge,804.65,Dr
24/12/2023,Salary Credit,58613.8,Cr
25/12/2023,Spotify Premium,119.0,Dr
25/12/2023,Interest Credit,1784.21,Cr
26/12/2023,Interest Credit,2364.93,Cr
26/12/2023,Book Purchase,597.6,Dr
27/12/2023,Spa & Wellness,2858.39,Dr
27/12/2023,Freelance Payment,11847.63,Cr
27/12/2023,Petrol/Diesel,1119.13,Dr
28/12/2023,Airtel Mobile Bill,498.75,Dr
30/12/2023,BookMyShow Tickets,290.29,Dr
31/12/2023,Uber Ride,544.2,Dr
01/01/2024,Uber Ride,140.95,Dr
01/01/2024,Uber Ride,503.27,Dr
02/01/2024,Jio Recharge,260.09,Dr
02/01/2024,Coffee Shop,205.62,Dr
02/01/2024,Book Purchase,535.33,Dr
02/01/2024,Zomato Food Delivery,463.13,Dr
03/01/2024,Travel Booking,10871.12,Dr
05/01/2024,BigBasket Groceries,1210.78,Dr
05/01/2024,Hotel Stay,4197.75,Dr
05/01/2024,Zomato Food Delivery,361.92,Dr
05/01/2024,Cashback Credit,852.39,Cr
05/01/2024,Travel Booking,15957.16,Dr
08/01/2024,Maintenance Charges,1298.29,Dr
09/01/2024,Electricity Bill,1256.52,Dr
09/01/2024,Flipkart Order,4564.21,Dr
11/01/2024,Netflix Subscription,420.86,Dr
11/01/2024,Bonus Credit,12359.97,Cr
11/01/2024,Swiggy Order,145.23,Dr
12/01/2024,Flipkart Order,317.53,Dr
13/01/2024,Uber Ride,426.09,Dr
13/01/2024,Swiggy Order,353.97,Dr
17/01/2024,BookMyShow Tickets,832.41,Dr
20/01/2024,Insurance Premium,7969.46,Dr
21/01/2024,House Rent,20529.33,Dr
21/01/2024,Amazon Purchase,4668.14,Dr
22/01/2024,Netflix Subscription,563.87,Dr
23/01/2024,Restaurant Dinner,2460.41,Dr
24/01/2024,Insurance Premium,4555.58,Dr
24/01/2024,Transfer Received,36788.06,Cr
25/01/2024,Swiggy Order,599.91,Dr
28/01/2024,Restaurant Dinner,1545.9,Dr
28/01/2024,Gym Membership,2283.17,Dr
30/01/2024,Insurance Premium,1207.34,Dr
03/02/2024,Zomato Food Delivery,892.41,Dr
04/02/2024,ATM Withdrawal,2271.98,Dr
06/02/2024,Metro Card Recharge,745.55,Dr
07/02/2024,DMart Purchase,1159.65,Dr
10/02/2024,Book Purchase,220.17,Dr
11/02/2024,Bonus Credit,6811.53,Cr
11/02/2024,Interest Credit,1309.33,Cr
12/02/2024,Coffee Shop,131.56,Dr
13/02/2024,Salary Credit,70428.21,Cr
13/02/2024,Restaurant Dinner,1841.14,Dr
14/02/2024,Maintenance Charges,573.15,Dr
14/02/2024,Jio Recharge,429.32,Dr
14/02/2024,Spa & Wellness,1593.79,Dr
15/02/2024,House Rent,13500.52,Dr
17/02/2024,House Rent,12165.82,Dr
18/02/2024,Myntra Fashion,653.34,Dr
18/02/2024,Uber Ride,204.97,Dr
21/02/2024,Electricity Bill,2009.44,Dr
21/02/2024,Zomato Food Delivery,402.67,Dr
22/02/2024,Coffee Shop,145.37,Dr
23/02/2024,BigBasket Groceries,2277.62,Dr
23/02/2024,MedPlus Medical Store,1391.24,Dr
23/02/2024,DMart Purchase,1606.59,Dr
25/02/2024,Netflix Subscription,513.17,Dr
26/02/2024,Online Course,880.0,Dr
26/02/2024,Hair Salon,406.42,Dr
26/02/2024,MedPlus Medical Store,1218.06,Dr
27/02/2024,DMart Purchase,2056.24,Dr
27/02/2024,Apollo Pharmacy,716.1,Dr
29/02/2024,Hair Salon,851.11,Dr
01/03/2024,Spa & Wellness,2488.6,Dr
04/03/2024,Myntra Fashion,2774.09,Dr
05/03/2024,Apollo Pharmacy,708.88,Dr
05/03/2024,BigBasket Groceries,2710.69,Dr
05/03/2024,Hotel Stay,6489.53,Dr
05/03/2024,BookMyShow Tickets,1155.91,Dr
06/03/2024,MedPlus Medical Store,604.89,Dr
06/03/2024,Swiggy Order,554.05,Dr
07/03/2024,Jio Recharge,552.57,Dr
07/03/2024,Electricity Bill,3215.58,Dr
09/03/2024,School Fees,5508.03,Dr
10/03/2024,Swiggy Order,468.21,Dr
11/03/2024,Ola Cab,389.96,Dr
12/03/2024,Refund Credit,1243.82,Cr
16/03/2024,ATM Withdrawal,1472.18,Dr
17/03/2024,Water Bill,636.02,Dr
17/03/2024,Metro Card Recharge,247.05,Dr
18/03/2024,Metro Card Recharge,350.33,Dr
22/03/2024,Interest Credit,1035.27,Cr
22/03/2024,DMart Purchase,1112.27,Dr
23/03/2024,Spa & Wellness,2957.76,Dr
24/03/2024,ATM Withdrawal,3222.88,Dr
24/03/2024,Metro Card Recharge,980.05,Dr
25/03/2024,Electricity Bill,1542.29,Dr
25/03/2024,MedPlus Medical Store,593.63,Dr
25/03/2024,Salary Credit,86018.44,Cr
26/03/2024,Interest Credit,1168.98,Cr
28/03/2024,Spa & Wellness,2918.24,Dr
30/03/2024,Electricity Bill,1622.01,Dr
30/03/2024,Insurance Premium,8564.11,Dr
31/03/2024,Metro Card Recharge,617.18,Dr
31/03/2024,Reliance Fresh,1598.06,Dr
04/04/2024,Salary Credit,113848.99,Cr
05/04/2024,Ola Cab,466.19,Dr
07/04/2024,School Fees,14451.08,Dr
07/04/2024,Reliance Fresh,847.74,Dr
07/04/2024,Metro Card Recharge,749.41,Dr
10/04/2024,Insurance Premium,6112.44,Dr
11/04/2024,Freelance Payment,14005.92,Cr
11/04/2024,Salary Credit,42108.31,Cr
12/04/2024,Refund Credit,2184.37,Cr
13/04/2024,Book Purchase,457.75,Dr
14/04/2024,House Rent,15540.03,Dr
16/04/2024,PVR Cinemas,381.46,Dr
16/04/2024,Restaurant Dinner,1770.06,Dr
17/04/2024,Flipkart Order,469.42,Dr
19/04/2024,School Fees,6792.32,Dr
19/04/2024,MedPlus Medical Store,229.71,Dr
20/04/2024,Hotel Stay,6979.71,Dr
20/04/2024,House Rent,28278.18,Dr
23/04/2024,Water Bill,600.15,Dr
23/04/2024,Zomato Food Delivery,329.94,Dr
25/04/2024,Airtel Mobile Bill,596.52,Dr
26/04/2024,Book Purchase,1438.96,Dr
27/04/2024,Netflix Subscription,606.95,Dr
28/04/2024,Insurance Premium,8600.46,Dr
29/04/2024,Metro Card Recharge,206.29,Dr
29/04/2024,Travel Booking,8930.88,Dr
29/04/2024,Rental Income,13593.3,Cr
29/04/2024,Water Bill,210.7,Dr
02/05/2024,PVR Cinemas,571.38,Dr
02/05/2024,Salary Credit,62456.01,Cr
03/05/2024,Ola Cab,421.52,Dr
03/05/2024,Zomato Food Delivery,448.91,Dr
03/05/2024,Freelance Payment,11886.49,Cr
03/05/2024,BigBasket Groceries,916.59,Dr
05/05/2024,Metro Card Recharge,447.41,Dr
05/05/2024,Coffee Shop,238.94,Dr
07/05/2024,Airtel Mobile Bill,889.89,Dr
07/05/2024,Spa & Wellness,2940.87,Dr
07/05/2024,Cashback Credit,227.68,Cr
07/05/2024,Insurance Premium,2803.16,Dr
09/05/2024,Airtel Mobile Bill,807.56,Dr
09/05/2024,Travel Booking,7620.31,Dr
09/05/2024,Amazon Purchase,2827.1,Dr
10/05/2024,BigBasket Groceries,666.69,Dr
11/05/2024,PVR Cinemas,632.23,Dr
15/05/2024,BookMyShow Tickets,1310.77,Dr
15/05/2024,Electricity Bill,2139.21,Dr
16/05/2024,Bonus Credit,27187.26,Cr
16/05/2024,Refund Credit,918.64,Cr
16/05/2024,ATM Withdrawal,535.74,Dr
17/05/2024,Hotel Stay,5084.64,Dr
18/05/2024,Zomato Food Delivery,257.34,Dr
19/05/2024,Myntra Fashion,1770.49,Dr
20/05/2024,Spa & Wellness,1650.51,Dr
21/05/2024,Freelance Payment,18286.75,Cr
21/05/2024,Hair Salon,232.05,Dr
22/05/2024,Airtel Mobile Bill,713.77,Dr
26/05/2024,House Rent,14837.73,Dr
29/05/2024,Maintenance Charges,669.88,Dr
01/06/2024,Travel Booking,19418.3,Dr
02/06/2024,Bonus Credit,35041.39,Cr
02/06/2024,Water Bill,562.33,Dr
03/06/2024,Swiggy Order,679.42,Dr
06/06/2024,Netflix Subscription,349.03,Dr
09/06/2024,MedPlus Medical Store,656.33,Dr
10/06/2024,Freelance Payment,18544.48,Cr
14/06/2024,Zomato Food Delivery,649.14,Dr
15/06/2024,Maintenance Charges,809.53,Dr
16/06/2024,Petrol/Diesel,3897.53,Dr
17/06/2024,Online Course,4366.77,Dr
18/06/2024,Bonus Credit,17683.04,Cr
18/06/2024,Ola Cab,121.29,Dr
19/06/2024,Insurance Premium,5919.58,Dr
20/06/2024,House Rent,26645.75,Dr
