date,description,amount,transaction_type,category
2023-03-01,Flipkart Order,3053.55,debit,Shopping
2023-03-01,BookMyShow Tickets,629.67,debit,Entertainment
2023-03-01,Amazon Purchase,752.7,debit,Shopping
2023-03-02,Electricity Bill,1046.08,debit,Utilities
2023-03-04,Insurance Premium,3607.04,debit,Insurance
2023-03-05,Insurance Premium,2978.79,debit,Insurance
2023-03-05,Coffee Shop,403.06,debit,Food & Dining
2023-03-06,Refund Credit,2010.41,credit,Refund
2023-03-06,Spa & Wellness,979.04,debit,Personal Care
2023-03-07,Coffee Shop,192.45,debit,Food & Dining
2023-03-07,Metro Card Recharge,726.34,debit,Transport
2023-03-08,Online Course,4769.65,debit,Education
2023-03-08,Maintenance Charges,2655.5,debit,Housing
2023-03-08,Online Course,960.26,debit,Education
2023-03-09,Jio Recharge,205.26,debit,Utilities
2023-03-10,Ola Cab,167.68,debit,Transport
2023-03-10,Hair Salon,1116.35,debit,Personal Care
2023-03-11,Freelance Payment,6422.05,credit,Freelance
2023-03-12,MedPlus Medical Store,999.14,debit,Healthcare
2023-03-14,Restaurant Dinner,983.74,debit,Food & Dining
2023-03-14,BookMyShow Tickets,646.12,debit,Entertainment
2023-03-14,Hair Salon,402.0,debit,Personal Care
2023-03-14,Airtel Mobile Bill,807.88,debit,Utilities
2023-03-15,Swiggy Order,782.95,debit,Food & Dining
2023-03-16,Coffee Shop,410.94,debit,Food & Dining
2023-03-16,Hotel Stay,2484.61,debit,Travel
2023-03-17,Jio Recharge,299.96,debit,Utilities
2023-03-18,Gym Membership,2042.5,debit,Healthcare
2023-03-19,Spa & Wellness,2030.12,debit,Personal Care
2023-03-21,Insurance Premium,5529.96,debit,Insurance
2023-03-22,Online Course,649.17,debit,Education
2023-03-22,BookMyShow Tickets,1246.05,debit,Entertainment
2023-03-22,Hotel Stay,8003.86,debit,Travel
2023-03-23,Restaurant Dinner,2109.17,debit,Food & Dining
2023-03-23,Jio Recharge,440.49,debit,Utilities
2023-03-24,Spa & Wellness,1079.37,debit,Personal Care
2023-03-26,School Fees,10599.78,debit,Education
2023-03-26,BookMyShow Tickets,617.98,debit,Entertainment
2023-03-26,Zomato Food Delivery,183.35,debit,Food & Dining
2023-03-27,Uber Ride,547.44,debit,Transport
2023-03-27,Online Course,2958.14,debit,Education
2023-03-27,Refund Credit,2778.33,credit,Refund
2023-03-28,Maintenance Charges,2037.13,debit,Housing
2023-03-28,ATM Withdrawal,2844.17,debit,Others
2023-03-29,Hair Salon,552.42,debit,Personal Care
2023-03-29,PVR Cinemas,693.91,debit,Entertainment
2023-03-30,Rental Income,10701.29,credit,Rental
2023-03-31,Petrol/Diesel,1387.78,debit,Transport
2023-03-31,Flipkart Order,1318.24,debit,Shopping
2023-04-01,Apollo Pharmacy,1125.54,debit,Healthcare
2023-04-04,Apollo Pharmacy,1508.38,debit,Healthcare
2023-04-04,Water Bill,473.56,debit,Utilities
2023-04-04,Spa & Wellness,851.12,debit,Personal Care
2023-04-04,BigBasket Groceries,1623.49,debit,Groceries
2023-04-04,Flipkart Order,381.88,debit,Shopping
2023-04-05,Ola Cab,189.08,debit,Transport
2023-04-05,Bonus Credit,6011.61,credit,Bonus
2023-04-07,Metro Card Recharge,828.64,debit,Transport
2023-04-07,Metro Card Recharge,533.25,debit,Transport
2023-04-08,House Rent,14010.77,debit,Housing
2023-04-08,Netflix Subscription,179.02,debit,Entertainment
2023-04-10,Restaurant Dinner,757.48,debit,Food & Dining
2023-04-10,Ola Cab,351.27,debit,Transport
2023-04-10,School Fees,12904.61,debit,Education
2023-04-11,Online Course,2290.58,debit,Education
2023-04-12,Electricity Bill,2661.07,debit,Utilities
2023-04-12,ATM Withdrawal,4279.35,debit,Others
2023-04-13,Interest Credit,2685.35,credit,Interest
2023-04-13,Reliance Fresh,993.94,debit,Groceries
2023-04-14,Metro Card Recharge,891.33,debit,Transport
2023-04-14,BookMyShow Tickets,556.17,debit,Entertainment
2023-04-14,ATM Withdrawal,3394.93,debit,Others
2023-04-14,Cashback Credit,908.13,credit,Cashback
2023-04-14,Salary Credit,46889.57,credit,Salary
2023-04-16,Hair Salon,348.31,debit,Personal Care
2023-04-16,Airtel Mobile Bill,545.15,debit,Utilities
2023-04-16,Water Bill,685.34,debit,Utilities
2023-04-17,Maintenance Charges,1060.56,debit,Housing
2023-04-17,Swiggy Order,663.06,debit,Food & Dining
2023-04-17,PVR Cinemas,785.3,debit,Entertainment
2023-04-18,House Rent,9450.06,debit,Housing
2023-04-18,Hotel Stay,9842.02,debit,Travel
2023-04-18,Spotify Premium,119.0,debit,Entertainment
2023-04-19,Transfer Received,41216.91,credit,Transfer
2023-04-20,Airtel Mobile Bill,358.63,debit,Utilities
2023-04-21,Reliance Fresh,262.13,debit,Groceries
2023-04-22,Petrol/Diesel,2679.22,debit,Transport
2023-04-22,MedPlus Medical Store,782.74,debit,Healthcare
2023-04-22,Interest Credit,1763.92,credit,Interest
2023-04-22,ATM Withdrawal,2575.69,debit,Others
2023-04-22,Myntra Fashion,3540.63,debit,Shopping
2023-04-23,Bonus Credit,47539.58,credit,Bonus
2023-04-23,Spotify Premium,119.0,debit,Entertainment
2023-04-24,Hotel Stay,2800.63,debit,Travel
2023-04-24,Travel Booking,9477.64,debit,Travel
2023-04-25,Apollo Pharmacy,1193.82,debit,Healthcare
2023-04-25,House Rent,15654.46,debit,Housing
2023-04-25,Airtel Mobile Bill,694.46,debit,Utilities
2023-04-26,BigBasket Groceries,1448.51,debit,Groceries
2023-04-26,Bonus Credit,15537.27,credit,Bonus
2023-04-27,Coffee Shop,357.42,debit,Food & Dining
2023-04-29,Airtel Mobile Bill,805.3,debit,Utilities
2023-04-29,Restaurant Dinner,1848.95,debit,Food & Dining
2023-04-30,Insurance Premium,1548.62,debit,Insurance
2023-04-30,Electricity Bill,3021.89,debit,Utilities
2023-05-01,Uber Ride,527.01,debit,Transport
2023-05-01,BigBasket Groceries,3797.2,debit,Groceries
2023-05-02,DMart Purchase,2352.59,debit,Groceries
2023-05-03,ATM Withdrawal,3027.58,debit,Others
2023-05-03,Interest Credit,2253.32,credit,Interest
2023-05-04,Reliance Fresh,1903.04,debit,Groceries
2023-05-04,BigBasket Groceries,3948.71,debit,Groceries
2023-05-05,Restaurant Dinner,2537.27,debit,Food & Dining
2023-05-06,Interest Credit,2718.15,credit,Interest
2023-05-08,Hotel Stay,3262.4,debit,Travel
2023-05-08,Book Purchase,598.85,debit,Education
2023-05-08,Flipkart Order,1649.6,debit,Shopping
2023-05-08,Water Bill,322.4,debit,Utilities
2023-05-10,Jio Recharge,203.94,debit,Utilities
2023-05-12,House Rent,19937.45,debit,Housing
2023-05-13,Water Bill,734.8,debit,Utilities
2023-05-13,Flipkart Order,995.53,debit,Shopping
2023-05-14,BigBasket Groceries,2434.98,debit,Groceries
2023-05-15,PVR Cinemas,725.72,debit,Entertainment
2023-05-16,Online Course,4401.95,debit,Education
2023-05-18,Petrol/Diesel,1767.53,debit,Transport
2023-05-18,PVR Cinemas,326.12,debit,Entertainment
2023-05-20,Airtel Mobile Bill,856.43,debit,Utilities
2023-05-20,Freelance Payment,18131.61,credit,Freelance
2023-05-21,Uber Ride,472.2,debit,Transport
2023-05-21,Metro Card Recharge,305.77,debit,Transport
2023-05-21,ATM Withdrawal,1780.22,debit,Others
2023-05-21,Water Bill,266.21,debit,Utilities
2023-05-22,House Rent,8278.35,debit,Housing
2023-05-22,Restaurant Dinner,2149.74,debit,Food & Dining
2023-05-23,Dividend Credit,11822.96,credit,Investment
2023-05-23,Jio Recharge,393.34,debit,Utilities
2023-05-24,Swiggy Order,369.1,debit,Food & Dining
2023-05-25,BigBasket Groceries,3795.03,debit,Groceries
2023-05-26,Electricity Bill,3609.71,debit,Utilities
2023-05-26,Insurance Premium,5148.77,debit,Insurance
2023-05-27,Netflix Subscription,416.07,debit,Entertainment
2023-05-27,Rental Income,9564.36,credit,Rental
2023-05-29,House Rent,28834.34,debit,Housing
2023-05-30,Netflix Subscription,368.8,debit,Entertainment
2023-05-30,Rental Income,19007.7,credit,Rental
2023-05-30,Freelance Payment,5344.84,credit,Freelance
2023-05-30,BigBasket Groceries,1227.54,debit,Groceries
2023-05-30,Bonus Credit,39975.67,credit,Bonus
2023-05-31,Uber Ride,233.35,debit,Transport
2023-05-31,Bonus Credit,30113.79,credit,Bonus
2023-06-01,Rental Income,17846.77,credit,Rental
2023-06-01,Ola Cab,228.43,debit,Transport
2023-06-02,Electricity Bill,4577.11,debit,Utilities
2023-06-03,Freelance Payment,9943.76,credit,Freelance
2023-06-03,Reliance Fresh,1823.84,debit,Groceries
2023-06-05,Coffee Shop,486.95,debit,Food & Dining
2023-06-06,Zomato Food Delivery,782.68,debit,Food & Dining
2023-06-07,DMart Purchase,2229.53,debit,Groceries
2023-06-07,Travel Booking,8482.23,debit,Travel
2023-06-07,Electricity Bill,1858.61,debit,Utilities
2023-06-08,MedPlus Medical Store,465.84,debit,Healthcare
2023-06-09,Dividend Credit,8272.22,credit,Investment
2023-06-09,Amazon Purchase,4115.92,debit,Shopping
2023-06-09,Jio Recharge,266.15,debit,Utilities
2023-06-09,Metro Card Recharge,978.14,debit,Transport
2023-06-09,Spa & Wellness,785.81,debit,Personal Care
2023-06-09,Insurance Premium,8182.88,debit,Insurance
2023-06-10,DMart Purchase,1009.26,debit,Groceries
2023-06-11,Cashback Credit,825.22,credit,Cashback
2023-06-11,Online Course,3451.53,debit,Education
2023-06-11,Petrol/Diesel,823.62,debit,Transport
2023-06-11,Uber Ride,341.09,debit,Transport
2023-06-13,Reliance Fresh,853.23,debit,Groceries
2023-06-15,Myntra Fashion,729.89,debit,Shopping
2023-06-15,Interest Credit,2815.34,credit,Interest
2023-06-19,DMart Purchase,1621.0,debit,Groceries
2023-06-19,School Fees,10383.79,debit,Education
2023-06-22,Water Bill,667.38,debit,Utilities
2023-06-22,Gym Membership,2334.86,debit,Healthcare
2023-06-23,Myntra Fashion,1050.93,debit,Shopping
2023-06-23,Metro Card Recharge,714.79,debit,Transport
2023-06-24,Dividend Credit,10206.42,credit,Investment
2023-06-24,Maintenance Charges,1029.34,debit,Housing
2023-06-26,Refund Credit,4998.06,credit,Refund
2023-06-26,Amazon Purchase,3736.3,debit,Shopping
2023-06-27,Coffee Shop,228.31,debit,Food & Dining
2023-06-27,Hotel Stay,5658.31,debit,Travel
2023-06-28,Online Course,3005.99,debit,Education
2023-06-28,Amazon Purchase,6249.93,debit,Shopping
2023-06-29,Flipkart Order,2689.64,debit,Shopping
2023-06-30,Airtel Mobile Bill,542.5,debit,Utilities
2023-07-01,House Rent,17825.86,debit,Housing
2023-07-04,Travel Booking,10230.15,debit,Travel
2023-07-04,Dividend Credit,1278.99,credit,Investment
2023-07-05,Reliance Fresh,1556.68,debit,Groceries
2023-07-05,House Rent,9770.05,debit,Housing
2023-07-06,Swiggy Order,249.39,debit,Food & Dining
2023-07-06,Airtel Mobile Bill,922.08,debit,Utilities
2023-07-08,PVR Cinemas,614.83,debit,Entertainment
2023-07-10,Jio Recharge,544.49,debit,Utilities
2023-07-10,Book Purchase,1025.29,debit,Education
2023-07-10,Hair Salon,1115.86,debit,Personal Care
2023-07-10,House Rent,12023.13,debit,Housing
2023-07-10,Jio Recharge,346.43,debit,Utilities
2023-07-10,Book Purchase,326.44,debit,Education
2023-07-11,MedPlus Medical Store,316.16,debit,Healthcare
2023-07-11,Netflix Subscription,444.9,debit,Entertainment
2023-07-12,PVR Cinemas,510.05,debit,Entertainment
2023-07-13,Metro Card Recharge,427.32,debit,Transport
2023-07-15,Refund Credit,4610.09,credit,Refund
2023-07-17,Petrol/Diesel,3341.19,debit,Transport
2023-07-18,House Rent,20272.3,debit,Housing
2023-07-18,Rental Income,21163.6,credit,Rental
2023-07-20,Transfer Received,41965.35,credit,Transfer
2023-07-20,Gym Membership,1454.28,debit,Healthcare
2023-07-20,Restaurant Dinner,2661.7,debit,Food & Dining
2023-07-21,Apollo Pharmacy,355.33,debit,Healthcare
2023-07-22,Restaurant Dinner,2841.54,debit,Food & Dining
2023-07-24,Dividend Credit,8082.39,credit,Investment
2023-07-25,Airtel Mobile Bill,931.4,debit,Utilities
2023-07-25,MedPlus Medical Store,458.47,debit,Healthcare
2023-07-25,Reliance Fresh,1603.63,debit,Groceries
2023-07-26,Electricity Bill,3415.75,debit,Utilities
2023-07-26,Gym Membership,874.3,debit,Healthcare
2023-07-30,Airtel Mobile Bill,415.91,debit,Utilities
2023-08-01,House Rent,10935.01,debit,Housing
2023-08-02,Myntra Fashion,1659.09,debit,Shopping
2023-08-03,House Rent,17056.19,debit,Housing
2023-08-05,Coffee Shop,300.06,debit,Food & Dining
2023-08-05,Maintenance Charges,2186.23,debit,Housing
2023-08-06,Airtel Mobile Bill,888.17,debit,Utilities
2023-08-06,Gym Membership,706.57,debit,Healthcare
2023-08-06,Dividend Credit,1883.54,credit,Investment
2023-08-07,Apollo Pharmacy,434.18,debit,Healthcare
2023-08-07,Gym Membership,1022.61,debit,Healthcare
2023-08-07,Freelance Payment,21895.3,credit,Freelance
2023-08-08,Dividend Credit,5434.35,credit,Investment
2023-08-09,Uber Ride,561.85,debit,Transport
2023-08-10,Uber Ride,526.47,debit,Transport
2023-08-10,ATM Withdrawal,2154.02,debit,Others
2023-08-10,Ola Cab,229.81,debit,Transport
2023-08-10,House Rent,29743.94,debit,Housing
2023-08-11,DMart Purchase,2977.92,debit,Groceries
2023-08-11,Metro Card Recharge,461.93,debit,Transport
2023-08-11,Refund Credit,1248.26,credit,Refund
2023-08-13,Netflix Subscription,545.04,debit,Entertainment
2023-08-16,Spa & Wellness,1817.34,debit,Personal Care
2023-08-16,Book Purchase,743.69,debit,Education
2023-08-17,Bonus Credit,16020.13,credit,Bonus
2023-08-17,Myntra Fashion,2807.04,debit,Shopping
2023-08-18,Interest Credit,1863.98,credit,Interest
2023-08-18,Transfer Received,45241.52,credit,Transfer
2023-08-19,Book Purchase,1042.77,debit,Education
2023-08-19,BigBasket Groceries,2254.66,debit,Groceries
2023-08-19,Myntra Fashion,2483.08,debit,Shopping
2023-08-20,Refund Credit,3151.63,credit,Refund
2023-08-20,Book Purchase,1299.5,debit,Education
2023-08-20,DMart Purchase,668.89,debit,Groceries
2023-08-21,Insurance Premium,7515.78,debit,Insurance
2023-08-23,ATM Withdrawal,3743.78,debit,Others
2023-08-26,Coffee Shop,443.26,debit,Food & Dining
2023-08-26,Salary Credit,40773.79,credit,Salary
2023-08-26,Cashback Credit,428.81,credit,Cashback
2023-08-27,Salary Credit,64349.17,credit,Salary
2023-08-29,Myntra Fashion,2244.31,debit,Shopping
2023-08-29,Hair Salon,1388.77,debit,Personal Care
2023-08-29,Interest Credit,2754.96,credit,Interest
2023-08-30,Zomato Food Delivery,381.31,debit,Food & Dining
2023-08-30,BigBasket Groceries,2047.21,debit,Groceries
2023-08-30,Reliance Fresh,1070.82,debit,Groceries
2023-08-31,BigBasket Groceries,3097.05,debit,Groceries
2023-09-01,Zomato Food Delivery,200.06,debit,Food & Dining
2023-09-03,Interest Credit,1439.9,credit,Interest
2023-09-04,Book Purchase,610.35,debit,Education
2023-09-06,Book Purchase,1067.85,debit,Education
2023-09-07,Refund Credit,3266.97,credit,Refund
2023-09-08,School Fees,13285.2,debit,Education
2023-09-08,MedPlus Medical Store,280.05,debit,Healthcare
2023-09-10,Online Course,2557.7,debit,Education
2023-09-11,Gym Membership,1669.12,debit,Healthcare
2023-09-13,Metro Card Recharge,263.04,debit,Transport
2023-09-14,Swiggy Order,262.97,debit,Food & Dining
2023-09-15,PVR Cinemas,287.74,debit,Entertainment
2023-09-15,Freelance Payment,21209.73,credit,Freelance
2023-09-17,Electricity Bill,3878.33,debit,Utilities
2023-09-18,Salary Credit,62448.33,credit,Salary
2023-09-19,Ola Cab,222.46,debit,Transport
2023-09-25,Gym Membership,823.16,debit,Healthcare
2023-09-25,Hair Salon,927.09,debit,Personal Care
2023-09-26,Online Course,4463.69,debit,Education
2023-09-26,Myntra Fashion,1067.87,debit,Shopping
2023-09-26,Netflix Subscription,163.29,debit,Entertainment
2023-09-27,Flipkart Order,3611.87,debit,Shopping
2023-09-28,Airtel Mobile Bill,410.28,debit,Utilities
2023-09-28,Swiggy Order,256.64,debit,Food & Dining
2023-09-29,BigBasket Groceries,3553.3,debit,Groceries
2023-09-29,Jio Recharge,530.39,debit,Utilities
2023-09-29,Spotify Premium,119.0,debit,Entertainment
2023-09-30,Maintenance Charges,796.58,debit,Housing
2023-09-30,Myntra Fashion,739.44,debit,Shopping
2023-10-01,Book Purchase,1172.06,debit,Education
2023-10-02,Book Purchase,554.69,debit,Education
2023-10-02,Gym Membership,906.67,debit,Healthcare
2023-10-02,Spa & Wellness,1398.13,debit,Personal Care
2023-10-03,Reliance Fresh,1523.47,debit,Groceries
2023-10-04,Cashback Credit,85.13,credit,Cashback
2023-10-05,Petrol/Diesel,2846.7,debit,Transport
2023-10-05,Online Course,1276.13,debit,Education
2023-10-05,Restaurant Dinner,1373.6,debit,Food & Dining
2023-10-06,BookMyShow Tickets,822.71,debit,Entertainment
2023-10-06,Refund Credit,4328.73,credit,Refund
2023-10-07,Electricity Bill,4045.24,debit,Utilities
2023-10-07,School Fees,12293.95,debit,Education
2023-10-08,Reliance Fresh,1096.43,debit,Groceries
2023-10-09,Water Bill,396.87,debit,Utilities
2023-10-09,Transfer Received,48917.62,credit,Transfer
2023-10-09,Netflix Subscription,397.21,debit,Entertainment
2023-10-09,Refund Credit,2699.45,credit,Refund
2023-10-09,PVR Cinemas,670.33,debit,Entertainment
2023-10-10,School Fees,4414.8,debit,Education
2023-10-11,DMart Purchase,2694.08,debit,Groceries
2023-10-11,Ola Cab,342.12,debit,Transport
2023-10-11,Netflix Subscription,313.33,debit,Entertainment
2023-10-11,MedPlus Medical Store,410.85,debit,Healthcare
2023-10-13,Insurance Premium,1782.45,debit,Insurance
2023-10-13,ATM Withdrawal,2925.4,debit,Others
2023-10-13,MedPlus Medical Store,438.81,debit,Healthcare
2023-10-14,DMart Purchase,1852.62,debit,Groceries
2023-10-14,Metro Card Recharge,481.23,debit,Transport
2023-10-14,Salary Credit,106429.79,credit,Salary
2023-10-14,Spa & Wellness,2993.67,debit,Personal Care
2023-10-14,BookMyShow Tickets,542.21,debit,Entertainment
2023-10-14,Salary Credit,97579.12,credit,Salary
2023-10-15,Spotify Premium,119.0,debit,Entertainment
2023-10-17,Water Bill,544.45,debit,Utilities
2023-10-18,House Rent,18017.32,debit,Housing
2023-10-19,DMart Purchase,344.87,debit,Groceries
2023-10-19,BookMyShow Tickets,1287.71,debit,Entertainment
2023-10-19,Online Course,906.07,debit,Education
2023-10-20,Online Course,655.63,debit,Education
2023-10-21,Gym Membership,1419.14,debit,Healthcare
2023-10-21,Hotel Stay,3378.86,debit,Travel
2023-10-22,Spa & Wellness,2144.82,debit,Personal Care
2023-10-23,Petrol/Diesel,3850.87,debit,Transport
2023-10-24,Travel Booking,15433.27,debit,Travel
2023-10-24,Insurance Premium,3255.89,debit,Insurance
2023-10-24,Ola Cab,244.62,debit,Transport
2023-10-25,School Fees,3145.83,debit,Education
2023-10-25,Netflix Subscription,307.75,debit,Entertainment
2023-10-26,Refund Credit,1524.62,credit,Refund
2023-10-26,Jio Recharge,551.05,debit,Utilities
2023-10-27,Water Bill,773.19,debit,Utilities
2023-10-27,Hair Salon,1420.93,debit,Personal Care
2023-10-27,Refund Credit,542.65,credit,Refund
2023-10-28,Bonus Credit,46510.11,credit,Bonus
2023-10-30,Swiggy Order,294.09,debit,Food & Dining
2023-10-30,Myntra Fashion,1395.89,debit,Shopping
2023-10-30,Myntra Fashion,3210.28,debit,Shopping
2023-11-02,Myntra Fashion,749.93,debit,Shopping
2023-11-02,Zomato Food Delivery,384.54,debit,Food & Dining
2023-11-03,Spotify Premium,119.0,debit,Entertainment
2023-11-03,Swiggy Order,223.63,debit,Food & Dining
2023-11-03,Apollo Pharmacy,391.08,debit,Healthcare
2023-11-04,Myntra Fashion,3708.61,debit,Shopping
2023-11-05,Dividend Credit,5786.78,credit,Investment
2023-11-08,Uber Ride,145.65,debit,Transport
2023-11-09,Airtel Mobile Bill,354.32,debit,Utilities
2023-11-09,Petrol/Diesel,3326.95,debit,Transport
2023-11-10,Swiggy Order,310.78,debit,Food & Dining
2023-11-11,Salary Credit,74208.48,credit,Salary
2023-11-11,Rental Income,5757.73,credit,Rental
2023-11-12,House Rent,26535.66,debit,Housing
2023-11-12,Myntra Fashion,3088.79,debit,Shopping
2023-11-12,Metro Card Recharge,259.17,debit,Transport
2023-11-12,Jio Recharge,362.92,debit,Utilities
2023-11-12,Restaurant Dinner,2402.96,debit,Food & Dining
2023-11-13,Bonus Credit,20235.26,credit,Bonus
2023-11-13,Cashback Credit,387.87,credit,Cashback
2023-11-14,Rental Income,16937.61,credit,Rental
2023-11-14,DMart Purchase,1020.78,debit,Groceries
2023-11-15,PVR Cinemas,644.69,debit,Entertainment
2023-11-15,Refund Credit,1684.98,credit,Refund
2023-11-18,ATM Withdrawal,837.79,debit,Others
2023-11-19,Jio Recharge,509.73,debit,Utilities
2023-11-19,Spotify Premium,119.0,debit,Entertainment
2023-11-20,Rental Income,24753.03,credit,Rental
2023-11-20,Hair Salon,820.68,debit,Personal Care
2023-11-21,DMart Purchase,627.04,debit,Groceries
2023-11-22,Hair Salon,785.09,debit,Personal Care
2023-11-22,Transfer Received,20765.87,credit,Transfer
2023-11-23,Cashback Credit,812.15,credit,Cashback
2023-11-24,Metro Card Recharge,235.12,debit,Transport
2023-11-25,Travel Booking,4652.28,debit,Travel
2023-11-26,Gym Membership,792.86,debit,Healthcare
2023-11-26,Transfer Received,2920.35,credit,Transfer
2023-11-27,Hotel Stay,9307.19,debit,Travel
2023-12-01,Metro Card Recharge,862.74,debit,Transport
2023-12-02,Reliance Fresh,1220.57,debit,Groceries
2023-12-02,Amazon Purchase,911.29,debit,Shopping
2023-12-03,Jio Recharge,361.61,debit,Utilities
2023-12-04,Metro Card Recharge,412.16,debit,Transport
2023-12-04,Apollo Pharmacy,757.44,debit,Healthcare
2023-12-05,School Fees,14536.72,debit,Education
2023-12-06,Water Bill,463.49,debit,Utilities
2023-12-06,Uber Ride,293.65,debit,Transport
2023-12-08,Salary Credit,118525.53,credit,Salary
2023-12-09,Insurance Premium,5798.85,debit,Insurance
2023-12-10,Amazon Purchase,6266.78,debit,Shopping
2023-12-11,Freelance Payment,18265.12,credit,Freelance
2023-12-11,Water Bill,373.6,debit,Utilities
2023-12-13,Online Course,3303.94,debit,Education
2023-12-14,Water Bill,509.27,debit,Utilities
2023-12-14,Bonus Credit,17078.31,credit,Bonus
2023-12-15,Netflix Subscription,514.99,debit,Entertainment
2023-12-15,Dividend Credit,12048.64,credit,Investment
2023-12-15,ATM Withdrawal,4347.52,debit,Others
2023-12-16,Myntra Fashion,1067.43,debit,Shopping
2023-12-16,BigBasket Groceries,3325.86,debit,Groceries
2023-12-17,Rental Income,15811.54,credit,Rental
2023-12-20,Cashback Credit,991.44,credit,Cashback
2023-12-21,Spa & Wellness,1222.09,debit,Personal Care
2023-12-21,Reliance Fresh,1251.18,debit,Groceries
2023-12-22,BigBasket Groceries,955.44,debit,Groceries
2023-12-22,Flipkart Order,890.26,debit,Shopping
2023-12-22,Amazon Purchase,3142.15,debit,Shopping
2023-12-22,BookMyShow Tickets,922.05,debit,Entertainment
2023-12-22,Amazon Purchase,2336.37,debit,Shopping
2023-12-23,Refund Credit,4302.09,credit,Refund
2023-12-23,Metro Card Recharge,492.24,debit,Transport
2023-12-24,Salary Credit,50544.26,credit,Salary
2023-12-25,Spotify Premium,119.0,debit,Entertainment
2023-12-25,School Fees,9226.06,debit,Education
2023-12-25,Online Course,547.21,debit,Education
2023-12-27,Coffee Shop,109.24,debit,Food & Dining
