date,description,amount,transaction_type,category
2020-03-26,Zomato Food Delivery,INR 844.02,debit,Food & Dining
2020-03-27,Wife Salary,INR 93417.69,credit,Income
2020-03-29,Interest Credit,INR 3791.37,credit,Income
2020-03-31,Reliance Fresh,INR 1569.57,debit,Groceries
2020-03-31,Property Tax,INR 1510.05,debit,Housing
2020-03-31,Household Repairs,INR 1053.20,debit,Housing
2020-04-01,Home Appliance Purchase,INR 18404.06,debit,Shopping
2020-04-02,BigBasket Groceries,INR 463.47,debit,Groceries
2020-04-02,Vegetable Vendor,INR 440.14,debit,Groceries
2020-04-03,Kids Clothing,INR 1574.76,debit,Shopping
2020-04-04,Milk Monthly,INR 883.90,debit,Groceries
2020-04-04,Meesho Order,INR 708.72,debit,Shopping
2020-04-05,Myntra Fashion,INR 1552.01,debit,Shopping
2020-04-05,Wife Salary,INR 71863.82,credit,Income
2020-04-05,Family Restaurant,INR 2184.25,debit,Food & Dining
2020-04-05,Uber Ride,INR 275.72,debit,Transportation
2020-04-05,BigBasket Groceries,INR 3308.19,debit,Groceries
2020-04-05,Meesho Order,INR 1504.47,debit,Shopping
2020-04-06,School Bus Fees,INR 2062.21,debit,Education
2020-04-07,Meesho Order,INR 1650.95,debit,Shopping
2020-04-08,Meesho Order,INR 471.36,debit,Shopping
2020-04-09,DMart Purchase,INR 514.26,debit,Groceries
2020-04-10,Husband Salary,INR 66433.02,credit,Income
2020-04-11,Family Restaurant,INR 1492.28,debit,Food & Dining
2020-04-12,Maid/Cook Salary,INR 3928.76,debit,Miscellaneous
2020-04-14,Family Restaurant,INR 1479.45,debit,Food & Dining
2020-04-14,Netflix Subscription,INR 340.65,debit,Subscriptions
2020-04-14,Family Vacation,INR 18393.24,debit,Travel
2020-04-14,BookMyShow Tickets,INR 1470.60,debit,Entertainment
2020-04-15,BookMyShow Tickets,INR 458.62,debit,Entertainment
2020-04-15,Rapido Bike Taxi,INR 55.74,debit,Transportation
2020-04-17,Amazon Prime,INR 275.69,debit,Subscriptions
2020-04-17,Milk Monthly,INR 858.34,debit,Groceries
2020-04-18,Vegetable Vendor,INR 765.11,debit,Groceries
2020-04-19,Home Appliance Purchase,INR 8574.65,debit,Shopping
2020-04-19,More Supermarket,INR 640.96,debit,Groceries
2020-04-20,Interest Credit,INR 3561.03,credit,Income
2020-04-21,Myntra Fashion,INR 3639.56,debit,Shopping
2020-04-23,Toys & Games,INR 1573.69,debit,Shopping
2020-04-23,Wife Salary,INR 76866.91,credit,Income
2020-04-24,School Bus Fees,INR 3289.24,debit,Education
2020-04-24,Property Tax,INR 879.31,debit,Housing
2020-04-24,Netflix Subscription,INR 365.26,debit,Subscriptions
2020-04-25,Toys & Games,INR 3772.16,debit,Shopping
2020-04-25,Refund Credit,INR 4667.50,credit,Income
2020-04-27,Hotstar Subscription,INR 183.66,debit,Subscriptions
2020-04-28,Reliance Fresh,INR 1850.92,debit,Groceries
2020-04-28,Spotify Premium,INR 119.00,debit,Subscriptions
2020-04-28,Tuition Teacher,INR 7756.58,debit,Education
2020-04-30,Ola Cab,INR 495.15,debit,Transportation
2020-05-01,YouTube Premium,INR 139.00,debit,Subscriptions
2020-05-01,Home Appliance Purchase,INR 25038.30,debit,Shopping
2020-05-03,Netflix Subscription,INR 516.85,debit,Subscriptions
2020-05-03,School Bus Fees,INR 2180.94,debit,Education
2020-05-04,Rapido Bike Taxi,INR 124.75,debit,Transportation
2020-05-05,Netflix Subscription,INR 233.15,debit,Subscriptions
2020-05-05,Rental Income,INR 17702.02,credit,Income
2020-05-05,Amazon Purchase,INR 6085.36,debit,Shopping
2020-05-06,Car EMI,INR 14943.47,debit,Transportation
2020-05-08,Maid/Cook Salary,INR 6875.46,debit,Miscellaneous
2020-05-09,Property Tax,INR 1700.54,debit,Housing
2020-05-09,BookMyShow Tickets,INR 309.31,debit,Entertainment
2020-05-10,Rapido Bike Taxi,INR 123.45,debit,Transportation
2020-05-11,Property Tax,INR 4826.82,debit,Housing
2020-05-11,BigBasket Groceries,INR 3343.72,debit,Groceries
2020-05-12,Refund Credit,INR 426.39,credit,Income
2020-05-13,Family Vacation,INR 37893.40,debit,Travel
2020-05-13,BookMyShow Tickets,INR 1446.86,debit,Entertainment
2020-05-14,Ajio Clothing,INR 1079.93,debit,Shopping
2020-05-15,Children's Birthday Party,INR 6815.36,debit,Entertainment
2020-05-15,Car Servicing,INR 3361.01,debit,Transportation
2020-05-16,Ola Cab,INR 417.68,debit,Transportation
2020-05-17,Husband Salary,INR 139376.82,credit,Income
2020-05-17,Meesho Order,INR 464.21,debit,Shopping
2020-05-18,DMart Purchase,INR 1503.85,debit,Groceries
2020-05-18,Uber Ride,INR 358.70,debit,Transportation
2020-05-19,Ajio Clothing,INR 3114.83,debit,Shopping
2020-05-20,Household Repairs,INR 16343.06,debit,Housing
2020-05-21,Home Appliance Purchase,INR 14223.07,debit,Shopping
2020-05-22,Rental Income,INR 18074.56,credit,Income
2020-05-22,Uber Ride,INR 118.97,debit,Transportation
2020-05-22,Refund Credit,INR 2993.81,credit,Income
2020-05-23,Family Vacation,INR 7904.84,debit,Travel
2020-05-23,Husband Salary,INR 143055.45,credit,Income
2020-05-25,Toys & Games,INR 3164.38,debit,Shopping
2020-05-25,Rapido Bike Taxi,INR 74.24,debit,Transportation
2020-05-26,Amazon Prime,INR 285.45,debit,Subscriptions
2020-05-26,Swiggy Order,INR 679.18,debit,Food & Dining
2020-05-27,Spotify Premium,INR 119.00,debit,Subscriptions
2020-05-27,BookMyShow Tickets,INR 1021.93,debit,Entertainment
2020-05-27,Netflix Subscription,INR 302.83,debit,Subscriptions
2020-05-28,Spotify Premium,INR 119.00,debit,Subscriptions
2020-05-28,Home Appliance Purchase,INR 33998.59,debit,Shopping
2020-05-31,Car EMI,INR 13346.26,debit,Transportation
2020-06-01,Hotstar Subscription,INR 571.59,debit,Subscriptions
2020-06-02,Flipkart Order,INR 4601.06,debit,Shopping
2020-06-02,Car Servicing,INR 6527.17,debit,Transportation
2020-06-03,BigBasket Groceries,INR 1766.96,debit,Groceries
2020-06-05,Rapido Bike Taxi,INR 36.28,debit,Transportation
2020-06-05,BookMyShow Tickets,INR 667.10,debit,Entertainment
2020-06-09,Husband Salary,INR 86435.12,credit,Income
2020-06-09,Kids Clothing,INR 2940.87,debit,Shopping
2020-06-10,Maid/Cook Salary,INR 4910.52,debit,Miscellaneous
2020-06-11,Amazon Purchase,INR 3803.71,debit,Shopping
2020-06-11,Ola Cab,INR 336.58,debit,Transportation
2020-06-13,BigBasket Groceries,INR 2658.89,debit,Groceries
2020-06-13,Amazon Prime,INR 939.08,debit,Subscriptions
2020-06-14,Family Vacation,INR 23469.10,debit,Travel
2020-06-14,Amazon Prime,INR 898.25,debit,Subscriptions
2020-06-14,Tuition Teacher,INR 3402.86,debit,Education
2020-06-15,DMart Purchase,INR 2733.70,debit,Groceries
2020-06-16,Myntra Fashion,INR 2600.95,debit,Shopping
2020-06-17,Hotstar Subscription,INR 569.37,debit,Subscriptions
2020-06-19,Myntra Fashion,INR 3950.05,debit,Shopping
2020-06-19,Uber Ride,INR 152.70,debit,Transportation
2020-06-20,DMart Purchase,INR 1793.68,debit,Groceries
2020-06-20,More Supermarket,INR 1106.60,debit,Groceries
2020-06-22,Spotify Premium,INR 119.00,debit,Subscriptions
2020-06-22,Kids Clothing,INR 2959.66,debit,Shopping
2020-06-23,More Supermarket,INR 716.56,debit,Groceries
2020-06-23,Rapido Bike Taxi,INR 125.94,debit,Transportation
2020-06-23,BookMyShow Tickets,INR 975.59,debit,Entertainment
2020-06-23,Zomato Food Delivery,INR 303.65,debit,Food & Dining
2020-06-24,Rental Income,INR 9293.02,credit,Income
2020-06-25,BigBasket Groceries,INR 1474.86,debit,Groceries
2020-06-26,Milk Monthly,INR 851.84,debit,Groceries
2020-06-26,Car Servicing,INR 6236.49,debit,Transportation
2020-06-27,Hotstar Subscription,INR 418.99,debit,Subscriptions
2020-06-28,Ola Cab,INR 463.33,debit,Transportation
2020-06-28,Netflix Subscription,INR 544.11,debit,Subscriptions
2020-06-28,Bonus Credit,INR 67547.57,credit,Income
2020-06-28,Tuition Teacher,INR 4275.57,debit,Education
2020-06-30,Toys & Games,INR 2878.46,debit,Shopping
2020-07-01,BookMyShow Tickets,INR 633.20,debit,Entertainment
2020-07-01,Wife Salary,INR 83450.14,credit,Income
2020-07-02,Milk Monthly,INR 768.45,debit,Groceries
2020-07-04,Ajio Clothing,INR 998.16,debit,Shopping
2020-07-05,Toys & Games,INR 3471.34,debit,Shopping
2020-07-05,Rapido Bike Taxi,INR 155.65,debit,Transportation
2020-07-06,Zomato Food Delivery,INR 471.04,debit,Food & Dining
2020-07-06,Children's Birthday Party,INR 5613.75,debit,Entertainment
2020-07-06,Rapido Bike Taxi,INR 184.90,debit,Transportation
2020-07-07,Children's Birthday Party,INR 7880.94,debit,Entertainment
2020-07-08,Ola Cab,INR 230.66,debit,Transportation
2020-07-09,Flipkart Order,INR 5311.33,debit,Shopping
2020-07-11,Family Restaurant,INR 3992.36,debit,Food & Dining
2020-07-11,Tuition Teacher,INR 6452.73,debit,Education
2020-07-13,Property Tax,INR 1959.75,debit,Housing
2020-07-13,Bonus Credit,INR 41701.33,credit,Income
2020-07-14,YouTube Premium,INR 139.00,debit,Subscriptions
2020-07-14,Rapido Bike Taxi,INR 89.43,debit,Transportation
2020-07-15,Ajio Clothing,INR 2543.25,debit,Shopping
2020-07-15,Amazon Purchase,INR 347.42,debit,Shopping
2020-07-16,Car Servicing,INR 11998.39,debit,Transportation
2020-07-17,Home Appliance Purchase,INR 38651.30,debit,Shopping
2020-07-17,Maid/Cook Salary,INR 4012.01,debit,Miscellaneous
2020-07-18,Children's Birthday Party,INR 13288.82,debit,Entertainment
2020-07-18,Reliance Fresh,INR 947.86,debit,Groceries
2020-07-19,YouTube Premium,INR 139.00,debit,Subscriptions
2020-07-20,Vegetable Vendor,INR 628.42,debit,Groceries
2020-07-20,Hotstar Subscription,INR 636.70,debit,Subscriptions
2020-07-21,Car EMI,INR 11577.20,debit,Transportation
2020-07-21,Household Repairs,INR 3880.33,debit,Housing
2020-07-22,Husband Salary,INR 78766.40,credit,Income
2020-07-22,Children's Birthday Party,INR 2716.64,debit,Entertainment
2020-07-22,Maid/Cook Salary,INR 7636.95,debit,Miscellaneous
2020-07-23,Rental Income,INR 17716.08,credit,Income
2020-07-25,Zomato Food Delivery,INR 379.13,debit,Food & Dining
2020-07-27,Cashback Credit,INR 1125.37,credit,Income
2020-07-28,BookMyShow Tickets,INR 845.97,debit,Entertainment
2020-07-28,Zomato Food Delivery,INR 647.54,debit,Food & Dining
2020-07-28,Ola Cab,INR 309.65,debit,Transportation
2020-07-30,Family Vacation,INR 55482.02,debit,Travel
2020-07-30,School Bus Fees,INR 3147.14,debit,Education
2020-07-30,Zomato Food Delivery,INR 760.70,debit,Food & Dining
2020-08-01,Amazon Prime,INR 640.23,debit,Subscriptions
2020-08-01,Refund Credit,INR 4679.67,credit,Income
2020-08-03,Interest Credit,INR 2875.97,credit,Income
2020-08-04,Family Vacation,INR 31760.49,debit,Travel
2020-08-04,Rapido Bike Taxi,INR 192.55,debit,Transportation
2020-08-05,Flipkart Order,INR 893.02,debit,Shopping
2020-08-05,More Supermarket,INR 1300.76,debit,Groceries
2020-08-08,Car Servicing,INR 9580.09,debit,Transportation
2020-08-09,Home Appliance Purchase,INR 9337.89,debit,Shopping
2020-08-10,Ajio Clothing,INR 1890.46,debit,Shopping
2020-08-11,Swiggy Order,INR 897.05,debit,Food & Dining
2020-08-11,Amazon Purchase,INR 3109.70,debit,Shopping
2020-08-12,Reliance Fresh,INR 685.98,debit,Groceries
2020-08-13,Property Tax,INR 7130.30,debit,Housing
2020-08-13,Cashback Credit,INR 1459.87,credit,Income
2020-08-14,School Bus Fees,INR 2834.05,debit,Education
2020-08-14,School Bus Fees,INR 2351.09,debit,Education
2020-08-14,Spotify Premium,INR 119.00,debit,Subscriptions
2020-08-15,Kids Clothing,INR 727.99,debit,Shopping
2020-08-15,Wife Salary,INR 43371.99,credit,Income
2020-08-15,Spotify Premium,INR 119.00,debit,Subscriptions
2020-08-16,Car EMI,INR 18025.52,debit,Transportation
2020-08-17,Amazon Prime,INR 738.25,debit,Subscriptions
2020-08-17,YouTube Premium,INR 139.00,debit,Subscriptions
2020-08-18,Family Vacation,INR 36786.27,debit,Travel
2020-08-18,BookMyShow Tickets,INR 1218.46,debit,Entertainment
2020-08-20,Property Tax,INR 5676.86,debit,Housing
2020-08-21,Maid/Cook Salary,INR 3997.71,debit,Miscellaneous
2020-08-21,Rapido Bike Taxi,INR 155.48,debit,Transportation
2020-08-21,Myntra Fashion,INR 2736.08,debit,Shopping
2020-08-22,Family Vacation,INR 5062.30,debit,Travel
2020-08-22,Vegetable Vendor,INR 639.53,debit,Groceries
2020-08-23,Home Appliance Purchase,INR 13790.74,debit,Shopping
2020-08-24,Milk Monthly,INR 692.18,debit,Groceries
2020-08-26,Ajio Clothing,INR 2721.47,debit,Shopping
2020-08-26,Children's Birthday Party,INR 12878.49,debit,Entertainment
2020-08-26,Zomato Food Delivery,INR 692.94,debit,Food & Dining
2020-08-28,Family Restaurant,INR 2574.24,debit,Food & Dining
2020-08-29,Toys & Games,INR 1484.20,debit,Shopping
2020-08-29,Bonus Credit,INR 52539.27,credit,Income
2020-08-29,Husband Salary,INR 119571.57,credit,Income
2020-08-31,DMart Purchase,INR 1492.36,debit,Groceries
2020-09-01,Household Repairs,INR 16181.82,debit,Housing
2020-09-01,Car EMI,INR 18452.91,debit,Transportation
2020-09-01,Amazon Purchase,INR 673.91,debit,Shopping
2020-09-03,Tuition Teacher,INR 5998.34,debit,Education
2020-09-03,Family Vacation,INR 7900.61,debit,Travel
2020-09-03,Zomato Food Delivery,INR 754.61,debit,Food & Dining
2020-09-03,Reliance Fresh,INR 1520.94,debit,Groceries
2020-09-03,Wife Salary,INR 87539.21,credit,Income
2020-09-04,Property Tax,INR 5980.94,debit,Housing
2020-09-06,Ola Cab,INR 173.89,debit,Transportation
2020-09-07,Flipkart Order,INR 3710.60,debit,Shopping
2020-09-07,YouTube Premium,INR 139.00,debit,Subscriptions
2020-09-07,Cashback Credit,INR 344.85,credit,Income
2020-09-09,School Bus Fees,INR 1588.07,debit,Education
2020-09-09,Property Tax,INR 7046.09,debit,Housing
2020-09-09,Spotify Premium,INR 119.00,debit,Subscriptions
2020-09-10,Uber Ride,INR 566.64,debit,Transportation
2020-09-10,Refund Credit,INR 4216.72,credit,Income
2020-09-10,DMart Purchase,INR 3015.71,debit,Groceries
2020-09-11,Milk Monthly,INR 689.92,debit,Groceries
2020-09-11,YouTube Premium,INR 139.00,debit,Subscriptions
2020-09-11,Myntra Fashion,INR 628.96,debit,Shopping
2020-09-11,Flipkart Order,INR 4385.82,debit,Shopping
2020-09-12,BigBasket Groceries,INR 2097.76,debit,Groceries
2020-09-12,Amazon Prime,INR 905.90,debit,Subscriptions
2020-09-13,Meesho Order,INR 1422.67,debit,Shopping
2020-09-15,Bonus Credit,INR 72120.17,credit,Income
2020-09-15,BookMyShow Tickets,INR 349.77,debit,Entertainment
2020-09-16,Interest Credit,INR 4052.07,credit,Income
2020-09-17,Myntra Fashion,INR 3685.86,debit,Shopping
2020-09-17,Amazon Prime,INR 220.08,debit,Subscriptions
2020-09-17,Reliance Fresh,INR 1545.54,debit,Groceries
2020-09-18,More Supermarket,INR 543.13,debit,Groceries
2020-09-19,Netflix Subscription,INR 347.12,debit,Subscriptions
2020-09-20,Maid/Cook Salary,INR 6510.00,debit,Miscellaneous
2020-09-21,Amazon Purchase,INR 7197.78,debit,Shopping
2020-09-23,Flipkart Order,INR 5405.44,debit,Shopping
2020-09-24,More Supermarket,INR 718.94,debit,Groceries
2020-09-25,Bonus Credit,INR 14034.94,credit,Income
2020-09-25,Vegetable Vendor,INR 565.26,debit,Groceries
2020-09-26,Maid/Cook Salary,INR 7268.83,debit,Miscellaneous
2020-09-27,Husband Salary,INR 143282.81,credit,Income
2020-09-27,Swiggy Order,INR 227.35,debit,Food & Dining
2020-09-28,YouTube Premium,INR 139.00,debit,Subscriptions
2020-09-29,More Supermarket,INR 577.01,debit,Groceries
2020-09-29,Husband Salary,INR 81492.84,credit,Income
2020-09-29,Milk Monthly,INR 930.95,debit,Groceries
2020-09-30,Myntra Fashion,INR 1865.07,debit,Shopping
2020-09-30,Cashback Credit,INR 226.59,credit,Income
2020-09-30,Home Appliance Purchase,INR 35517.11,debit,Shopping
2020-10-03,Hotstar Subscription,INR 702.73,debit,Subscriptions
2020-10-04,DMart Purchase,INR 1565.12,debit,Groceries
2020-10-04,Spotify Premium,INR 119.00,debit,Subscriptions
2020-10-05,Toys & Games,INR 2557.00,debit,Shopping
2020-10-06,Wife Salary,INR 40479.93,credit,Income
2020-10-08,Uber Ride,INR 515.88,debit,Transportation
2020-10-08,Vegetable Vendor,INR 345.43,debit,Groceries
2020-10-11,Refund Credit,INR 3550.50,credit,Income
2020-10-11,BigBasket Groceries,INR 1230.21,debit,Groceries
2020-10-11,Tuition Teacher,INR 6300.90,debit,Education
2020-10-12,Milk Monthly,INR 943.67,debit,Groceries
2020-10-14,Rental Income,INR 6966.79,credit,Income
2020-10-16,Maid/Cook Salary,INR 3233.78,debit,Miscellaneous
2020-10-16,YouTube Premium,INR 139.00,debit,Subscriptions
2020-10-17,Hotstar Subscription,INR 811.81,debit,Subscriptions
2020-10-18,Vegetable Vendor,INR 408.04,debit,Groceries
2020-10-22,Spotify Premium,INR 119.00,debit,Subscriptions
2020-10-22,Amazon Prime,INR 444.34,debit,Subscriptions
2020-10-23,Zomato Food Delivery,INR 322.23,debit,Food & Dining
2020-10-23,Property Tax,INR 5738.06,debit,Housing
2020-10-24,BookMyShow Tickets,INR 645.15,debit,Entertainment
2020-10-24,BigBasket Groceries,INR 2300.52,debit,Groceries
2020-10-25,Bonus Credit,INR 28232.23,credit,Income
2020-10-26,Car EMI,INR 17001.13,debit,Transportation
2020-10-27,Property Tax,INR 3283.76,debit,Housing
2020-10-27,Amazon Prime,INR 834.19,debit,Subscriptions
2020-10-28,Vegetable Vendor,INR 760.80,debit,Groceries
2020-10-29,More Supermarket,INR 1736.74,debit,Groceries
2020-10-30,Reliance Fresh,INR 796.50,debit,Groceries
2020-10-31,School Bus Fees,INR 2664.35,debit,Education
2020-11-02,Car Servicing,INR 10059.57,debit,Transportation
2020-11-03,Wife Salary,INR 74188.59,credit,Income
2020-11-05,Zomato Food Delivery,INR 173.82,debit,Food & Dining
2020-11-07,Amazon Purchase,INR 3498.20,debit,Shopping
2020-11-07,Hotstar Subscription,INR 677.55,debit,Subscriptions
2020-11-08,Household Repairs,INR 13455.22,debit,Housing
2020-11-08,School Bus Fees,INR 2852.53,debit,Education
2020-11-11,Cashback Credit,INR 760.91,credit,Income
2020-11-13,Family Vacation,INR 51256.85,debit,Travel
2020-11-13,Toys & Games,INR 4281.00,debit,Shopping
2020-11-14,Interest Credit,INR 2064.53,credit,Income
2020-11-15,Ajio Clothing,INR 2965.64,debit,Shopping
2020-11-16,Maid/Cook Salary,INR 4359.01,debit,Miscellaneous
2020-11-17,YouTube Premium,INR 139.00,debit,Subscriptions
2020-11-17,More Supermarket,INR 208.14,debit,Groceries
2020-11-18,Hotstar Subscription,INR 648.92,debit,Subscriptions
2020-11-18,DMart Purchase,INR 2234.37,debit,Groceries
2020-11-19,Car Servicing,INR 6504.24,debit,Transportation
2020-11-20,Ola Cab,INR 89.26,debit,Transportation
2020-11-20,Swiggy Order,INR 796.60,debit,Food & Dining
2020-11-20,Swiggy Order,INR 480.65,debit,Food & Dining
2020-11-20,Home Appliance Purchase,INR 18666.34,debit,Shopping
2020-11-21,BookMyShow Tickets,INR 1183.76,debit,Entertainment
2020-11-21,Rental Income,INR 8425.41,credit,Income
2020-11-22,YouTube Premium,INR 139.00,debit,Subscriptions
2020-11-23,Netflix Subscription,INR 643.04,debit,Subscriptions
2020-11-27,Myntra Fashion,INR 2654.66,debit,Shopping
2020-11-27,Netflix Subscription,INR 366.38,debit,Subscriptions
2020-11-28,Flipkart Order,INR 5343.33,debit,Shopping
2020-11-29,Home Appliance Purchase,INR 12329.30,debit,Shopping
2020-11-30,BookMyShow Tickets,INR 674.85,debit,Entertainment
2020-11-30,Property Tax,INR 5213.98,debit,Housing
2020-11-30,Netflix Subscription,INR 356.72,debit,Subscriptions
2020-12-01,Vegetable Vendor,INR 300.83,debit,Groceries
2020-12-02,Toys & Games,INR 2047.50,debit,Shopping
2020-12-03,Vegetable Vendor,INR 380.05,debit,Groceries
2020-12-05,Family Vacation,INR 20815.33,debit,Travel
2020-12-06,Flipkart Order,INR 3383.91,debit,Shopping
2020-12-06,Myntra Fashion,INR 1851.04,debit,Shopping
2020-12-06,Refund Credit,INR 3989.59,credit,Income
2020-12-07,More Supermarket,INR 554.46,debit,Groceries
2020-12-07,Amazon Purchase,INR 3176.73,debit,Shopping
2020-12-08,Rental Income,INR 12886.74,credit,Income
2020-12-08,Interest Credit,INR 3881.42,credit,Income
2020-12-08,School Bus Fees,INR 1529.70,debit,Education
